block,total_improvement,mean_per_iteration,percent_of_total,n_observations
power,0.15144575050129927,0.010096383366753284,15.466714932723422,15
trajectory,0.8277263048449894,0.05518175365633263,84.53328506727658,15
jammer,0.0,0.0,0.0,15
