episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,reward_clip_value,use_double_dqn,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,mean_q_value,loss,rolling_reward_variance,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
11,2200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9511101304657719,0.005,1.0,True,914.2256041245794,4.571128020622897,8.641729565394485,6.67172649143561,4.86498272821299,,,97.29965456425981,2.524716362595041,0.25,200,53.59865116566306,47.47800570464699,25.99594677837278,23.939507856134256,418.0413652700925,101.16842239019974,392.24622565318793,614.9550127454568,1.4887101650238037,0.11736052483320236,0.522763711939712,4.842353682947012,4.842353682947012,4.842353682947012,4.842353682947012,0.0,0.0
12,2400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.946354579813443,0.005,1.0,True,645.4449375879877,3.227224687939939,8.074087808332,9.599382467949797,3.515417294114703,,,70.30834588229406,2.5094943406908325,0.22125,200,39.23111262269777,56.28414713499298,19.939189298960606,27.717012460325385,566.115076800967,409.35764382492033,127.52024106100234,271.0308732522787,2.1618568897247314,0.12515966594219208,0.587125619996047,4.73177565054432,4.73177565054432,4.73177565054432,4.73177565054432,0.0,0.0
13,2600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9416228069143757,0.005,1.0,True,867.0232341300715,4.335116170650357,8.051170659993925,5.100351200862945,5.093857885391932,,,101.87715770783865,2.551417350669591,0.27625,200,59.81655717534658,49.39676190152128,28.569771531957585,17.91116206536278,469.6323763132163,605.8232875207423,680.970772287897,390.1747953125869,1.671722173690796,0.3834163248538971,0.5419859239869065,4.759628130147982,4.759628130147982,4.759628130147982,4.759628130147982,0.0,0.0
14,2800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9369146928798039,0.005,1.0,True,967.4511504796026,4.837255752398013,8.274178245615138,4.419525110573075,5.806076967569909,,,116.12153935139818,2.5350921769099917,0.27,200,45.51242739173288,54.878710341509205,17.915868439435787,28.54071243655906,464.31924113625865,335.53384871494745,865.6100333387055,300.2473570997315,1.8990596532821655,0.09627315402030945,0.5211414522813879,4.8343744756781195,4.8343744756781195,4.8343744756781195,4.8343744756781195,0.0,0.0
15,3000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9322301194154049,0.005,1.0,True,1048.5281972784858,5.242640986392429,9.169917075731448,5.644477853260746,5.641727722699571,,,112.83455445399142,2.535474429135532,0.2725,200,55.35988564585271,49.043148049207794,8.27209958961237,22.498309399355733,130.68842964860616,423.75554074341676,583.4604475812188,716.0813146425314,2.3796257972717285,1.3958382606506348,0.5353923584956238,4.88819802547955,4.88819802547955,4.88819802547955,4.88819802547955,0.0,0.0
16,3200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9275689688183278,0.005,1.0,True,1163.6312067724386,5.818156033862193,8.882536548474592,4.898983764443062,6.09946965938072,,,121.9893931876144,2.5343797307280926,0.2725,200,62.46351688483344,38.96015963445999,18.90083360779287,18.144550172691737,240.6725213344865,385.37835239151866,539.0710454937831,273.2276879417534,3.55001163482666,0.0853172317147255,0.6173840109951517,4.963902502598373,4.963902502598373,4.963902502598373,4.963902502598373,0.0,0.0
17,3400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9229311239742362,0.005,1.0,True,904.9640402678157,4.524820201339079,9.417492746323786,7.956464323685135,4.815848567617191,,,96.31697135234383,2.5376776665985643,0.25625,200,61.28551563922919,45.93483032453906,37.98182143492632,16.844691669982314,99.32797579244705,385.2568075171676,175.1174778647853,366.75587592110276,4.195038795471191,0.02851104363799095,0.5810956941496447,4.95519344759948,4.95519344759948,4.95519344759948,4.95519344759948,0.0,0.0
18,3600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.918316468354365,0.005,1.0,True,1151.8967441768693,5.759483720884346,9.416507766204186,5.6905232549756875,6.038856889254529,,,120.7771377850906,2.5254726688874753,0.27125,200,59.00159479296935,40.40211463179176,21.024788209014933,15.174474304640682,218.28390882929972,242.23608535975566,640.9206854237708,237.24851286599878,5.013891696929932,0.14923283457756042,0.6315814279701761,5.015396972135871,5.015396972135871,5.015396972135871,5.015396972135871,0.0,0.0
19,3800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9137248860125932,0.005,1.0,True,705.2970957321543,3.5264854786607716,8.495153089486848,6.582618672831519,4.604739740687152,,,92.09479481374305,2.5546432138759583,0.25125,200,64.31385255498752,47.69809686733013,46.2426872611866,21.414976248047395,356.6015255367562,569.4290146541239,711.0604468224134,916.8362846724038,6.561967849731445,0.5372524857521057,0.6529778732482807,4.993783433638571,4.993783433638571,4.993783433638571,4.993783433638571,0.0,0.0
20,4000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9091562615825302,0.005,1.0,True,1021.6993369857206,5.108496684928603,9.251021172901808,5.600676975401316,5.889452456467951,,,117.789049129359,2.5665021601198172,0.2675,200,54.50230653791813,65.05501382118278,22.458077776718127,3.768857179738683,164.41770796896813,258.2311983727882,496.2772130363701,451.23895578852716,6.747435569763184,0.2442057728767395,0.6368809673553966,5.03856688478004,5.03856688478004,5.03856688478004,5.03856688478004,0.0,0.0
21,4200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9046104802746175,0.005,1.0,True,671.8972351939638,3.3594861759698187,7.444474464507189,6.6927501695025695,3.8264245205704315,,,76.52849041140863,2.5414002300933216,0.25625,200,42.084074621032215,67.47268856521619,6.478654110310833,46.835103586563534,906.415765743016,561.9114049509536,605.9495736344455,837.6208237380356,7.737705230712891,0.13143479824066162,0.6705833708325086,5.013177876978299,5.013177876978299,4.980845819817677,4.980845819817677,0.032332057160621375,0.032332057160621375
22,4400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9000874278732445,0.005,1.0,True,783.5686156185589,3.9178430780927944,9.187338766363656,7.4130212254220025,4.635317918015487,,,92.70635836030975,2.5231155062656345,0.2375,200,38.703677061631225,62.939974408368194,5.320123161369236,27.0031316887904,54.560221540863935,489.41042151397534,288.60617336205894,633.7664051894777,8.63668441772461,1.3798508644104004,0.6543618986267747,5.038073942584511,5.038073942584511,4.9651400060993955,4.9651400060993955,0.07293393648511515,0.07293393648511515
23,4600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8955869907338783,0.005,1.0,True,1019.2610999077355,5.096305499538677,9.03569911860285,7.673981989883815,5.388223902456303,,,107.76447804912605,2.518517349547929,0.25375,200,40.595963466624255,57.54542753987287,6.1417893609785255,31.20247107430189,251.54043039395728,298.14594680469924,69.25264319849198,87.70003828729372,9.628389358520508,0.23638886213302612,0.6424827076810464,5.037675540346198,5.037675540346198,4.983534958114913,4.983534958114913,0.05414058223128482,0.05414058223128482
24,4800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8911090557802088,0.005,1.0,True,880.8296108253859,4.40414805412693,8.90934366178621,6.344225068707876,4.877254664441078,,,97.54509328882156,2.5227032091875348,0.28,200,54.69642999129195,45.71994252657407,14.670662462462934,10.140934340976422,317.29857236255,198.66688671002254,458.9883057488905,936.7576031098291,10.556251525878906,0.5552558898925781,0.6160243649655334,5.0401634915032165,5.0401634915032165,4.97910661254517,4.97910661254517,0.06105687895804657,0.06105687895804657
25,5000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8866535105013078,0.005,1.0,True,886.4157848526891,4.432078924263445,8.106686107429995,5.752954744965928,4.706378967952845,,,94.1275793590569,2.520524692637538,0.27875,200,42.95809474780671,52.705905008507344,2.195387227741932,13.251415079712636,574.4740258391538,408.00974118846096,564.6167976603404,853.2251514421722,11.836761474609375,0.5794020891189575,0.5915070564319875,4.961166438723731,4.961166438723731,4.968197506761477,4.968197506761477,0.007031068037746557,0.007031068037746557
26,5200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8822202429488012,0.005,1.0,True,809.971036194308,4.04985518097154,7.690124656696358,5.648371868787733,4.454977524398285,,,89.0995504879657,2.5362406930927097,0.25625,200,50.7330164362392,53.20250668718481,10.07581611640325,40.42619293839898,755.9473003437565,455.55945037871,918.565646791322,940.6344218459486,12.231008529663086,5.035917282104492,0.575809650391348,4.978263043004953,4.978263043004953,4.948458276670585,4.948458276670585,0.029804766334367905,0.029804766334367905
27,5400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8778091417340572,0.005,1.0,True,532.0511899837585,2.6602559499187923,8.414695860944923,9.979029009188256,2.940155778900722,,,58.80311557801445,2.569482806242108,0.27,200,64.85055024160918,53.83529285986727,31.10574722044845,31.789835230412837,495.7820886620129,136.09328431068576,38.72577402612943,230.71427309908938,12.793773651123047,0.20991085469722748,0.6712626596031712,4.867021687553522,4.867021687553522,4.874076702679109,4.874076702679109,0.007055015125587261,0.007055015125587261
28,5600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.873420096025387,0.005,1.0,True,963.6960569276188,4.818480284638094,7.5936128788225705,4.611341527695035,5.095472915028515,,,101.90945830057031,2.545196773880583,0.2575,200,54.236244057657835,58.96050687199732,28.876034017298814,29.091232459880423,827.4367415320777,355.6274371421636,893.6928007601789,376.0367317459722,13.922378540039062,1.086626410484314,0.6532413007007607,4.902786238417161,4.902786238417161,4.881983710263016,4.881983710263016,0.020802528154145072,0.020802528154145072
29,5800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.86905299554526,0.005,1.0,True,1134.9381079293069,5.674690539646535,8.3452660340722,4.148819520245817,5.958845972339272,,,119.17691944678545,2.6054233067315113,0.2775,200,62.15056739075896,69.56108912511165,41.58101504774515,24.719524583244468,504.5291174078252,166.91726379393606,1040.8456420722189,336.9807424075713,15.490951538085938,0.5293589234352112,0.6833297534384154,4.961803516458615,4.961803516458615,4.919116891713922,4.919116891713922,0.04268662474469309,0.04268662474469309
30,6000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8647077305675337,0.005,1.0,True,815.9077360228399,4.0795386801142,7.782030825561864,6.70512033833751,4.461400951113744,,,89.22801902227488,2.5614452852204357,0.2525,200,73.57793680085842,45.00067177179486,37.97558418582289,14.086519493217237,713.4955353829517,242.1421131745531,425.6021701679731,406.77769009430307,14.415997505187988,0.6827027797698975,0.6652393432373903,4.935744151330666,4.935744151330666,4.903859693693916,4.903859693693916,0.03188445763674963,0.03188445763674963
31,6200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8603841919146961,0.005,1.0,True,931.5772621276209,4.657886310638104,7.94524142840039,5.4027808010072915,4.932913198356443,,,98.65826396712887,2.528986741472123,0.26125,200,52.53470838115069,51.75430682348276,37.43494729238216,13.717218084726026,681.8963955563404,162.49442785533887,684.4098997551552,597.2105796495847,16.29116439819336,0.5122362375259399,0.645152252847605,4.939140674837839,4.939140674837839,4.904796903521739,4.904796903521739,0.03434377131609967,0.03434377131609967
32,6400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8560822709551226,0.005,1.0,True,880.6057345593812,4.403028672796906,8.183335241814415,6.517813088363376,4.734402769078833,,,94.68805538157667,2.6326304486765406,0.2525,200,62.36842953659715,77.97593969072035,44.43094671229249,54.51656516569865,520.1479061692822,176.07639084929852,413.11842034417384,467.1153777646664,17.34018325805664,0.531006395816803,0.625072979622494,5.000089948586046,5.000089948586046,4.899472086820398,4.899472086820398,0.10061786176564791,0.10061786176564791
33,6600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8518018596003469,0.005,1.0,True,792.8346896083701,3.9641734480418505,8.438758469946997,6.816818675838103,4.251542868539337,,,85.03085737078675,2.538256674126604,0.26375,200,52.774730086885185,49.6705843134515,22.87150064123739,0.29634231629356034,470.0808682448472,225.93855240687736,335.6984787076165,803.0786842241439,18.70096778869629,0.2531232237815857,0.6131634008495402,4.957974197743416,4.957974197743416,4.879837868084608,4.879837868084608,0.07813632965880846,0.07813632965880846
34,6800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8475428503023452,0.005,1.0,True,659.0866281530667,3.2954331407653337,7.035339174524751,5.631811446800469,4.306878596746201,,,86.13757193492403,2.5307490759834947,0.2625,200,50.23850049157916,46.60873651147912,9.188312400355771,7.468552593054606,1249.5986966200646,688.5022738210167,392.94430866848205,478.1578261400406,18.483993530273438,0.604576051235199,0.6324310657578706,4.88301427920223,4.88301427920223,4.862986124809949,4.862986124809949,0.020028154392281117,0.020028154392281117
35,7000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8433051360508335,0.005,1.0,True,777.1886864819639,3.8859434324098197,7.621816829985424,5.19262407616505,4.86829379662285,,,97.365875932457,2.5546855402013726,0.265,200,55.663789104540776,60.799088936465715,17.464012343438462,15.420518312831156,817.4763981809401,663.4243989817769,544.2501080930829,424.34967121163555,19.693241119384766,0.28528475761413574,0.6218370871379363,4.844342582898394,4.844342582898394,4.8631377725760325,4.8631377725760325,0.018795189677638824,0.018795189677638824
36,7200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8390886103705792,0.005,1.0,True,901.0376984416293,4.505188492208147,9.027988736080502,6.486769337944466,4.983938260199698,,,99.67876520399398,2.5432916888828005,0.26,200,56.28462080732153,51.10883263934384,34.94489902323351,18.560900256151665,161.67134382461236,424.0735537070999,252.1440386191753,566.8382584950921,19.817092895507812,0.19909396767616272,0.6049215875336602,4.788566012939343,4.788566012939343,4.86649334167669,4.86649334167669,0.07792732873734654,0.07792732873734654
37,7400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8348931673187264,0.005,1.0,True,655.3654274619411,3.2768271373097053,7.616142938912025,6.041950735091256,4.386720913446424,,,87.73441826892848,2.554487863856922,0.255,200,44.25435159234168,57.816499106768475,15.75527491206835,10.584174395928866,813.8867109418311,360.324174451772,589.8273690403981,653.439480903384,19.32466697692871,1.0735740661621094,0.6213507253095673,4.767109630230804,4.767109630230804,4.853526519292088,4.853526519292088,0.08641688906128397,0.08641688906128397
38,7600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8307187014821328,0.005,1.0,True,930.830544916085,4.654152724580425,8.033327577502735,5.716161563346501,4.941164221511475,,,98.8232844302295,2.5254857821271255,0.27,200,50.91872960969879,45.54738122235614,19.295212937099024,24.31197995052198,567.7547787420646,434.324446604963,388.77768708260487,389.74496812104445,19.6446590423584,0.14105390012264252,0.6071697570991273,4.712224996843652,4.712224996843652,4.855832774613651,4.855832774613651,0.1436077777699989,0.1436077777699989
39,7800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.826565107974722,0.005,1.0,True,977.1932543772299,4.88596627188615,7.528409581128916,3.9256620125468507,5.171797629480567,,,103.43595258961135,2.6069763804599146,0.2775,200,52.191766943735836,76.910738883328,22.420052457231513,20.58565393910976,881.2921850690507,363.9065062459435,1196.8617929191573,798.2620108402159,19.26081657409668,0.5393252372741699,0.5982325190301886,4.740577891283323,4.740577891283323,4.863934437558957,4.863934437558957,0.12335654627563386,0.12335654627563386
40,8000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8224322824348484,0.005,1.0,True,984.9451465164582,4.924725732582291,8.680971190898443,5.81743578197557,5.283020570496724,,,105.66041140993448,2.5815639839379316,0.24,200,63.70545361118448,65.85623787950476,26.610603253364786,51.03727028713883,282.369382273888,467.65911551878196,563.415404893069,454.193185183298,19.742347717285156,0.3991866409778595,0.5904039969897517,4.7102562969847614,4.7102562969847614,4.8744115908824,4.8744115908824,0.16415529389763872,0.16415529389763872
41,8200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8183201210226743,0.005,1.0,True,1054.7900138688274,5.273950069344137,8.968321751391386,5.211813242410358,5.609741490044225,,,112.19482980088452,2.635545385370246,0.2775,200,79.18627938104834,73.72652832694442,37.21729387465571,40.97326159559679,325.78855667448437,249.44841248110592,888.9444163046674,967.9390911544706,19.486125946044922,3.912001609802246,0.5942825516760618,4.7994221454584505,4.7994221454584505,4.892346466471713,4.892346466471713,0.0929243210132622,0.0929243210132622
42,8400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8142285204175609,0.005,1.0,True,1104.1018051154037,5.520509025577018,8.678230145036856,5.3029450846995685,5.811776001591849,,,116.23552003183698,2.665753797875806,0.29125,200,94.68754970163262,54.05395643105405,59.48721776331604,8.651218340863538,347.836486872761,217.38859237723665,502.06001281049106,232.20502586030403,19.021068572998047,0.8040580153465271,0.6083399476389748,4.85824504963727,4.85824504963727,4.914237645879335,4.914237645879335,0.05599259624206443,0.05599259624206443
43,8600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.810157377815473,0.005,1.0,True,1165.4061466800288,5.827030733400144,9.081240924591123,5.6251540696844495,6.1174341514058375,,,122.34868302811677,2.6566133110153207,0.28375,200,77.28628043352302,81.33538207171505,27.863920342590554,48.19835083916779,270.1695099693427,143.43253571680032,234.55631399225473,175.33051425065972,19.69795036315918,0.14174383878707886,0.6375715095333917,4.894705562084747,4.894705562084747,4.942218959961346,4.942218959961346,0.04751339787659958,0.04751339787659958
44,8800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8061065909263957,0.005,1.0,True,844.7110150721784,4.223555075360892,8.402686556836395,5.696981135787836,5.010958620835582,,,100.21917241671164,2.6176316711227368,0.28875,200,67.99868165194916,63.30578177114282,44.27949954364368,27.411041333450022,323.4069972962307,533.223959728485,429.82833915636286,655.7260722493894,19.65939712524414,0.831913948059082,0.6245107141122176,4.901390759904471,4.901390759904471,4.943781224981216,4.943781224981216,0.042390465076745265,0.042390465076745265
45,9000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.8020760579717637,0.005,1.0,True,994.0262997903267,4.970131498951633,8.414571832095648,4.905058814654065,5.596068955770114,,,111.9213791154023,2.6087698483818222,0.295,200,63.45136684862977,69.34188565492367,27.001118234039815,17.40246084946331,503.9824364776939,130.08721660297584,559.657286784006,513.0823196909157,19.848665237426758,0.23221874237060547,0.6160355236696783,4.945875259295335,4.945875259295335,4.958276507887636,4.958276507887636,0.012401248592301073,0.012401248592301073
46,9200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.7980656776819048,0.005,1.0,True,950.2295620213232,4.751147810106616,8.968770922555588,5.868710087060371,5.427987703139132,,,108.55975406278264,2.5751536570451514,0.265,200,65.48171507390333,54.53388031875731,17.58649755265085,11.840879526119666,254.3923790783737,359.87812754089305,539.1857137479407,492.39415285774845,19.953571319580078,0.3523547053337097,0.6041775834955481,4.994525768232377,4.994525768232377,4.968487620827886,4.968487620827886,0.026038147404491063,0.026038147404491063
47,9400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.7940753492934953,0.005,1.0,True,745.123472382366,3.72561736191183,8.104390524360209,7.5775447962564435,4.092782073314123,,,81.85564146628248,2.5754086273781382,0.25125,200,65.5662367030285,57.321138686349656,16.189046052653147,38.153486939760356,511.83227775567605,542.7044165730165,222.97561960740904,421.06412905852994,18.70541000366211,4.872365951538086,0.6034388819113254,5.052157082953048,5.052157082953048,4.949855587902061,4.949855587902061,0.10230149505098751,0.10230149505098751
48,9600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.7901049725470278,0.005,1.0,True,678.802362037135,3.3940118101856753,7.851668834758554,6.361973996798443,4.271196640188586,,,85.42393280377172,2.6987375368133315,0.27375,200,94.72406693468244,66.93381786275967,42.131118646518914,27.48794769478664,636.1516512078903,387.56383424731246,271.6947784949671,462.45035719748483,19.451580047607422,0.6562414169311523,0.6145799509081344,5.010943269211052,5.010943269211052,4.935716859824697,4.935716859824697,0.07522640938635483,0.07522640938635483
49,9800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.7861544476842928,0.005,1.0,True,824.3228114736911,4.121614057368456,8.064383899177828,6.614668529905052,4.402069097477552,,,88.04138194955107,2.5735006856537863,0.2175,200,58.63149433187633,65.34242687526176,33.12950161667567,37.52129022024716,592.8314235850149,202.58410941948105,810.0578235552956,510.81614697709483,19.618816375732422,0.7878418564796448,0.6041895378251422,4.933104425467965,4.933104425467965,4.924826089164552,4.924826089164552,0.008278336303413347,0.008278336303413347
50,10000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.7822236754458712,0.005,1.0,True,640.0147932181038,3.2000739660905193,7.360589130252827,5.65148014359158,4.525479792496294,6.352736414591645,6.352736414591645,90.50959584992587,2.758690212381916,0.2625,200,68.31175526240881,78.21172815728788,52.485278213397635,38.29181329166397,988.6091915271111,527.731935854914,298.585033199874,355.7206460564057,19.63274383544922,5.5234904289245605,0.622385766843951,4.936308367537093,4.936308367537093,4.916839163231186,4.916839163231186,0.019469204305906374,0.019469204305906374
51,10200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.7783125570686419,0.005,1.0,True,1271.350831617676,6.35675415808838,9.254965362856096,4.142360336528335,6.646141635315941,,6.352736414591645,132.92283270631884,2.631315150979159,0.2825,200,80.73652405996883,63.55104614932391,54.66075489896915,23.648525944541397,136.0712434067146,326.47084100597107,999.9160435641944,257.7601600222753,19.606647491455078,6.157545566558838,0.6928770817036869,5.021969789385068,5.021969789385068,4.950747054840691,4.950747054840691,0.071222734544377,0.071222734544377
52,10400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.7744209942832987,0.005,1.0,True,1226.4611984480198,6.132305992240099,10.251150578175006,5.450206237601236,6.427285211008639,,6.352736414591645,128.54570422017278,2.611535728933928,0.29,200,76.31724144974399,61.02593735903444,36.000051147626785,36.61222806966452,116.17095600765722,132.3789086789852,459.0717528028243,698.6982883129068,19.781494140625,0.6275126338005066,0.73876828660185,5.106613911481558,5.106613911481558,4.979142019382383,4.979142019382383,0.12747189209917487,0.12747189209917487
