episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
13,2600,rician,0.24956683333333332,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,254.08606660556708,1.2704303330278355,9.77566931300079,13.244415332877812,2.049136370676329,,,40.98272741352659,6.765655429542168,0.024640232473611832,200,374.1680257080378,375.8040326424812,370.3665789241286,371.6572488360694,0,378.6696326024884,262.52085267450127,361.8511821854232,888.4839425422871,3.7408606903639856,3.7408606903639856,3.7408606903639856,3.7408606903639856,0.0,0.0
14,2800,rician,0.2495335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,688.1667602828185,3.4408338014140925,9.395730675728299,8.651824637318507,4.22374906991407,,,84.47498139828141,6.804139394700216,0.043982328996062275,200,378.9926406325716,374.51278318913364,376.81862813111366,371.5473134299302,0,232.74024636770451,299.56944628496313,721.8299835659542,496.76948232916,3.775352717474706,3.775352717474706,3.775352717474706,3.775352717474706,0.0,0.0
15,3000,rician,0.24950016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,254.42840757447811,1.2721420378723907,9.688566301095957,12.468394096936976,2.4663235236557632,,,49.326470473115265,6.656844381451817,0.060552076771855354,200,373.07699107937316,307.451589553633,368.7234569829456,289.2966951990039,0,340.9883718418914,177.37646271339457,173.44374643878388,752.4475123520365,3.6880841045534436,3.6880841045534436,3.6880841045534436,3.6880841045534436,0.0,0.0
16,3200,rician,0.24946683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,90.62780841389457,0.45313904206947286,8.322898312578419,11.941321414923024,1.896189651668321,,,37.92379303336642,6.600168306982571,0.04307216189801693,200,329.5326532761168,335.4301851726912,312.21525669593734,327.5046219540356,0,694.1450880914575,583.933798501762,283.21173230616375,678.0211861841425,3.576090701248123,3.576090701248123,3.576090701248123,3.576090701248123,0.0,0.0
17,3400,rician,0.2494335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,368.70360641276227,1.8435180320638114,8.57623135665552,9.106478485097274,3.253818007437194,,,65.07636014874389,6.510900896887058,0.055894991159439085,200,355.36699523579,326.3909115210857,337.73699062821356,304.58940300621646,0,488.1962972404653,272.419768806494,713.0660881924722,919.5298727793482,3.5571334839651274,3.5571334839651274,3.5571334839651274,3.5571334839651274,0.0,0.0
18,3600,rician,0.24940016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,279.96326513048876,1.3998163256524438,7.962779621566431,10.236488318436152,2.7671894731673876,,,55.34378946334776,6.719966488533564,0.02782549202442169,200,378.7083273569383,316.65333112705497,370.5655799589648,291.82945704408627,0,705.9489860121216,312.82400131464834,667.9583089515027,212.99537704899043,3.513247705587475,3.513247705587475,3.513247705587475,3.513247705587475,0.0,0.0
19,3800,rician,0.24936683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,485.61658303506323,2.4280829151753163,8.148289506964492,10.31457507787206,3.1844969876766394,,,63.6899397535328,6.551460419625127,0.056538484245538714,200,356.21865921144564,373.0244143176117,344.25367453816256,366.2081327599686,0,770.6589952418988,375.9419115096577,328.0894712909911,144.15259027103568,3.495945036223747,3.495945036223747,3.495945036223747,3.495945036223747,0.0,0.0
20,4000,rician,0.2493335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,-66.88099518417744,-0.3344049759208872,8.183589056505474,11.087351913948885,2.044331983361098,,,40.886639667221964,6.795490893784086,0.03638683371245861,200,112.15952450869699,307.12394767038984,106.72252247354402,282.0015837819109,0,708.215324363792,708.8723439378913,460.19533441172825,713.1449882117662,3.4233643835806147,3.4233643835806147,3.4233643835806147,3.4233643835806147,0.0,0.0
21,4200,rician,0.24930016666666666,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,361.4762947863647,1.8073814739318235,8.978489878884586,11.913757810568477,2.8784691669723683,,,57.56938333944737,6.731214716971571,0.031793538630008694,200,352.0561495385834,378.2396263160602,337.8854550728329,372.6450824765872,0,224.92770997908127,529.9987851493794,197.39750412264468,197.9002758883417,3.269953112843184,3.269953112843184,3.3974169923135555,3.3974169923135555,0.12746387947037174,0.12746387947037174
22,4400,rician,0.24926683333333333,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,98.18457146557488,0.4909228573278744,9.179141871042267,13.490633515295565,1.998832598169311,,,39.976651963386225,6.722206200255009,0.044336415454745294,200,311.5453237490907,374.35413454779393,284.87822006683206,367.21552050021705,0,309.67868648068304,510.8879662377436,222.87060786660132,593.2021183704878,2.982951872980819,2.982951872980819,3.333844974397908,3.333844974397908,0.35089310141708907,0.35089310141708907
23,4600,rician,0.2492335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,168.64441125529578,0.843222056276479,8.239926803556706,10.70172854088148,2.010789252875622,,,40.21578505751245,6.712135167482394,0.028810321763157846,200,377.6974748645575,334.7017032165604,370.15909582092695,309.94101973369106,0,484.523870875379,139.84825219960211,948.368985108562,1237.7096135934705,2.73023948490179,2.73023948490179,3.2763208125925916,3.2763208125925916,0.5460813276908016,0.5460813276908016
24,4800,rician,0.24920016666666667,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,349.5116023299986,1.747558011649993,9.20447981918993,10.519674787246379,3.098817591770262,,,61.97635183540525,6.603466135495129,0.02690471038222313,200,303.2618299652611,370.9092155365519,280.5683622750358,367.703530593049,0,261.88028098664273,611.3460044733,699.0664234158298,550.8183320562916,2.8206249044628198,2.8206249044628198,3.268924845058327,3.268924845058327,0.44829994059550726,0.44829994059550726
25,5000,rician,0.24916683333333334,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,658.5129390201951,3.2925646951009755,9.9443542743936,8.675941152564345,4.092026227270801,,,81.84052454541603,6.734247488023969,0.05339840330183506,200,370.26792496430926,376.69957478389125,361.62659989391176,370.6209712542604,0,101.83287762837236,248.33163563387328,844.0263548480515,719.0451977484502,2.824425844021097,2.824425844021097,3.301848900346826,3.301848900346826,0.4774230563257289,0.4774230563257289
26,5200,rician,0.2491335,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,85.80930494784927,0.42904652473924637,9.58915417291379,13.867798627392833,1.6440624574392277,,,32.881249148784555,6.767266152398716,0.033839590772986414,200,375.1851944642533,336.1878046890252,368.58953970683007,320.8352229196572,0,367.51083960686765,63.780378777411656,302.05604260702796,948.0607909166054,2.6495214538550234,2.6495214538550234,3.238087883311919,3.238087883311919,0.5885664294568955,0.5885664294568955
27,5400,rician,0.24910016666666668,ou,velocity,False,True,False,full,True,False,False,False,500.0,64,39.81786043646385,0.19908930218231927,9.29060617969161,14.77889010748169,1.282344148706682,,,25.64688297413364,6.5753173306972466,0.02824240639805794,200,329.2254357082756,374.7921657642209,307.002696230808,370.66499560212907,0,247.88880437784374,645.60574532062,148.34418607340794,713.1747759549838,2.6253032386684962,2.6253032386684962,3.1656529301783913,3.1656529301783913,0.5403496915098951,0.5403496915098951
