episode,bs_beamformer,uav_trajectory,jammer_beamformer
1,-0.1462315142388871,-0.1462315142388871,-0.1462315142388871
2,-0.015623751305472397,-0.015623751305472397,-0.015623751305472397
3,0.5879547398094362,0.5879547398094362,0.5879547398094362
4,0.41997002153677004,0.41997002153677004,0.41997002153677004
5,-0.07494825286544356,-0.07494825286544356,-0.07494825286544356
6,0.3158189022173437,0.3158189022173437,0.3158189022173437
7,0.2835588392086862,0.2835588392086862,0.2835588392086862
8,0.07975107938458484,0.07975107938458484,0.07975107938458484
9,-0.40201579514036145,-0.40201579514036145,-0.40201579514036145
10,-0.7244277716753307,-0.7244277716753307,-0.7244277716753307
11,-0.7713954609808372,-0.7713954609808372,-0.7713954609808372
12,-1.2226062374921196,-1.2226062374921196,-1.2226062374921196
13,-1.2000222236030647,-1.2000222236030647,-1.2000222236030647
14,-0.5302323867962102,-0.5302323867962102,-0.5302323867962102
15,-0.32409771593126685,-0.32409771593126685,-0.32409771593126685
16,-0.2513661130236939,-0.2513661130236939,-0.2513661130236939
17,-0.39772375011804334,-0.39772375011804334,-0.39772375011804334
18,-0.2968815891820766,-0.2968815891820766,-0.2968815891820766
19,-0.4552539791597563,-0.4552539791597563,-0.4552539791597563
20,-0.4610743860534977,-0.4610743860534977,-0.4610743860534977
21,-0.3958483187872791,-0.3958483187872791,-0.3958483187872791
22,-0.2739791013266044,-0.2739791013266044,-0.2739791013266044
23,0.21936553874988463,0.21936553874988463,0.21936553874988463
24,0.5931148168532644,0.5931148168532644,0.5931148168532644
25,-0.09238111746412044,-0.09238111746412044,-0.09238111746412044
26,-0.2998712617486757,-0.2998712617486757,-0.2998712617486757
27,-0.2510667070757332,-0.2510667070757332,-0.2510667070757332
28,-0.13669226953194508,-0.13669226953194508,-0.13669226953194508
29,-0.34270986486036364,-0.34270986486036364,-0.34270986486036364
30,-0.17821040928129805,-0.17821040928129805,-0.17821040928129805
31,-0.21941049784417477,-0.21941049784417477,-0.21941049784417477
32,0.0960679170553052,0.0960679170553052,0.0960679170553052
33,-0.2803659803724979,-0.2803659803724979,-0.2803659803724979
34,-0.030712535769462646,-0.030712535769462646,-0.030712535769462646
35,-0.13496027591557147,-0.13496027591557147,-0.13496027591557147
36,-0.10365318734477849,-0.10365318734477849,-0.10365318734477849
37,-0.20240318845500258,-0.20240318845500258,-0.20240318845500258
38,-0.23328224043115545,-0.23328224043115545,-0.23328224043115545
39,-0.2743395473754067,-0.2743395473754067,-0.2743395473754067
40,-0.13296510689563618,-0.13296510689563618,-0.13296510689563618
41,-0.23231435435369194,-0.23231435435369194,-0.23231435435369194
42,-0.31814548792936065,-0.31814548792936065,-0.31814548792936065
43,0.0037074170564521136,0.0037074170564521136,0.0037074170564521136
44,-0.17873826935049636,-0.17873826935049636,-0.17873826935049636
45,-0.12788939437809177,-0.12788939437809177,-0.12788939437809177
46,-0.029197953779478536,-0.029197953779478536,-0.029197953779478536
