episode,avg_crb,avg_pd,avg_reward,uav_1/actor_grad_norm,uav_1/actor_loss,uav_1/critic_grad_norm,uav_1/critic_loss,uav_1/reward_mean,uav_1/reward_std,uav_2/actor_grad_norm,uav_2/actor_loss,uav_2/critic_grad_norm,uav_2/critic_loss,uav_2/reward_mean,uav_2/reward_std
1,0.05682675453884948,0.6599999999999999,0.35584527011354805,,,,,,,,,,,,
2,0.027146711291726522,0.8225,0.9305133848583435,,,,,,,,,,,,
3,0.5406339311120979,0.97625,0.06462733488342416,,,,,,,,,,,,
4,0.06181970346181574,0.74875,0.37613896304824573,,,,,,,,,,,,
5,0.22309896450822703,0.9237500000000001,0.5022838490994578,,,,,,,,,,,,
6,0.12583046209442666,0.8487499999999999,0.4174034927005573,,,,,,,,,,,,
7,0.09593320452029411,0.4175000000000001,-0.17308049878496407,0.04476846382021904,-0.11933218687772751,1.1183547973632812,0.4123576283454895,0.3395482301712036,0.5526129603385925,0.03764570876955986,0.059182167053222656,1.0916308164596558,0.43297070264816284,0.3685687184333801,0.539925754070282
8,0.07629584130518505,0.9724999999999999,0.2634646176354093,0.03900646045804024,-0.15105950832366943,1.2009587287902832,0.39397233724594116,0.39191341400146484,0.5235065221786499,0.0491706058382988,0.037484653294086456,0.9179213047027588,0.3888315260410309,0.33691298961639404,0.5310951471328735
9,0.06532391907227052,0.97875,0.7261106090593527,0.03865674138069153,-0.18535205721855164,0.8880671262741089,0.32268664240837097,0.33169806003570557,0.509661853313446,0.05585696920752525,0.012895403429865837,0.8038545250892639,0.308773934841156,0.32624897360801697,0.47697925567626953
10,0.03492981956190355,0.97,1.1171573025460166,0.035087715834379196,-0.21312692761421204,1.239039421081543,0.42416149377822876,0.45415088534355164,0.5594223737716675,0.05653803423047066,-0.017898019403219223,0.9722838401794434,0.4328591227531433,0.4059811234474182,0.5685060620307922
11,0.12251386101817044,0.87625,0.038062277088524187,0.03911840170621872,-0.2507636547088623,1.2162593603134155,0.3847929537296295,0.47366130352020264,0.5339837670326233,0.06450653076171875,-0.02863529697060585,0.8218985199928284,0.40516382455825806,0.36548903584480286,0.57044517993927
12,0.1370172116947433,0.82875,0.5627189683671763,0.03759755566716194,-0.28307169675827026,1.1907758712768555,0.3884105086326599,0.5020983815193176,0.5371991991996765,0.06607808917760849,-0.05185862258076668,1.0672811269760132,0.43886566162109375,0.47920122742652893,0.5529083609580994
13,0.01136578086418351,0.835,0.8382640317116291,0.040436431765556335,-0.31947416067123413,1.2823430299758911,0.34774836897850037,0.5495005249977112,0.49142223596572876,0.06853675842285156,-0.07156533002853394,0.931821882724762,0.4269323945045471,0.42594319581985474,0.5937913656234741
14,0.01925318594255273,0.76375,0.7341652890633108,0.045413482934236526,-0.3448873460292816,1.100177526473999,0.3650563359260559,0.5248180031776428,0.5450743436813354,0.07851679623126984,-0.11241604387760162,1.2389802932739258,0.45344674587249756,0.5648435354232788,0.5425907373428345
15,0.03644703625742673,0.9299999999999999,0.5171978816070227,0.04962453991174698,-0.3651237487792969,0.8479675650596619,0.3422030508518219,0.48118212819099426,0.5531129240989685,0.08381164819002151,-0.13999339938163757,1.087693452835083,0.3746521472930908,0.5185864567756653,0.5193992853164673
16,0.42305513924897103,0.9337500000000001,-0.18480069961230422,0.05577481538057327,-0.4031504690647125,0.7414079904556274,0.31152141094207764,0.4667401611804962,0.5521213412284851,0.0924137532711029,-0.17277157306671143,0.9624293446540833,0.29792046546936035,0.5051116347312927,0.46912264823913574
17,0.020599133476754426,0.9275,0.8902812506116723,0.05788123980164528,-0.4387179911136627,0.5729827284812927,0.2706764340400696,0.44503718614578247,0.5314238667488098,0.10502157360315323,-0.1994103491306305,0.942866325378418,0.3122817575931549,0.4972039461135864,0.5197959542274475
18,1.3155740387827801,0.9075,-0.126508079919861,0.06418921053409576,-0.44456055760383606,0.3941803574562073,0.2981441020965576,0.39488309621810913,0.5562178492546082,0.11474472284317017,-0.2425735592842102,0.6947934627532959,0.3187614977359772,0.469337522983551,0.539713442325592
19,1.0624174600308414,0.8875,0.23896908407409884,0.07133712619543076,-0.5009204149246216,0.4829128086566925,0.2888903021812439,0.4662342369556427,0.5606721043586731,0.11855106800794601,-0.26151013374328613,0.5634059906005859,0.23175667226314545,0.43456411361694336,0.47508808970451355
20,0.9528551992926593,0.6425,-0.6262248072348369,0.0775943398475647,-0.5072234272956848,0.35466745495796204,0.3673631548881531,0.38812896609306335,0.6409796476364136,0.12168809771537781,-0.28026285767555237,0.22881968319416046,0.4220968186855316,0.30472442507743835,0.6651908159255981
21,0.43175946927539577,0.6912499999999999,0.01205401694488129,0.07882142812013626,-0.5323678255081177,0.4003196954727173,0.2717781662940979,0.30856236815452576,0.5548542737960815,0.120489701628685,-0.30474260449409485,0.24534131586551666,0.3376689553260803,0.2771006226539612,0.5939158201217651
22,0.03697808927929959,0.86875,0.5896822574307332,0.08412162959575653,-0.549498438835144,0.3815371096134186,0.30496251583099365,0.45981794595718384,0.5966170430183411,0.140051931142807,-0.35493040084838867,0.14798817038536072,0.28096193075180054,0.34004443883895874,0.5481082201004028
23,0.021295120995412014,0.81875,0.709398179317262,0.08262232691049576,-0.5951530337333679,0.2648581266403198,0.3157687783241272,0.47396785020828247,0.5994197130203247,0.13707393407821655,-0.3889700472354889,0.2009654939174652,0.3008038103580475,0.4206480383872986,0.5605813264846802
24,0.049144907816153036,0.5325,0.2632016428813722,0.08797018229961395,-0.611214280128479,0.22394771873950958,0.24550792574882507,0.4408499598503113,0.5513430833816528,0.14240694046020508,-0.3891178071498871,0.20723827183246613,0.35167166590690613,0.4267114996910095,0.607874870300293
25,0.027986670118925285,0.9487499999999999,0.6923591837025271,0.08574473857879639,-0.5601081848144531,0.6457457542419434,0.25851887464523315,0.2603168189525604,0.5429000854492188,0.1445693075656891,-0.4218665659427643,0.2320309281349182,0.2648354470729828,0.4066411852836609,0.5422948002815247
26,0.06888051204865463,0.8100000000000002,0.8011811855076474,0.09125971049070358,-0.6085754632949829,0.226881206035614,0.21880701184272766,0.42636626958847046,0.5314803123474121,0.15611323714256287,-0.4563710689544678,0.34331178665161133,0.23598474264144897,0.5165614485740662,0.5139655470848083
27,0.37223473611212843,0.8087500000000001,-0.015752621381179922,0.08022560179233551,-0.6401627063751221,0.45794811844825745,0.2839925289154053,0.378364235162735,0.5521712303161621,0.14682698249816895,-0.44989335536956787,0.26164835691452026,0.2697778046131134,0.3941735625267029,0.5575635433197021
28,0.061397146298612905,0.945,0.6106342775387184,0.07577823847532272,-0.6393245458602905,0.31786537170410156,0.23908425867557526,0.42041638493537903,0.5429671406745911,0.15682868659496307,-0.4804089665412903,0.33009931445121765,0.28862881660461426,0.40184852480888367,0.5677782893180847
29,0.03243786227565446,0.85625,0.5031043501034104,0.07786249369382858,-0.6624464988708496,0.19055117666721344,0.23175859451293945,0.48297470808029175,0.5088499188423157,0.1587124764919281,-0.4756261110305786,0.3445080518722534,0.3232370913028717,0.39145535230636597,0.6334834694862366
30,0.8313043209545009,0.8637499999999999,-0.25846109979567183,0.07733836024999619,-0.6365392208099365,0.4464958906173706,0.286877304315567,0.3835226893424988,0.5855621099472046,0.15197838842868805,-0.4777500033378601,0.688672661781311,0.2808838188648224,0.29828038811683655,0.5644236207008362
