episode,avg_crb,avg_pd,avg_reward,eval_avg_crb,eval_avg_pd,eval_avg_reward,eval_std_crb,eval_std_pd,eval_std_reward
1,0.0423022354610517,0.6075,0.19678801883881836,0.7437733421321003,0.7181,0.23619551805850492,1.2679843877180847,0.21961907931689356,0.6787864601756373
2,0.09664861981804797,0.8574999999999999,0.7342592786143904,,,,,,
3,6.311938308922107,0.7625,-0.4267758428995655,,,,,,
4,0.07191754414807279,0.865,0.5647769739288762,,,,,,
5,6.070341117167056,1.0,-0.17782419052027154,37.344317082391086,0.7142999999999999,0.06014627987611061,73.14301981479439,0.1983400110920638,0.5133179686915588
