seed,fading_model,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,ddpg_avg_rsec_mbps,ddpg_episode_secrecy_mbits,random_avg_rsec_mbps,greedy_avg_rsec_mbps
7,rician,False,False,full,True,False,False,7.59780612630544,151.9561225261088,7.302503448531707,8.672063341624257
21,rician,False,False,full,True,False,False,7.001336263485297,140.02672526970593,7.314362957712371,8.491663886455516
42,rician,False,False,full,True,False,False,7.130041087213032,142.60082174426066,6.235317962787695,8.349995465322348
84,rician,False,False,full,True,False,False,6.758427866236597,135.16855732473195,7.29574286073575,8.47476686493229
168,rician,False,False,full,True,False,False,7.371320220982414,147.4264044196483,6.671283149230402,8.775047903987659
