algorithm,episode,global_step,fading_model,control_mode,role_switching,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,episode_reward_bps_step,avg_shaped_reward,avg_R_sec_mbps,episode_secrecy_mbits,steps,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
PPO,1,200,rician,velocity,False,False,False,full,True,False,False,False,500.0,1237.4971692130378,6.187485846065189,6.501010331724737,130.02020663449477,200,6.501010331724737,6.501010331724737,0.0
PPO,2,400,rician,velocity,False,False,False,full,True,False,False,False,500.0,956.1082446045165,4.780541223022582,6.234160207559862,124.68320415119726,200,6.3675852696423,6.3675852696423,0.0
