method,fading_model,avg_rsec_mbps,episode_secrecy_mbits
Random Walk,rician,5.565309426262736,111.30618852525468
Distance-Greedy,rician,7.352896365621748,147.05792731243497
DQN,rician,6.345834748347982,126.91669496695965
DDPG,rician,0.0,0.0
Random Walk,rayleigh,4.84777867065652,96.95557341313034
Distance-Greedy,rayleigh,6.755867536962314,135.11735073924643
DQN,rayleigh,5.76045572351076,115.2091144702152
DDPG,rayleigh,0.0,0.0
