label,action_range,lambda_action,entropy_coef,obs_clip,avg_secrecy,avg_sensing,avg_reward,corr_reward_secrecy,max_saturation,reward_improvement
baseline,1.0,0.0,0.01,0.0,2.8928040533777204,43.11547762045459,0.3696866323822374,0.5615375865301288,0.972,-0.01486432157512571
ar0.5,0.5,0.0,0.01,0.0,3.2686257519637896,43.350260756271766,0.05638173971441913,0.18633864696410266,0.996,0.3703722926078066
ar0.5_la1e-2,0.5,0.01,0.01,0.0,3.5006928598785145,43.26290911339563,1.003763222772735,0.6941220220722405,1.0,0.06743268388415022
ar0.5_la5e-2,0.5,0.05,0.01,0.0,2.1604734990146106,38.52683339931289,0.07148019136604047,0.8239082278542682,0.9333333333333333,-0.06960877735705182
ar0.5_la5e-2_e0.05,0.5,0.05,0.05,0.0,2.378999676307395,43.406332594177776,-0.2067691598893309,0.17980584067518107,1.0,-0.08403673580865254
ar0.25_la1e-2,0.25,0.01,0.01,0.0,1.531704964120604,42.7875319914271,-0.8943448680777051,0.7475065688603465,1.0,-0.8310521836252223
ar0.25_la5e-2_e0.05,0.25,0.05,0.05,0.0,3.5678832897259825,42.96882096927685,-0.4692962296426271,0.371216069333732,1.0,0.22929479947438658
ar0.5_la1e-1_e0.10_oc5,0.5,0.1,0.1,5.0,3.2520422108869345,42.99382640989248,0.9719881792801748,0.7486080042120076,0.8755,-0.14329295497520256
