update,agent,pre_tanh_mean,pre_tanh_std,pre_tanh_max,weight_g,weight_v_norm
1,bs_beamformer,0.8032877648996752,1.0055287229044243,3.928312301635742,0.009999999776482582,0.06324555724859238
2,bs_beamformer,0.797557485975325,1.0037045266782876,3.8125247955322266,0.010776151902973652,0.09193509072065353
3,bs_beamformer,0.8047556558838114,1.0074049223299704,3.6173174381256104,0.011337513104081154,0.12225891649723053
4,bs_beamformer,0.801024325795006,1.0022878215603532,3.390392303466797,0.011617155745625496,0.14088349044322968
5,bs_beamformer,0.8076815704051405,1.021712457132486,4.19314432144165,0.011851007118821144,0.1564318835735321
6,bs_beamformer,0.8049411196527071,1.001734832274986,3.5718071460723877,0.01224037166684866,0.17664533853530884
7,bs_beamformer,0.7892330923904665,0.9858446270473114,3.421109676361084,0.012638218700885773,0.1975829303264618
8,bs_beamformer,0.787277225558646,0.9832973992784543,3.4179165363311768,0.01288691908121109,0.21670328080654144
9,bs_beamformer,0.8195907080895267,1.0277494984078925,3.7061285972595215,0.012949568219482899,0.22877010703086853
10,bs_beamformer,0.8051276002153754,1.0056603673815567,4.410449981689453,0.013058465905487537,0.23649285733699799
11,bs_beamformer,0.8056343032824806,1.0110225038052338,4.346218585968018,0.013259517960250378,0.2445325404405594
12,bs_beamformer,0.8053485666955821,1.0152047028603373,3.4772472381591797,0.013484334573149681,0.25687143206596375
13,bs_beamformer,0.8014450051500462,0.9982284316944416,3.4915318489074707,0.013683167286217213,0.2667897641658783
14,bs_beamformer,0.7977623691922053,1.0038046318455236,3.523580551147461,0.013732882216572762,0.2786376476287842
15,bs_beamformer,0.7892305013389559,0.9846300340758676,3.2114200592041016,0.013599787838757038,0.2894209027290344
16,bs_beamformer,0.815305608489085,1.0240986693206422,3.378999710083008,0.013645732775330544,0.3008955717086792
17,bs_beamformer,0.8069104338116012,1.0097437751719305,3.2366223335266113,0.0137727539986372,0.31451714038848877
18,bs_beamformer,0.7975841845748947,0.9986436321176557,3.5528922080993652,0.013779843226075172,0.3276739716529846
19,bs_beamformer,0.8175567855732515,1.0180174854446846,3.687182664871216,0.013831159099936485,0.33943185210227966
20,bs_beamformer,0.8057130699786358,1.0140612486867415,4.078585624694824,0.013852554373443127,0.3475273549556732
21,bs_beamformer,0.8130580076323822,1.0137425514152325,3.2207436561584473,0.013838691636919975,0.35560575127601624
22,bs_beamformer,0.804367175959982,1.010971964208509,3.890397071838379,0.013846795074641705,0.3642030656337738
23,bs_beamformer,0.831463543301681,1.041029798307877,3.457888603210449,0.013887214474380016,0.37158307433128357
24,bs_beamformer,0.8015042930962518,1.0129500383041803,4.397502422332764,0.013975551351904869,0.3778015971183777
