method,avg_secrecy,std_secrecy,avg_sensing,std_sensing,avg_reward,bs_saturation,corr_reward_secrecy
random_feasible,2.9799063669444648,1.5437094379353553,42.73212237517056,,,,
sca_bcd,7.0312921004488915,2.195129823375257,44.161730519891094,,,,
phase6c10_best,4.6827,,44.4748,,,,
weightnorm_phase6c11,2.937795622074768,1.431601598955126,44.837028224584614,0.899610901087149,1.0865367374445554,0.0,0.794552300939005
