policy,fading_model,seed,episodes,mean_avg_R_sec_mbps,mean_episode_secrecy_mbits,mean_avg_R_legit_mbps,mean_avg_R_eve_mbps
Random Walk,rician,7,2,6.113680617553019,122.27361235106028,8.690082271709233,2.5794714624970094
Random Walk,rician,21,2,7.8900410351346615,157.80082070269327,8.69853250876152,0.80849147362686
Distance-Greedy,rician,7,2,7.931493491631464,158.6298698326293,8.629841601535421,0.6983481099039536
Distance-Greedy,rician,21,2,8.213497634544373,164.26995269088764,8.44723447508684,0.23373684054246507
Random Walk,rayleigh,7,2,5.345327031409372,106.90654062818743,8.28022087807418,2.9989774654019583
Random Walk,rayleigh,21,2,7.285358095239915,145.70716190479828,8.312481482375292,1.0424260287475362
Distance-Greedy,rayleigh,7,2,7.330261200033976,146.60522400067964,8.259825142556515,0.9295639425225326
Distance-Greedy,rayleigh,21,2,7.638427568616942,152.7685513723388,8.031046775700613,0.3926192070836688
