episode,global_step,fading_model,control_mode,epsilon,episode_reward_bps_step,avg_reward_mbps,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rayleigh,waypoint,0.99527375,1014721551.3364267,5.073607756682133,9.728231231410918,7.420374280009045,5.1151211206630025,102.30242241326005,4.151336398086947,0.26,200,220.83882361727606,239.9927575319155,215.35954211898994,233.11647315896047,205.3442717405823,59.42133938987827,235.35173450521737,434.0876610758198,5.1151211206630025,5.1151211206630025,0.0
2,400,rayleigh,waypoint,0.99052375,905945617.6911019,4.529728088455509,7.9967572918805825,6.072204294323333,4.585626137231792,91.71252274463583,5.589804877628267,0.2325,200,323.9525919291181,311.62105424345526,320.39097061860036,307.76513632972586,505.09718616295095,227.17786128371785,739.8375384229203,561.3437538848294,4.850373628947397,4.850373628947397,0.0
3,600,rayleigh,waypoint,0.98577375,877647121.9590747,4.388235609795374,7.702203957375808,6.124237864936089,4.435629231112387,88.71258462224776,4.739362131701369,0.25625,200,292.2186224482842,244.0469841627547,287.2611070928793,241.28541655758806,694.0298837851014,149.7902358493619,587.8378424257713,355.97566526288836,4.712125496335727,4.712125496335727,0.0
4,800,rayleigh,waypoint,0.98102375,463641486.707267,2.318207433536335,7.7289171404295685,10.01328830844676,2.3663222584908703,47.32644516981741,4.811482495453497,0.24,200,225.04620458883517,312.30065778402917,215.12780963618448,307.43747306759064,746.3274622039334,129.22203039757824,140.36356628025038,630.7386326987429,4.125674686874513,4.125674686874513,0.0
5,1000,rayleigh,waypoint,0.97627375,801982486.7562872,4.0099124337814365,8.83315844076937,8.816773119834108,4.042084858047333,80.84169716094667,3.217242426589787,0.22375,200,148.9190480625554,155.642426889141,127.29178714348673,150.61648498599016,432.8673083602666,52.043503406262694,257.3069598889387,491.86932317013014,4.1089567211090765,4.1089567211090765,0.0
