episode,bs_beamformer,uav_jammer
1,7.264604330712292,7.264604330712292
2,7.264604330712292,7.264604330712292
3,7.264604330712292,7.264604330712292
4,7.264604330712292,7.264604330712292
5,7.2596359022002135,7.2596359022002135
6,7.2596359022002135,7.2596359022002135
7,7.18741073620949,7.18741073620949
8,7.18741073620949,7.18741073620949
9,6.919365078946168,6.919365078946168
10,6.919365078946168,6.919365078946168
11,7.019819805655706,7.019819805655706
12,7.019819805655706,7.019819805655706
13,7.084839483225661,7.084839483225661
14,7.084839483225661,7.084839483225661
15,7.117756343237443,7.117756343237443
16,7.117756343237443,7.117756343237443
17,7.121055486085157,7.121055486085157
18,7.121055486085157,7.121055486085157
19,7.117441482854775,7.117441482854775
20,7.117441482854775,7.117441482854775
21,7.1102227189153995,7.1102227189153995
22,7.1102227189153995,7.1102227189153995
23,7.065200767413053,7.065200767413053
24,7.065200767413053,7.065200767413053
25,7.061109310181311,7.061109310181311
26,7.061109310181311,7.061109310181311
27,7.05785972714609,7.05785972714609
28,7.05785972714609,7.05785972714609
29,7.056764857995393,7.056764857995393
30,7.056764857995393,7.056764857995393
31,7.054878361559763,7.054878361559763
32,7.054878361559763,7.054878361559763
33,7.053301499436669,7.053301499436669
34,7.053301499436669,7.053301499436669
35,7.007053947131187,7.007053947131187
36,7.007053947131187,7.007053947131187
37,7.006714345045355,7.006714345045355
38,7.006714345045355,7.006714345045355
39,7.006625462113477,7.006625462113477
40,7.006625462113477,7.006625462113477
41,7.006520472462987,7.006520472462987
42,7.006520472462987,7.006520472462987
43,7.0063535685396205,7.0063535685396205
44,7.0063535685396205,7.0063535685396205
45,7.006190484862727,7.006190484862727
46,7.006190484862727,7.006190484862727
47,7.010432908792531,7.010432908792531
48,7.010432908792531,7.010432908792531
49,7.011562475817666,7.011562475817666
50,7.011562475817666,7.011562475817666
51,7.0108552680916265,7.0108552680916265
52,7.0108552680916265,7.0108552680916265
53,7.009734925148531,7.009734925148531
54,7.009734925148531,7.009734925148531
55,7.008033104086113,7.008033104086113
56,7.008033104086113,7.008033104086113
57,7.006052003669592,7.006052003669592
58,7.006052003669592,7.006052003669592
59,7.00605210373107,7.00605210373107
60,7.00605210373107,7.00605210373107
61,7.006052703446655,7.006052703446655
62,7.006052703446655,7.006052703446655
63,7.00605340746037,7.00605340746037
64,7.00605340746037,7.00605340746037
65,7.006054220936551,7.006054220936551
66,7.006054220936551,7.006054220936551
67,7.006069033641628,7.006069033641628
68,7.006069033641628,7.006069033641628
69,7.006069215130737,7.006069215130737
70,7.006069215130737,7.006069215130737
71,7.006057718926553,7.006057718926553
72,7.006057718926553,7.006057718926553
73,7.0060592580609695,7.0060592580609695
74,7.0060592580609695,7.0060592580609695
75,7.006061006647445,7.006061006647445
76,7.006061006647445,7.006061006647445
77,7.0060631976716286,7.0060631976716286
78,7.0060631976716286,7.0060631976716286
79,7.006066230263127,7.006066230263127
80,7.006066230263127,7.006066230263127
81,7.00606964130331,7.00606964130331
82,7.00606964130331,7.00606964130331
83,7.006073914186378,7.006073914186378
84,7.006073914186378,7.006073914186378
85,7.006090879757843,7.006090879757843
86,7.006090879757843,7.006090879757843
87,7.006100019448972,7.006100019448972
88,7.006100019448972,7.006100019448972
89,7.0061102510456434,7.0061102510456434
90,7.0061102510456434,7.0061102510456434
91,7.006120407013253,7.006120407013253
92,7.006120407013253,7.006120407013253
93,7.006117703129864,7.006117703129864
94,7.006117703129864,7.006117703129864
