episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,reward_scale_divisor,use_double_dqn,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,mean_q_value,loss,rolling_reward_variance,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
11,2200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9511101304657719,0.005,5.0,True,981.3902889684452,4.9069514448422265,8.927145042923105,6.807919795610872,5.201604523377394,,,104.03209046754789,2.5416807756101907,0.24625,200,55.9241704543448,54.43561193328266,20.566074636428663,35.821827609124526,417.3587441942205,108.52162204617342,392.24622565318793,624.9660401983926,1.1205018758773804,1.0686901807785034,0.45797854815514705,5.122337860696313,5.122337860696313,5.122337860696313,5.122337860696313,0.0,0.0
12,2400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.946354579813443,0.005,5.0,True,745.2998885937697,3.7264994429688483,8.476027063245546,9.542706713107968,4.012826630851318,,,80.25653261702638,2.498101135626409,0.2175,200,39.23662512037837,50.04709781644605,18.746273856033422,16.562083901582465,565.1738427531126,408.27437100953085,127.52024106100234,263.03536459721903,2.3017494678497314,0.45130467414855957,0.492745239681704,5.0298785915425634,5.0298785915425634,5.0298785915425634,5.0298785915425634,0.0,0.0
13,2600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9416228069143757,0.005,5.0,True,1018.1599959705381,5.090799979852691,8.593572644495074,5.073985155579131,5.859124699117911,,,117.18249398235822,2.549626459051341,0.27,200,54.49205171791472,55.048751358018826,28.482118586201583,22.57604667874937,469.5522674582983,607.3391758191417,680.970772287897,387.15034422531426,2.974726676940918,0.09683716297149658,0.4704348574904001,5.0936667536637446,5.0936667536637446,5.0936667536637446,5.0936667536637446,0.0,0.0
14,2800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9369146928798039,0.005,5.0,True,1047.9178694736388,5.239589347368194,8.773297234995644,4.540321898555147,6.2298452085591185,,,124.59690417118237,2.536994264799326,0.2725,200,44.095793105028264,52.99253093678162,17.326811963106323,26.870451131854402,464.894397787993,337.8177522994473,865.6100333387055,300.5708545389356,3.532360076904297,0.24944473803043365,0.4592493560524469,5.174822357584842,5.174822357584842,5.174822357584842,5.174822357584842,0.0,0.0
15,3000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9322301194154049,0.005,5.0,True,1122.312612451013,5.6115630622550645,9.49179837228397,5.714208414358315,6.004139714642103,,,120.08279429284207,2.5374913898447904,0.27875,200,48.91197545454388,55.39760014006157,7.7494092506650505,30.34311596956297,129.51882739638023,429.7672622921693,583.4604475812188,709.6581842130042,4.713225364685059,0.1428593397140503,0.48036388219667664,5.2301101813886595,5.2301101813886595,5.2301101813886595,5.2301101813886595,0.0,0.0
16,3200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9275689688183278,0.005,5.0,True,1276.9812436507248,6.384906218253624,9.356324350069142,4.699504213426021,6.670397535699684,,,133.4079507139937,2.553785174417867,0.28375,200,65.55839188667348,48.46744897799648,41.496233199947746,34.79360671630282,235.31811660708289,399.0978247040007,539.0710454937831,273.47692457578785,5.430678367614746,0.05597369372844696,0.6049441287315676,5.320128141033099,5.320128141033099,5.320128141033099,5.320128141033099,0.0,0.0
17,3400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9229311239742362,0.005,5.0,True,998.7114883595775,4.993557441797887,9.618147201089801,7.777859551847862,5.286632653139931,,,105.73265306279862,2.5767248335482575,0.26375,200,69.12584229845007,53.78136080553201,59.02408289763465,25.43136527679906,119.92227476801004,360.5381918025329,175.1174778647853,361.47054307360975,6.519021511077881,0.04415525496006012,0.5703164237616608,5.318157818215854,5.318157818215854,5.318157818215854,5.318157818215854,0.0,0.0
18,3600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.918316468354365,0.005,5.0,True,1220.5701559642791,6.102850779821396,9.743001145977393,5.599068756587753,6.383928122543023,,,127.67856245086045,2.536511579491692,0.26625,200,57.76964564022209,47.90112361229853,19.275127068126455,20.05661621834479,225.3803349315887,242.19185700029408,640.9206854237708,243.91973390480183,7.138031959533691,0.07583767175674438,0.6184069964193403,5.3773672795673635,5.3773672795673635,5.3773672795673635,5.3773672795673635,0.0,0.0
19,3800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9137248860125932,0.005,5.0,True,779.6824581509519,3.8984122907547594,8.945432842516803,6.569283283817548,5.009005573805678,,,100.18011147611355,2.541361060091753,0.255,200,65.27368390797437,41.264794599715856,48.58031451405595,18.27716945949241,359.19988413407935,569.3878191562943,711.0604468224134,924.7193789654953,7.966531753540039,0.15670077502727509,0.6397781025195522,5.357979821369381,5.357979821369381,5.357979821369381,5.357979821369381,0.0,0.0
20,4000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9091562615825302,0.005,5.0,True,1152.7957723494224,5.763978861747112,9.966736122789182,5.508561526401585,6.60558840902811,,,132.11176818056222,2.5831578273014175,0.275,200,60.23638714734749,62.32864118116653,12.491518365939871,28.205887629947252,153.84052186183587,264.16056315024935,496.2772130363701,455.80245135546386,8.943563461303711,0.08795198053121567,0.6446072394080218,5.420360250752317,5.420360250752317,5.420360250752317,5.420360250752317,0.0,0.0
21,4200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9046104802746175,0.005,5.0,True,777.3303313673191,3.8866516568365954,7.818100598531686,6.455479544858634,4.387726279923678,,,87.75452559847355,2.5585522544398676,0.2625,200,47.952961763655466,67.95802474494569,13.403591351683133,45.65482232079622,925.561646372975,581.3634836319915,605.9495736344455,844.2584219287603,9.913324356079102,0.0699351578950882,0.6630525648471094,5.398253048312712,5.398253048312712,5.371187204522382,5.371187204522382,0.027065843790329502,0.027065843790329502
22,4400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.9000874278732445,0.005,5.0,True,884.2141650102336,4.421070825051168,9.437933111068542,7.446260804745599,5.029301735646587,,,100.58603471293173,2.532880648541113,0.24625,200,44.160550079389864,60.72379574935146,6.500575776644628,8.976085175901785,55.061430759091344,482.2562555194714,288.60617336205894,643.3761978473889,10.975662231445312,1.6419987678527832,0.6419735660700895,5.426964909839808,5.426964909839808,5.355646955937119,5.355646955937119,0.07131795390268891,0.07131795390268891
23,4600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8955869907338783,0.005,5.0,True,1162.7972596759919,5.81398629837996,9.648249065542627,7.639286658578754,6.12246717121931,,,122.4493434243862,2.5338814058909023,0.25375,200,48.483351736505305,59.645851283462044,25.906922636402662,44.58333581274473,245.81971960405028,316.93413481828935,69.25264319849198,66.08168672148533,11.261697769165039,0.21716415882110596,0.6521286885473568,5.458976229602773,5.458976229602773,5.388986965297214,5.388986965297214,0.0699892643055593,0.0699892643055593
24,4800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8911090557802088,0.005,5.0,True,962.3267087487366,4.811633543743683,9.284686290399094,6.399073774181676,5.281121293153376,,,105.62242586306753,2.5261403638224724,0.275,200,52.110619317193745,47.897072903938785,8.17972744467727,16.87611476534067,324.0360322304062,203.26521312137803,458.9883057488905,931.8164847603432,12.55873966217041,0.23346133530139923,0.6252604003214622,5.463930101822716,5.463930101822716,5.3844925622912205,5.3844925622912205,0.07943753953149546,0.07943753953149546
25,5000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8866535105013078,0.005,5.0,True,967.5538015956863,4.837769007978432,8.476152704962024,5.745317767217776,5.1123975885151065,,,102.24795177030215,2.5235735625311086,0.28,200,43.32989353782003,52.249680237576776,19.64054024704527,22.490518724591446,554.0266047365409,387.52584587609863,564.6167976603404,854.3176686047889,12.770217895507812,0.28973835706710815,0.6003767104300898,5.393035474626357,5.393035474626357,5.373608763340176,5.373608763340176,0.01942671128618123,0.01942671128618123
26,5200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8822202429488012,0.005,5.0,True,934.1041423004656,4.670520711502328,8.094270721690956,5.318453431155179,5.104695579411153,,,102.09391158822308,2.6250769820382662,0.2575,200,72.849653255291,66.645088793358,40.59157457454994,49.50517257163105,724.3033252049032,432.01892216305174,918.565646791322,945.1739295660255,14.279613494873047,6.127604961395264,0.5791144633136623,5.423387022970459,5.423387022970459,5.363265948573675,5.363265948573675,0.06012107439678438,0.06012107439678438
27,5400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8778091417340572,0.005,5.0,True,559.8863032735811,2.7994315163679055,8.735183538156031,10.188423920328622,3.077379309356966,,,61.54758618713932,2.5531886316418957,0.27,200,58.53513540330925,54.90124270302961,36.801441761293454,20.393621678839786,491.5614004481357,141.58871115478763,38.72577402612943,226.38601809782136,14.975431442260742,0.1086416020989418,0.7127008586628709,5.307085719977648,5.307085719977648,5.278603480454537,5.278603480454537,0.02848223952311102,0.02848223952311102
28,5600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.873420096025387,0.005,5.0,True,1046.9677786891257,5.2348388934456285,7.933976383962022,4.704287432950868,5.508534100544175,,,110.17068201088351,2.519019255398679,0.26625,200,50.32443928084819,44.9682627115756,9.049651463130779,26.879785359583455,852.3703776667628,368.2227249005194,893.6928007601789,378.1729698716085,15.4539794921875,0.254982590675354,0.6935468786300997,5.355498784587984,5.355498784587984,5.286815288314882,5.286815288314882,0.06868349627310177,0.06868349627310177
29,5800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.86905299554526,0.005,5.0,True,1193.6975030901322,5.9684875154506605,8.592840633779117,4.123420523704441,6.2468333671334735,,,124.93666734266947,2.5571909907908617,0.27,200,61.10924403237819,54.15115285902319,25.63971275889375,16.14964961189197,510.6853762253267,158.20132258586582,1040.8456420722189,347.2664118438585,16.676555633544922,0.3203394114971161,0.7133618092953774,5.4092825137181,5.4092825137181,5.3199193599982815,5.3199193599982815,0.08936315371981873,0.08936315371981873
30,6000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8647077305675337,0.005,5.0,True,890.2063034234455,4.451031517117228,8.064650552746134,6.637431729479413,4.793224908630524,,,95.86449817261048,2.6174104744064213,0.25125,200,80.71614567069456,58.84919874298372,58.01561324046592,17.700824410999317,709.7685566696032,253.82094112649838,425.6021701679731,375.39265290017835,17.757389068603516,0.22533532977104187,0.6950236431942882,5.396338720214931,5.396338720214931,5.302362878286022,5.302362878286022,0.09397584192890918,0.09397584192890918
31,6200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8603841919146961,0.005,5.0,True,973.9228556165241,4.86961427808262,8.192406655289092,5.616051248138942,5.146496009671249,,,102.92992019342499,2.5442151924659013,0.26125,200,41.661360754763834,67.44452740707595,14.744933564747525,20.46527091490352,698.2322211660813,167.21478119022558,684.4098997551552,605.6176160118341,18.428489685058594,0.4404029846191406,0.6726177848502981,5.393583294529624,5.393583294529624,5.297334914782319,5.297334914782319,0.09624837974730482,0.09624837974730482
32,6400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8560822709551226,0.005,5.0,True,985.9967605587568,4.929983802793784,8.675525827205647,6.401451759730936,5.237317431434873,,,104.74634862869746,2.6367865457042825,0.26375,200,62.77721108820723,79.45822669435515,29.27845217807445,63.71251190525056,514.3066644824321,173.70142045244768,413.11842034417384,435.24363733056504,18.917896270751953,0.23736077547073364,0.6517973594562323,5.454807834558801,5.454807834558801,5.2954593684277125,5.2954593684277125,0.15934846613108888,0.15934846613108888
33,6600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8518018596003469,0.005,5.0,True,892.707360349121,4.463536801745605,8.767734339677528,6.66658735854784,4.7543624203441155,,,95.08724840688231,2.587871157247906,0.26875,200,70.07993468799113,51.75904238438603,18.36177156695939,19.425847156928562,504.0340143163536,245.65169417185217,335.6984787076165,798.0592700991366,19.92461395263672,0.3056401014328003,0.6364679730261807,5.399569720620112,5.399569720620112,5.2790624912130575,5.2790624912130575,0.12050722940705416,0.12050722940705416
34,6800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8475428503023452,0.005,5.0,True,701.6952636273218,3.508476318136609,7.3279471044906375,6.072891296309147,4.477618362423727,,,89.55236724847455,2.563386415922072,0.2625,200,49.290972730688864,67.4722563875986,14.566434717572436,10.502890475932212,1241.1397473087216,680.3464853606393,392.94430866848205,484.6027716849089,19.54697036743164,0.23031006753444672,0.6683382568133021,5.311958378313342,5.311958378313342,5.255490605072195,5.255490605072195,0.05646777324114716,0.05646777324114716
35,7000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8433051360508335,0.005,5.0,True,839.5991763722774,4.197995881861387,7.920489374678582,5.574241342416993,5.1723385603052465,,,103.44677120610494,2.5723012372073644,0.25375,200,59.02077605496371,60.21266593052424,19.16492936503216,16.785737186266783,808.3780620281838,655.8462126915697,544.2501080930829,424.5757647181443,19.81373405456543,0.2815495729446411,0.6593201356644804,5.2703683205965,5.2703683205965,5.2531148323645676,5.2531148323645676,0.0172534882319324,0.0172534882319324
36,7200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8390886103705792,0.005,5.0,True,962.3848259521568,4.811924129760784,9.538069974089241,6.869322380411497,5.341839127175879,,,106.83678254351759,2.538961642104654,0.25,200,51.490866635335685,55.03253087247147,27.229458220401664,13.755227353679519,167.8059619494007,422.36703222480145,252.1440386191753,572.3024071228525,19.91647720336914,0.19779029488563538,0.6410277542012559,5.203940400170309,5.203940400170309,5.255579396109327,5.255579396109327,0.051638995939017995,0.051638995939017995
37,7400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8348931673187264,0.005,5.0,True,759.4418347410779,3.7972091737053892,7.98009444555613,5.523219719454726,5.039058357587334,,,100.78116715174667,2.5875939007315703,0.26125,200,58.711867047681075,49.00295600162825,17.766876721814786,4.422858577259104,807.1333209476606,354.36277614839616,589.8273690403981,661.6015389688766,19.99275779724121,0.4917939007282257,0.6493160359518932,5.191561685392679,5.191561685392679,5.249727476149272,5.249727476149272,0.05816579075659334,0.05816579075659334
38,7600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8307187014821328,0.005,5.0,True,949.4769813664512,4.747384906832256,8.386255355973507,6.58589207163101,5.044441547179565,,,100.8888309435913,2.5583833739991158,0.24,200,60.94526980787582,56.55593205894816,48.49244329145211,28.990921600731735,599.9872421464981,439.6948656587384,388.77768708260487,390.02879636579223,19.893543243408203,0.18124279379844666,0.6322313725796788,5.124587356624506,5.124587356624506,5.244325214860596,5.244325214860596,0.11973785823608996,0.11973785823608996
39,7800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.826565107974722,0.005,5.0,True,1017.6267800015652,5.088133900007826,7.8861662725019395,4.423919242403875,5.371222869636669,,,107.4244573927334,2.568943968675552,0.26125,200,59.60771680977413,63.17008822012923,13.299267301250241,26.672591783816745,889.1320527047459,369.5967943747794,1196.8617929191573,814.7728457436924,19.75248908996582,0.19989091157913208,0.6187565346385641,5.1426982214160555,5.1426982214160555,5.247579000880496,5.247579000880496,0.10488077946444019,0.10488077946444019
40,8000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8224322824348484,0.005,5.0,True,1129.2067633211334,5.646033816605667,9.2175198312123,5.587915324948655,5.972407139178174,,,119.4481427835635,2.5922737490503174,0.2475,200,56.71403628036697,74.22978194278217,11.188210513274942,63.16499277535994,297.86135207267324,440.8888142366586,563.415404893069,465.45464940215624,19.87957763671875,0.19484743475914001,0.6221787998855017,5.111039157923559,5.111039157923559,5.265699704337938,5.265699704337938,0.15466054641437932,0.15466054641437932
41,8200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8183201210226743,0.005,5.0,True,1095.8523282343535,5.479261641171767,9.40889194798521,5.6259441858929895,5.804284275342841,,,116.08568550685683,2.6407958341774407,0.26875,200,55.16356593899638,89.88916040036727,20.626672166365225,76.23647272566622,308.598423601475,237.65842415071003,888.9444163046674,932.6189566190651,19.84400749206543,4.8048882484436035,0.6183843813801022,5.181867057694516,5.181867057694516,5.278835913386838,5.278835913386838,0.09696885569232183,0.09696885569232183
42,8400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8142285204175609,0.005,5.0,True,1126.457510736112,5.63228755368056,9.27005331344487,6.230089638837555,5.913029360716087,,,118.26058721432173,2.576140256749868,0.25,200,69.84817987886633,53.622269669494955,35.48597303452091,20.279252427791615,312.4450865217458,187.2731522821742,502.06001281049106,214.8448987028117,19.896587371826172,0.25119954347610474,0.6195853675045571,5.226053438947991,5.226053438947991,5.293935757370868,5.293935757370868,0.06788231842287651,0.06788231842287651
43,8600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.810157377815473,0.005,5.0,True,1322.2683784707167,6.611341892353583,9.449392336329959,4.799425232469066,6.8866367888077855,,,137.73273577615572,2.5324315788115825,0.28125,200,46.399871138760815,51.4149891890147,9.567339854524443,29.95363547041217,278.0060975127478,160.47784425378092,234.55631399225473,193.86147022934978,19.815105438232422,0.13992057740688324,0.6777200109688207,5.264261919827416,5.264261919827416,5.330975316241493,5.330975316241493,0.0667133964140767,0.0667133964140767
44,8800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8061065909263957,0.005,5.0,True,919.2561644038741,4.59628082201937,8.87933363274876,6.057767421957602,5.323953853586673,,,106.47907707173347,2.612970935193198,0.27375,200,65.23768913473772,72.41913722912248,31.963912945294837,26.832556319156605,348.92207042480806,532.992435740888,429.82833915636286,681.1628818149323,19.838285446166992,0.21060499548912048,0.6639309766678045,5.26640354784908,5.26640354784908,5.330815737544793,5.330815737544793,0.06441218969571239,0.06441218969571239
45,9000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.8020760579717637,0.005,5.0,True,997.3925563739041,4.98696278186952,8.664779656241535,5.699756471969546,5.526860310948567,,,110.53720621897132,2.5710516927240907,0.25,200,69.82611379867214,53.159339469811805,35.534473824095635,26.024176936630255,527.4769516794233,166.18879874111073,559.657286784006,494.14487268068086,20.008249282836914,0.11135419458150864,0.6495288730183698,5.287126683970754,5.287126683970754,5.335172283620432,5.335172283620432,0.04804559964967847,0.04804559964967847
46,9200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.7980656776819048,0.005,5.0,True,1030.2259500438342,5.151129750219171,9.507329497793801,5.531014759538591,6.1450345903762065,,,122.90069180752414,2.5280021765810132,0.25375,200,54.9503603817279,51.771815901515076,10.058789422866527,13.864048098899769,260.93302763867285,355.82578603652394,539.1857137479407,503.4061682885427,19.949331283569336,0.13273055851459503,0.6371800096459687,5.339143634519007,5.339143634519007,5.352777985941209,5.352777985941209,0.013634351422202151,0.013634351422202151
47,9400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.7940753492934953,0.005,5.0,True,819.3446638849084,4.096723319424542,8.593091473230919,7.757862842931073,4.46469045560847,,,89.29380911216941,2.574753724833405,0.25625,200,56.872290844205935,65.28352355541004,11.227776674937607,31.100628194135567,516.0432438363042,547.8883391037923,222.97561960740904,426.41289268437305,19.857830047607422,4.902466297149658,0.636036181045145,5.408509191831582,5.408509191831582,5.333882506572428,5.333882506572428,0.07462668525915461,0.07462668525915461
48,9600,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.7901049725470278,0.005,5.0,True,806.2996627057031,4.031498313528515,8.387991302245467,6.352994170768912,4.929314069424245,,,98.58628138848489,2.6761821438576847,0.275,200,92.25496916720992,68.23044026945574,51.734336829602036,13.306622462546725,642.7567359511205,399.131345740813,271.6947784949671,478.078434311632,19.88094139099121,0.29948270320892334,0.6365312080406554,5.379548190275586,5.379548190275586,5.325453997465174,5.325453997465174,0.05409419281041217,0.05409419281041217
49,9800,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.7861544476842928,0.005,5.0,True,1064.2414988634728,5.321207494317364,8.475159828834594,5.095129183791369,5.613245103722502,,,112.26490207445005,2.6697609654969217,0.255,200,87.34675258465124,68.98614957846858,34.85298251282013,44.56279166887762,575.2975273505646,205.9863394249472,810.0578235552956,490.20166727597444,19.689712524414062,0.32590726017951965,0.6282614797125351,5.347868777105037,5.347868777105037,5.331327285347977,5.331327285347977,0.0165414917570601,0.0165414917570601
50,10000,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.7822236754458712,0.005,5.0,True,775.4684153984549,3.8773420769922744,7.722236864139071,6.67119052596336,4.7031880388872365,6.97769188802603,6.97769188802603,94.06376077774472,2.7062470138400516,0.25875,200,79.9733016397085,97.0655135307688,56.57438965407755,46.446156437921125,987.6837348594688,526.246692866353,298.585033199874,285.9626354297003,19.895009994506836,5.843257427215576,0.6340561040686639,5.343366933617873,5.343366933617873,5.318764500418762,5.318764500418762,0.02460243319911104,0.02460243319911104
51,10200,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.7783125570686419,0.005,5.0,True,1278.4878580698264,6.392439290349132,9.846069171484167,4.8641174754163785,6.674047843487318,,6.97769188802603,133.48095686974636,2.5729603182632723,0.2725,200,59.51912632875079,58.24951599259922,30.492537402129592,30.720990651200427,160.9477766923692,313.95035063063915,999.9160435641944,263.32554978542686,19.82211685180664,6.001356601715088,0.6803346465704924,5.419744525308676,5.419744525308676,5.345338683616184,5.345338683616184,0.0744058416924922,0.0744058416924922
52,10400,rician,velocity,True,False,full,True,False,False,False,500.0,32,0.7744209942832987,0.005,5.0,True,1188.2314941437048,5.941157470718524,10.991946332252292,7.0705386401697,6.234509612365522,,6.97769188802603,124.69019224731043,2.602681532363757,0.25375,200,50.25446558986874,77.38887217295978,3.6907005137072604,41.552820947529945,90.13821483746526,120.40966822348723,459.0717528028243,688.4834086189935,19.865455627441406,0.3293152153491974,0.6925449836626228,5.469604134355208,5.469604134355208,5.362438124553671,5.362438124553671,0.10716600980153679,0.10716600980153679
