episode,bs_beamformer,uav_jammer
1,6.969792431772814,6.969792431772814
2,7.058583065676995,7.058583065676995
3,6.899249051687003,6.899249051687003
4,6.485826000555805,6.485826000555805
5,6.451869888680014,6.451869888680014
6,6.51624538220558,6.51624538220558
7,6.629602369262815,6.629602369262815
8,6.651664823399166,6.651664823399166
9,6.684432200725012,6.684432200725012
10,6.670731952302145,6.670731952302145
11,6.660319194824702,6.660319194824702
12,6.6542062693606745,6.6542062693606745
13,6.641509668515615,6.641509668515615
14,6.636966661565932,6.636966661565932
15,6.650026331827482,6.650026331827482
16,6.661740910842456,6.661740910842456
17,6.63824349547476,6.63824349547476
18,6.616043585820845,6.616043585820845
19,6.620856167053281,6.620856167053281
20,6.603555009108496,6.603555009108496
21,6.589288301798343,6.589288301798343
22,6.607752622772457,6.607752622772457
23,6.618851612470967,6.618851612470967
24,6.63296623705676,6.63296623705676
25,6.625114373735597,6.625114373735597
26,6.614662292484353,6.614662292484353
27,6.609595688252645,6.609595688252645
28,6.602658348196394,6.602658348196394
29,6.601207126798458,6.601207126798458
30,6.537160878935657,6.537160878935657
31,6.593517604634358,6.593517604634358
32,6.596456572677106,6.596456572677106
33,6.596962172478664,6.596962172478664
34,6.537450507024328,6.537450507024328
35,6.536142341894777,6.536142341894777
36,6.53610333897791,6.53610333897791
37,6.536944251851902,6.536944251851902
38,6.537983362199985,6.537983362199985
39,6.533653348702527,6.533653348702527
40,6.534485529224315,6.534485529224315
41,6.523023095553732,6.523023095553732
42,6.531342922226894,6.531342922226894
43,6.538256937081753,6.538256937081753
44,6.532578527582491,6.532578527582491
45,6.5372965973058,6.5372965973058
46,6.537387580548579,6.537387580548579
47,6.537622476440865,6.537622476440865
48,6.537737220757018,6.537737220757018
49,6.537821353925236,6.537821353925236
50,6.537438248349642,6.537438248349642
51,6.537430671648763,6.537430671648763
52,6.537669075858885,6.537669075858885
53,6.538070118502276,6.538070118502276
54,6.537687151747634,6.537687151747634
55,6.598714543748336,6.598714543748336
56,6.601214772480525,6.601214772480525
57,6.601572773799511,6.601572773799511
58,6.601624175456599,6.601624175456599
59,6.607230656584529,6.607230656584529
60,6.6063745372663245,6.6063745372663245
61,6.608278581473752,6.608278581473752
62,6.613762143968781,6.613762143968781
63,6.604261252318388,6.604261252318388
64,6.598167814010489,6.598167814010489
65,6.5877476194727205,6.5877476194727205
66,6.588825355895486,6.588825355895486
67,6.592485596623205,6.592485596623205
68,6.589504379331445,6.589504379331445
69,6.599311751621948,6.599311751621948
70,6.591507133257586,6.591507133257586
71,6.590404000734266,6.590404000734266
72,6.606207304196212,6.606207304196212
73,6.621252727943528,6.621252727943528
74,6.632400771049623,6.632400771049623
75,6.642917009481888,6.642917009481888
76,6.6429240265731595,6.6429240265731595
77,6.637864492967806,6.637864492967806
78,6.6357386006273416,6.6357386006273416
79,6.610229153336389,6.610229153336389
80,6.63432425473161,6.63432425473161
81,6.6065662393165825,6.6065662393165825
82,6.623104966894472,6.623104966894472
83,6.625631567565382,6.625631567565382
84,6.623131965652156,6.623131965652156
85,6.622368071397988,6.622368071397988
86,6.635584419619311,6.635584419619311
87,6.662017004562665,6.662017004562665
88,6.678830191399186,6.678830191399186
89,6.687741326992092,6.687741326992092
90,6.68233630784288,6.68233630784288
91,6.702135133406332,6.702135133406332
92,6.68198167293349,6.68198167293349
93,6.73343070287013,6.73343070287013
94,6.808051030616969,6.808051030616969
95,7.006852203784465,7.006852203784465
96,6.948839475790302,6.948839475790302
97,6.942859858232242,6.942859858232242
98,6.939245711874267,6.939245711874267
99,6.759857355751774,6.759857355751774
100,6.54347301918164,6.54347301918164
