episode,secrecy
1,0.8454805081155168
2,2.6677098986934378
3,1.9935254156913749
4,2.2830032040550146
5,2.4049783304670758
6,2.2045349618028225
7,2.393799002016774
8,1.184507450800735
9,1.8887549628177356
10,1.8182798939574616
11,1.505897985512617
12,1.8212471035399147
13,1.9083892925337305
14,1.172790459786609
15,1.749413804923214
16,0.7638957393531327
17,1.2184158156445803
18,1.2991467747107805
19,2.3033101764874226
20,2.708428066538608
21,2.9154047910872753
22,2.1764068420096914
23,2.5270921458621944
24,2.374050610352688
25,2.186586143214194
26,2.5004336343819524
27,1.8621430146756535
28,2.993417508160568
29,2.450838614508439
30,0.9005085149507994
31,3.196701461862687
32,3.293371820098108
33,2.89620925621123
34,0.929111710742651
35,3.1008546041603506
36,3.118873751645973
37,1.8372350953182772
38,3.220688960829863
39,1.7903562015428205
40,2.916935051002982
41,3.247659783711536
42,1.199996350028961
43,3.1361412090182257
44,3.0125598567564777
45,2.918204123530968
46,3.744428679542894
47,3.072147194333739
48,3.355663686487237
49,3.2663291972777064
50,3.5599113945909706
51,3.9796785742265923
52,3.6235505689175485
53,3.46220513700551
54,3.304005359974795
55,3.630427517849959
56,3.746961645168341
57,3.646490034807459
58,3.4284228286145706
59,3.2777648760512945
60,3.902954725085987
61,3.799719350404635
62,3.647784247972686
63,3.863222921231719
64,3.4234575240319085
65,3.513424500797106
66,3.746192908453352
67,3.6698168648426543
68,4.091612053894202
69,4.0705342766994015
70,3.67866868190351
71,3.971397998307845
72,3.693886460497203
73,3.6532797115126288
74,3.7832970642004167
75,3.4249226437561164
76,3.717811532902619
77,3.3692325195771526
78,3.6927305874315732
79,3.6796477110297916
80,3.7212390164022433
81,3.8034367066353605
82,3.839639978285249
83,3.961511358003145
84,3.87552560988365
85,3.629297028798639
86,3.970765878529844
87,3.479278156073542
88,3.1899239205000867
89,3.72030469803109
90,3.935411002246596
91,3.9094062711974633
92,4.054877790354331
93,3.889266660618082
94,3.8823688071783975
95,4.021220567975833
96,3.8560412939174693
97,3.8357736307429913
98,4.119193298421723
99,3.907807139853089
100,3.8125554026645805
