episode,agent,policy_loss,value_loss,entropy,approx_kl,grad_norm,reward_mean,reward_std,pre_tanh_mean,pre_tanh_std,pre_tanh_max,adv_mean,adv_std,adv_max
6,bs_beamformer,1.0665971785783768e-07,7.703501653671265,56.763061904907225,0.0,28.62775945663452,0.1915145367383957,0.7774061560630798,0.8017215042782482,0.9979786326996045,4.404440879821777,-1.0826624929904938e-07,1.9870737791061401,2.6237130165100098
6,uav_trajectory,-1.553678885102272e-07,6.606900358200074,21.281825256347656,0.0,19.71143341064453,0.17793358862400055,0.7698929309844971,0.8029669027001235,1.0020689945315888,4.0322723388671875,1.5692785382270813e-07,2.2455034255981445,2.2793006896972656
6,jammer_beamformer,-1.1222437024116517e-08,8.828327989578247,56.754703521728516,0.0,37.50615229606628,0.21685557067394257,0.7496923804283142,0.795402765516359,0.9960919876455729,4.642116069793701,9.313225746154785e-09,1.8742612600326538,2.206664800643921
7,bs_beamformer,1.2898817658424377e-08,4.990533304214478,56.76277847290039,0.0,5.985574340820312,0.2295331507921219,0.7333852648735046,0.8654743500053883,1.088888131046813,3.9813971519470215,-1.30385160446167e-08,2.238266706466675,2.212519884109497
7,uav_trajectory,9.42847691476345e-08,2.2549048185348513,21.26984100341797,0.0,4.872611093521118,0.22990936040878296,0.7538169622421265,0.8375932191461325,1.0373919298761969,2.8796074390411377,-9.685754776000977e-08,1.5421710014343262,3.0390663146972656
7,jammer_beamformer,4.805624485015869e-08,4.867161750793457,56.743302536010745,0.0,14.736319065093994,0.21451672911643982,0.7528672814369202,0.858826761700213,1.0853095543611448,4.484206199645996,-4.7497451305389404e-08,2.0627822875976562,2.1007237434387207
8,bs_beamformer,1.0507646948099137e-07,6.809799003601074,56.77582321166992,0.0,12.148192358016967,0.1477561891078949,0.769313395023346,0.937080898352433,1.173317434106816,4.661540508270264,-1.0244548320770264e-07,2.5628669261932373,3.585904121398926
8,uav_trajectory,8.009374141693115e-09,3.8735336542129515,21.253149604797365,0.0,10.153192520141602,0.17146776616573334,0.7629263401031494,0.8851589782088995,1.0948817369943844,3.736279010772705,-6.51925802230835e-09,1.9453938007354736,2.551276206970215
8,jammer_beamformer,-8.381903171539307e-08,3.4396409511566164,56.74797248840332,0.0,11.733132553100585,0.13599736988544464,0.7690969705581665,1.0072678673360498,1.2524138390094817,3.714864730834961,7.729977369308472e-08,1.7185508012771606,2.781500816345215
9,bs_beamformer,2.551823854446411e-08,4.578297281265259,56.797223281860354,0.0,6.113522005081177,0.13680464029312134,0.7560478448867798,0.9580070888455957,1.1956162816351004,3.9357147216796875,-2.6542693376541138e-08,2.210951089859009,2.238661766052246
9,uav_trajectory,5.005858838558197e-08,3.402354669570923,21.243650245666505,0.0,7.602877902984619,0.10735005140304565,0.7777649760246277,0.9956615756402413,1.2461769958975306,4.266429901123047,-4.936009645462036e-08,1.8903088569641113,3.096630096435547
9,jammer_beamformer,1.41095370054245e-08,5.387141847610474,56.75924530029297,0.0,9.038031673431396,0.029682215303182602,0.7719294428825378,1.0988358637895435,1.3593406328635094,4.6102471351623535,-1.5366822481155396e-08,2.3082590103149414,2.2093167304992676
10,bs_beamformer,1.0232906788587571e-08,5.387687730789184,56.81081123352051,0.0,6.10864143371582,0.13801348209381104,0.778591513633728,0.9477485430594533,1.1804940825130343,4.515161037445068,-9.313225746154785e-09,2.409993886947632,2.341905117034912
10,uav_trajectory,-1.508742570877075e-08,3.420869016647339,21.22657470703125,0.0,9.437482929229736,0.0346713662147522,0.7786419987678528,1.098964873795708,1.3508625912457988,4.145066261291504,1.5832483768463135e-08,1.8797056674957275,2.150827646255493
10,jammer_beamformer,7.962808012962342e-09,5.152096462249756,56.768792724609376,0.0,6.285304594039917,0.03165402635931969,0.7629519104957581,1.148643514726311,1.408392552971181,4.958859920501709,-8.381903171539307e-09,2.2748069763183594,2.1625819206237793
11,bs_beamformer,2.5797635316848754e-08,6.765095138549805,56.80222053527832,0.0,17.55179944038391,0.06740870326757431,0.7636711597442627,0.9575756276063621,1.1910129944539165,4.17848539352417,-2.60770320892334e-08,2.4832634925842285,2.2503671646118164
