episode,reward,secrecy_total,secrecy_target,secrecy_user,pd_target,pd_eaves,crb_target,p_bs_tx,p_jam_tx,noma_a_far,constraint_satisfaction,assr,pd_combined,combined_utility,crb_feasible
1,15.489055308804133,345.3943211085645,345.3943211085645,0.0,0.036221312952912255,0.6610324240541275,138.17410459090925,2.6545800264701787,0.5432188996412965,0.7379239969510109,1.0,0.10511108512366772,0.34862686850351987,0.2268689768135938,1.0
2,7.586214908356413,72.68500422465665,72.68500422465665,0.0,0.0957953934798268,0.44471375574556304,21.12092189325409,3.11081154824055,0.4935129899129538,0.7260064420563493,1.0,0.02211964470565405,0.2702545746126949,0.14618710965917447,1.0
3,11.770864142057016,42.42994617196246,42.42994617196246,0.0,0.09681375610702705,0.806101286435482,39.83035907513336,2.858389467865622,0.5159707403096716,0.7613592885643663,1.0,0.012912365407629158,0.4514575212712545,0.2321849433394418,1.0
4,13.161583814407814,113.9535092393684,113.9535092393684,0.0,0.11987038815659,0.8289750061042183,101.07097093000098,2.668668536484567,0.4735005273521314,0.7661355302435675,1.0,0.03467855803580235,0.47442269713040414,0.25455062758310326,1.0
5,10.305273526739066,71.09349839992811,71.09349839992811,0.0,0.12730231929329155,0.6321851474097406,6.0976936828627535,2.696860606508476,0.5515298361819732,0.7647095403630491,1.0,0.02163531449524137,0.3797437333515161,0.20068952392337874,1.0
6,8.648472619442328,204.40407096038302,204.40407096038302,0.0,0.02254796799746401,0.48263402324405563,1204.0624062049008,2.662727883938445,0.5443214950995655,0.7698932257974174,1.0,0.062204652448781345,0.2525909956207598,0.1573978240347706,1.0
7,10.897443739431433,22.274461103510806,22.274461103510806,0.0,0.17383630976748154,0.677614444178772,7.66070787785633,2.891152750822696,0.5034823983966998,0.7591699354724817,1.0,0.0067786081995222895,0.4257253769731268,0.21625199258632455,1.0
8,15.696154856344684,117.70326440083187,117.70326440083187,0.0,0.3822991844681902,0.7658869926303866,2.3927794066999484,2.985233127693271,0.5459168185857494,0.7378324008974387,1.0,0.035819690966721655,0.5740930885492884,0.30495638975800504,1.0
9,11.62312597018713,39.40021609820225,39.40021609820225,0.0,0.2486883747769614,0.6451748677831304,6.479548197187589,2.6625090118584205,0.554082062045447,0.7525593565991124,1.0,0.011990351940057849,0.4469316212800459,0.22946098661005188,1.0
10,13.30772556160334,94.83047607711295,94.83047607711295,0.0,0.15021366444846598,0.8277894062812607,50.35637906588458,2.724233308547444,0.4803414613872228,0.7480338916250352,1.0,0.02885899864035776,0.48900153536486335,0.25893026700261057,1.0
11,14.617849641692418,146.8766653659587,145.28023024965853,1.5964351163001576,0.14791382803904948,0.8873619265480563,19.32850080675773,2.5343460981719685,0.4761413953854872,0.7590139751652697,1.0,0.04469779823365755,0.5176378772935529,0.2811678377636052,1.0
12,11.155071393758847,35.96390752231056,35.96390752231056,0.0,0.13636603685128748,0.7231914485201892,13.087815253045626,2.9112095309700305,0.4582654629306525,0.7441388918615192,1.0,0.010944607695993657,0.42977874268573835,0.220361675190866,1.0
13,10.700937289255558,165.4604977445362,151.31464207043663,14.145855674099556,0.03072540146782813,0.6742235161304921,44.94287828102973,2.6741519776771776,0.49758867354573993,0.7665548821747206,1.0,0.05035326697674279,0.3524744587991601,0.20141386288795146,1.0
14,12.391552175290528,205.26232574632675,205.03518959075507,0.22713615557167394,0.031289741739063646,0.772554712853124,590.0271686420166,2.655371518289196,0.5273991635799835,0.7314824700702998,1.0,0.062465838248170244,0.40192222729609384,0.23219403277213205,1.0
15,10.52773683937248,186.87320837386744,186.87320837386744,0.0,0.017852518720015306,0.6536827116408994,6019.794593817859,2.598895179766784,0.576155305128892,0.7454364358827533,1.0,0.05686962556209618,0.33576761518045734,0.19631862037127676,1.0
16,11.583160295913867,29.991969006282364,25.368567879071552,4.623401127210815,0.19423433484265207,0.7050248309147239,28.209396547025975,2.9203154771477813,0.577464517367979,0.7179796194800833,1.0,0.009127215517405272,0.449629582878688,0.22937839919804662,1.0
17,13.018555929114951,338.0666927648617,338.0666927648617,0.0,0.021878876879320094,0.7108268262940348,372.2221645500703,2.6509303820795598,0.549620500731105,0.7509712030683409,1.0,0.1028811267267911,0.36635285158667746,0.2346169891567343,1.0
18,7.226994247549934,225.00058609961835,225.00058609961835,0.0,0.011470874844038147,0.36118068096726247,5561.224958267929,2.6641906748039337,0.5373685994118662,0.7355698521268139,1.0,0.06847262480311138,0.1863257779056503,0.12739920135438085,1.0
19,14.765489827760975,94.2000655478718,94.2000655478718,0.0,0.28438382258167344,0.8108161852605685,19.240979349165762,2.3429019829713855,0.543895555218515,0.7613643694607249,1.0,0.028667150857252216,0.547600003921121,0.2881335773891866,1.0
20,8.997635880644296,41.35629191953681,41.35629191953681,0.0,0.11630137581833129,0.5657360455719088,14.001353796060586,2.7594864969552715,0.4915641961909579,0.7567389045370413,1.0,0.012585628815209537,0.3410187106951201,0.1768021697551648,1.0
21,13.032678139912194,36.12219913910651,32.18606353395656,3.9361356051499525,0.18837583546197828,0.8212456113514848,6.7101920545595,2.9450272512424256,0.5359658581705573,0.75989713957203,1.0,0.010992779314895788,0.5048107234067315,0.25790175136081367,1.0
22,16.351698056039794,8.829928675742913,7.618430790832337,1.211497884910575,0.48824618791704777,0.8118246960591092,1.6176416610642947,2.599002806471174,0.5711695520085663,0.7691561493586634,1.0,0.00268714141475476,0.6500354419880785,0.32636129170141664,1.0
