episode,reward,secrecy_total,secrecy_target,secrecy_user,pd_target,pd_eaves,crb_target,p_bs_tx,p_jam_tx,noma_a_far,constraint_satisfaction
1,-191.86972752616035,0.008361772653060732,0.008361772653060732,0.0,2.2398872691508837e-08,1.7681161256693256e-05,120869.78588411755,2.3356080293655395,0.5132847800850868,0.7820212662220001,1.0
2,-193.99896432663317,0.012077254103223679,0.012077254103223679,0.0,1.375395964960452e-07,1.2145380144481516e-05,66542.57274574746,2.7059150099754334,0.6161909207701683,0.7549078345298768,1.0
3,-193.7682760898913,0.042410738659740946,0.04240924180262713,1.49685711382403e-06,1.5780131599246325e-09,1.1821553791236256e-05,846193.9267872365,2.142431300878525,0.4662403702735901,0.7386840999126434,1.0
4,-192.02969440278312,0.0735631384079715,0.07342141308423827,0.00014172532373323086,1.5664625194882304e-08,4.797363725889691e-05,203481.18977636145,1.9495875716209412,0.6311737194657325,0.7931526899337769,1.0
5,-175.39635479196278,0.10079395352303129,0.10076078232933065,3.3171193700634835e-05,4.4518932683906865e-09,1.6637427288528002e-05,293805.72370870446,3.25816792845726,0.5246863901615143,0.6936342895030976,1.0
6,-184.1355365479944,0.008851034347807707,0.008851034347807707,0.0,2.7619569314596643e-08,2.9850382871566947e-05,628335.2037081606,3.113987672328949,0.6290080338716507,0.7244732975959778,1.0
7,-177.27720952457483,0.004255438290541665,0.004255438290541665,0.0,5.5755550009892394e-08,1.0733146111311095e-05,23515.056315336547,3.3255957424640656,0.49873108714818953,0.7963482558727264,1.0
8,-192.87029576158437,0.01119977127514857,0.0008977573064905903,0.01030201396865798,7.553993285481087e-09,6.416643092079858e-05,1056400.402397316,2.29184752702713,0.5512955665588379,0.7016065776348114,1.0
9,-192.31861155516944,0.0011243990692653978,0.0011243990692653978,0.0,1.360116566528715e-07,6.622518346270617e-06,18572.611785591045,3.7174473643302917,0.6621850207448006,0.7077837109565734,1.0
10,-185.20067592194553,0.09836875408884345,0.0983445920610576,2.416202778585151e-05,4.6558871849204246e-08,1.1777442321322902e-05,80696.7527521501,2.9681782484054566,0.45965455323457716,0.8297028362751007,1.0
11,-168.2582531952515,1.8297792594932658,1.8042882295990812,0.025491029894184298,9.79763624275413e-09,3.870744960047519e-05,1061790.0155233447,2.2717041254043577,0.49988845363259315,0.6946844696998596,1.0
12,-164.91111684367937,0.3437254070089109,0.3437254070089109,0.0,1.1174749818376472e-09,1.278285953545155e-05,613474.0820776753,3.367703914642334,0.5442626185715198,0.7542963027954102,1.0
13,-164.66931014347844,0.010512091881186783,0.010512091881186783,0.0,2.6260832939190805e-09,7.808960739790483e-06,170339.60012096804,2.8602521240711214,0.4802984714508057,0.7583033263683319,1.0
14,-164.15722567451957,0.5110624660022393,0.5110624660022393,0.0,1.0316903303014873e-09,2.1663229198347065e-05,29703389.302139796,2.6780018329620363,0.41464146226644516,0.7181934893131257,0.9
15,-167.32416213342142,0.08112464378820315,0.08112464378820315,0.0,7.197291358664895e-09,5.962493661368105e-06,128332.21467783998,2.189229595661163,0.4445704221725464,0.7244258761405945,1.0
16,-194.76327446314372,0.009670569866755442,0.009670569866755442,0.0,8.005117671551589e-08,6.327671915485874e-06,43700.120951891826,1.8560444474220277,0.519805571436882,0.7384115517139435,1.0
17,-177.33828273906343,0.030604318729912688,0.030604318729912688,0.0,1.4802908150137932e-08,1.3055056812065255e-05,94071.01613195945,2.4695383429527284,0.5085020497441292,0.6933680534362793,1.0
18,-187.36364180663858,0.003534446799097225,0.003534446799097225,0.0,5.3375632860802794e-08,1.5850378915151475e-05,121951.78653960074,2.3119991540908815,0.469882969558239,0.7872230410575867,1.0
19,-182.25587028185336,4.825729020191601,4.825729020191601,0.0,7.850247303021842e-09,5.331870279334976e-06,1122416.8763032353,2.5013680517673493,0.45445563867688177,0.6755948066711426,1.0
20,-159.87470857340534,2.3374075728839943,2.3374075728839943,0.0,2.8552896223477454e-10,9.773020089540877e-06,530983.2285356708,1.8497403383255004,0.39094218909740447,0.6563356876373291,1.0
21,-152.35421017592228,10.221819324344896,10.221819324344896,0.0,1.1377267104206718e-09,4.533306438431408e-06,394420.0667767695,2.359439492225647,0.37838754132390023,0.6768206298351288,1.0
22,-143.81105362197547,8.264972183097871,8.264972183097871,0.0,1.3965549740998725e-10,2.151178738378419e-06,3151086.4805077193,2.3118132293224334,0.186348694935441,0.6799428701400757,1.0
23,-166.27549651640624,0.5404349353131292,0.5404349353131292,0.0,9.721742565167965e-10,1.58201656379552e-06,975581.4115156643,1.9192321360111237,0.35373483747243883,0.733183491230011,1.0
24,-155.91411540414538,1.4001229127567298,1.4001229127567298,0.0,3.2599576959820217e-10,4.3038060036417327e-07,993061.8460760772,2.137276840209961,0.1695047974586487,0.7229299485683441,1.0
25,-162.25005862927236,0.5111271720013513,0.5111271720013513,0.0,4.544633259846361e-09,9.345711389886029e-07,298173.4618753359,2.558483636379242,0.21448596715927123,0.6870928525924682,1.0
26,-151.63573017249067,0.7006785517588543,0.7006785517588543,0.0,3.415176554283416e-10,8.635424445632908e-07,1692267.585541745,2.7536698400974275,0.16176742054522036,0.6891266942024231,1.0
27,-126.36336806518563,4.258700743574453,4.258700743574453,0.0,2.0489071994341225e-09,9.496701526671582e-07,15336561.27126961,4.348273277282715,0.1964835576713085,0.73635293841362,0.9
