episode,reward,secrecy_total,secrecy_target,secrecy_user,pd_target,pd_eaves,crb_target,p_bs_tx,p_jam_tx,noma_a_far,constraint_satisfaction,assr,pd_combined,combined_utility,crb_feasible
1,8.65027502274396,37.86379930200667,37.86379930200667,0.0,0.16042430162878424,0.8959761368947309,9.971024150555955,2.861660288453711,0.44599806035436435,0.7606122873385254,1.0,0.16737021632946691,0.5282002192617575,0.3477852177956122,1.0
2,7.272932947389195,61.09402580904772,61.09402580904772,0.0,0.18408215837974473,0.9146061688630784,3.551184909089867,2.840721163675558,0.4479859452949313,0.7497209907981526,1.0,0.2700553168090673,0.5493441636214116,0.40969974021523947,1.0
3,6.051095294960193,53.676579903235066,53.676579903235066,0.0,0.1365225740485645,0.8683506324747405,5.0473115537596325,2.893387655891668,0.4564740193210273,0.7561846183637877,1.0,0.237267811361821,0.5024366032616525,0.36985220731173674,1.0
4,6.349579957355143,45.361816080969156,45.361816080969156,0.0,0.19106615450928066,0.9053130578027776,25.3826942494063,3.0552269198372364,0.4150819308838421,0.7537307585784434,1.0,0.200513871046399,0.5481896061560292,0.37435173860121407,1.0
5,5.572116804739657,30.4147695453827,30.4147695453827,0.0,0.20660354470398462,0.7914646611428618,3.8754961745607637,3.0440074500345995,0.40353579993702615,0.7860817745990044,1.0,0.13444310006555,0.4990341029234232,0.3167386014944866,1.0
6,5.520953756558991,11.468795882402464,11.468795882402464,0.0,0.29818425271835297,0.7621313174342242,2.2071892714683883,2.8560764946439843,0.34232996141345956,0.8081793112819877,1.0,0.050695780224423226,0.5301577850762886,0.29042678265035593,1.0
7,5.029086716144459,5.709648248225933,5.709648248225933,0.0,0.3349283451726605,0.6490460902379201,2.328804361210286,2.8554808109582632,0.3308293483081486,0.8409714428888944,1.0,0.025238488479419202,0.4919872177052903,0.25861285309235477,1.0
8,4.198594401870672,5.617903951266584,5.617903951266584,0.0,0.2885730583366791,0.5296538924465618,1.9152369577077901,2.744665099539657,0.27982184516734676,0.846438493397701,1.0,0.02483294906942483,0.40911347539162046,0.21697321223052266,1.0
9,4.230086230616946,0.839253204562711,0.839253204562711,0.0,0.31908557542718247,0.5237210122481697,1.5538576627687002,2.301210673583263,0.3007297171561564,0.8655020539400043,1.0,0.00370977009682742,0.42140329383767605,0.21255653196725174,1.0
10,4.208945051077681,23.054961963752724,23.054961963752724,0.0,0.2647155653123614,0.48887406955892515,52.10881350938071,1.883735841355244,0.3109090015298127,0.8380399461292519,1.0,0.10191037461833431,0.37679481743564325,0.23935259602698877,1.0
