alpha,secrecy_rate,sensing_utility,objective
0.0,3.2062588080643546,1427915960.407532,0.33120806475882436
0.05,3.355357833466853,1432152226.581022,0.32037451003253214
0.1,3.1515817056984172,1440064096.5758305,0.30962778425484994
0.15000000000000002,2.9120178844246545,1448287690.3515427,0.29802340690675316
0.2,2.6563107088555853,1452862843.4885957,0.2847745551072797
0.25,2.5469260989123077,1450406276.80625,0.27051088445290056
0.30000000000000004,2.5850538938375847,1439054665.0647836,0.255811802067839
0.35000000000000003,2.569483715263176,1418719882.9991047,0.2395935972636812
0.4,2.958212865675254,1390704203.3047824,0.22735417940800295
0.45,4.397298320939535,1357057256.871431,0.22966142563226183
0.5,8.461788818837306,1320018484.6992888,0.27397320829831256
0.55,11.165853266305959,1281679040.0086787,0.30924305714321476
0.6000000000000001,12.442534781053984,1243837276.9866047,0.32870484938435013
0.65,13.735833227203763,1207967354.1649168,0.35316073112913593
0.7000000000000001,15.213982132391298,1175230101.391309,0.38605875955405633
0.75,16.92521309183691,1146484742.7187061,0.4291655153991487
0.8,18.863716670416608,1122288252.785392,0.4832340837339399
0.8500000000000001,20.963041538151316,1102889593.6854591,0.547475066217269
0.9,23.052567912419736,1088236231.7264884,0.6180221825568215
0.9500000000000001,24.80339804576473,1078008572.5353484,0.6857374058813243
1.0,25.71881490594751,1071686188.1119872,0.7348232830270718
