mode,alpha,secrecy_rate,sensing_utility,objective
original,0.0,3.2062588080643546,3.9999999802273027,1.0000000064700896
original,0.05,3.355357833466853,3.9999999807229294,0.9547933745978204
original,0.1,3.1515817056984172,3.999999981244064,0.9090045252109902
original,0.15000000000000002,2.9120178844246545,3.9999999816725076,0.8624800824542164
original,0.2,2.6563107088555853,3.9999999819361287,0.8151789238541546
original,0.25,2.5469260989123077,3.9999999820047485,0.7681923344637832
original,0.30000000000000004,2.5850538938375847,3.999999981869143,0.7221576096207069
original,0.35000000000000003,2.569483715263176,3.999999981521836,0.6756948415685515
original,0.4,2.958212865675254,3.999999980943379,0.6338081510257538
original,0.45,4.397298320939535,3.999999980090805,0.6065366962375749
original,0.5,8.461788818837306,3.9999999788835687,0.6208827004790396
original,0.55,11.165853266305959,3.9999999771823993,0.6254634110395108
original,0.6000000000000001,12.442534781053984,3.999999974757603,0.6133005982877054
original,0.65,13.735833227203763,3.999999971252323,0.6050940471272905
original,0.7000000000000001,15.213982132391298,3.9999999661905568,0.6042796435360969
original,0.75,16.92521309183691,3.999999959235167,0.6126831379877333
original,0.8,18.863716670416608,3.99999995116217,0.6311706665931409
original,0.8500000000000001,20.963041538151316,3.9999999452525694,0.6591024370140642
original,0.9,23.052567912419736,3.999999945399363,0.6927803175242466
original,0.9500000000000001,24.80339804576473,3.9999999508485633,0.7232350897698843
original,1.0,25.71881490594751,3.9999999576362755,0.7348232830270718
log,0.0,3.2062588080643546,11.748525997500444,0.9118544441526326
log,0.05,3.355357833466853,11.789017795400964,0.8740406983949318
log,0.1,3.1515817056984172,11.835079637800666,0.8357195445361432
log,0.15000000000000002,2.9120178844246545,11.877888372589219,0.796090676538864
log,0.2,2.6563107088555853,11.909558808659392,0.7546612418130618
log,0.25,2.5469260989123077,11.92534315094317,0.7123758263744887
log,0.30000000000000004,2.5850538938375847,11.923455092578013,0.669959623772007
log,0.35000000000000003,2.569483715263176,11.903591997658488,0.6262232032974612
log,0.4,2.958212865675254,11.865916840402875,0.5863875433198189
log,0.45,4.397298320939535,11.810886190736994,0.5607186628941148
log,0.5,8.461788818837306,11.739282947514175,0.5764512227373281
log,0.55,11.165853266305959,11.651980649425967,0.5824259204723701
log,0.6000000000000001,12.442534781053984,11.549621463995393,0.5718672338815388
log,0.65,13.735833227203763,11.43288449943401,0.5656686904910677
log,0.7000000000000001,15.213982132391298,11.304193106933699,0.5674899906772743
log,0.75,16.92521309183691,11.171626599872134,0.5794528278900481
log,0.8,18.863716670416608,11.054561938939298,0.6027692389362764
log,0.8500000000000001,20.963041538151316,10.98417787649257,0.6369819442929148
log,0.9,23.052567912419736,10.984646397529175,0.6780369587696543
log,0.9500000000000001,24.80339804576473,11.048035520167154,0.7161094056655086
log,1.0,25.71881490594751,11.14401190703687,0.7348232830270718
inverse,0.0,3.2062588080643546,1427915960.407532,0.33120806475882436
inverse,0.05,3.355357833466853,1432152226.581022,0.32037451003253214
inverse,0.1,3.1515817056984172,1440064096.5758305,0.30962778425484994
inverse,0.15000000000000002,2.9120178844246545,1448287690.3515427,0.29802340690675316
inverse,0.2,2.6563107088555853,1452862843.4885957,0.2847745551072797
inverse,0.25,2.5469260989123077,1450406276.80625,0.27051088445290056
inverse,0.30000000000000004,2.5850538938375847,1439054665.0647836,0.255811802067839
inverse,0.35000000000000003,2.569483715263176,1418719882.9991047,0.2395935972636812
inverse,0.4,2.958212865675254,1390704203.3047824,0.22735417940800295
inverse,0.45,4.397298320939535,1357057256.871431,0.22966142563226183
inverse,0.5,8.461788818837306,1320018484.6992888,0.27397320829831256
inverse,0.55,11.165853266305959,1281679040.0086787,0.30924305714321476
inverse,0.6000000000000001,12.442534781053984,1243837276.9866047,0.32870484938435013
inverse,0.65,13.735833227203763,1207967354.1649168,0.35316073112913593
inverse,0.7000000000000001,15.213982132391298,1175230101.391309,0.38605875955405633
inverse,0.75,16.92521309183691,1146484742.7187061,0.4291655153991487
inverse,0.8,18.863716670416608,1122288252.785392,0.4832340837339399
inverse,0.8500000000000001,20.963041538151316,1102889593.6854591,0.547475066217269
inverse,0.9,23.052567912419736,1088236231.7264884,0.6180221825568215
inverse,0.9500000000000001,24.80339804576473,1078008572.5353484,0.6857374058813243
inverse,1.0,25.71881490594751,1071686188.1119872,0.7348232830270718
normalized,0.0,3.2062588080643546,4.0,1.0
normalized,0.05,3.355357833466853,4.0,0.954793368333524
normalized,0.1,3.1515817056984172,4.0,0.9090045191591384
normalized,0.15000000000000002,2.9120178844246545,4.0,0.8624800766475342
normalized,0.2,2.6563107088555853,4.0,0.8151789183363177
normalized,0.25,2.5469260989123077,4.0,0.768192329277945
normalized,0.30000000000000004,2.5850538938375847,4.0,0.7221576048043221
normalized,0.35000000000000003,2.569483715263176,4.0,0.6756948371526317
normalized,0.4,2.958212865675254,4.0,0.6338081470362886
normalized,0.45,4.397298320939535,4.0,0.6065366926977941
normalized,0.5,8.461788818837306,4.0,0.6208826974119616
normalized,0.55,11.165853266305959,4.0,0.6254634084705222
normalized,0.6000000000000001,12.442534781053984,4.0,0.6133005962466397
normalized,0.65,13.735833227203763,4.0,0.6050940456480698
normalized,0.7000000000000001,15.213982132391298,4.0,0.6042796426478259
normalized,0.75,16.92521309183691,4.0,0.6126831376822195
normalized,0.8,18.863716670416608,4.0,0.6311706667523795
normalized,0.8500000000000001,20.963041538151316,4.0,0.6591024373551033
normalized,0.9,23.052567912419736,4.0,0.6927803177479361
normalized,0.9500000000000001,24.80339804576473,4.0,0.7232350898136141
normalized,1.0,25.71881490594751,4.0,0.7348232830270718
exponential,0.0,3.2062588080643546,3.980290494209662,1.0049302257813286
exponential,0.05,3.355357833466853,3.980783260979272,0.9595952743021806
exponential,0.1,3.1515817056984172,3.981301667741923,0.9136714902556076
exponential,0.15000000000000002,2.9120178844246545,3.981728192441337,0.86697930595336
exponential,0.2,2.6563107088555853,3.981990959854641,0.8194665611940045
exponential,0.25,2.5469260989123077,3.982059800102233,0.7722250298709596
exponential,0.30000000000000004,2.5850538938375847,3.9819254578258487,0.725897715893962
