alpha,secrecy_rate,sensing_utility,objective
0.0,3.2062588080643546,3.9999999802273027,1.0000000064700896
0.05,3.355357833466853,3.9999999807229294,0.9547933745978204
0.1,3.1515817056984172,3.999999981244064,0.9090045252109902
0.15000000000000002,2.9120178844246545,3.9999999816725076,0.8624800824542164
0.2,2.6563107088555853,3.9999999819361287,0.8151789238541546
0.25,2.5469260989123077,3.9999999820047485,0.7681923344637832
0.30000000000000004,2.5850538938375847,3.999999981869143,0.7221576096207069
0.35000000000000003,2.569483715263176,3.999999981521836,0.6756948415685515
0.4,2.958212865675254,3.999999980943379,0.6338081510257538
0.45,4.397298320939535,3.999999980090805,0.6065366962375749
0.5,8.461788818837306,3.9999999788835687,0.6208827004790396
0.55,11.165853266305959,3.9999999771823993,0.6254634110395108
0.6000000000000001,12.442534781053984,3.999999974757603,0.6133005982877054
0.65,13.735833227203763,3.999999971252323,0.6050940471272905
0.7000000000000001,15.213982132391298,3.9999999661905568,0.6042796435360969
0.75,16.92521309183691,3.999999959235167,0.6126831379877333
0.8,18.863716670416608,3.99999995116217,0.6311706665931409
0.8500000000000001,20.963041538151316,3.9999999452525694,0.6591024370140642
0.9,23.052567912419736,3.999999945399363,0.6927803175242466
0.9500000000000001,24.80339804576473,3.9999999508485633,0.7232350897698843
1.0,25.71881490594751,3.9999999576362755,0.7348232830270718
