alpha,secrecy_rate,sensing_utility,objective
0.0,3.2062588080643546,11.748525997500444,0.9118544441526326
0.05,3.355357833466853,11.789017795400964,0.8740406983949318
0.1,3.1515817056984172,11.835079637800666,0.8357195445361432
0.15000000000000002,2.9120178844246545,11.877888372589219,0.796090676538864
0.2,2.6563107088555853,11.909558808659392,0.7546612418130618
0.25,2.5469260989123077,11.92534315094317,0.7123758263744887
0.30000000000000004,2.5850538938375847,11.923455092578013,0.669959623772007
0.35000000000000003,2.569483715263176,11.903591997658488,0.6262232032974612
0.4,2.958212865675254,11.865916840402875,0.5863875433198189
0.45,4.397298320939535,11.810886190736994,0.5607186628941148
0.5,8.461788818837306,11.739282947514175,0.5764512227373281
0.55,11.165853266305959,11.651980649425967,0.5824259204723701
0.6000000000000001,12.442534781053984,11.549621463995393,0.5718672338815388
0.65,13.735833227203763,11.43288449943401,0.5656686904910677
0.7000000000000001,15.213982132391298,11.304193106933699,0.5674899906772743
0.75,16.92521309183691,11.171626599872134,0.5794528278900481
0.8,18.863716670416608,11.054561938939298,0.6027692389362764
0.8500000000000001,20.963041538151316,10.98417787649257,0.6369819442929148
0.9,23.052567912419736,10.984646397529175,0.6780369587696543
0.9500000000000001,24.80339804576473,11.048035520167154,0.7161094056655086
1.0,25.71881490594751,11.14401190703687,0.7348232830270718
