episode,avg_crb,avg_pd,avg_reward,uav_1/adv_max,uav_1/adv_mean,uav_1/adv_std,uav_1/approx_kl,uav_1/entropy,uav_1/grad_norm,uav_1/output_bias_norm,uav_1/output_weight_g,uav_1/output_weight_norm,uav_1/output_weight_v_norm,uav_1/policy_loss,uav_1/pre_tanh_max,uav_1/pre_tanh_mean,uav_1/pre_tanh_std,uav_1/reward_mean,uav_1/reward_std,uav_1/value_loss,uav_2/adv_max,uav_2/adv_mean,uav_2/adv_std,uav_2/approx_kl,uav_2/entropy,uav_2/grad_norm,uav_2/output_bias_norm,uav_2/output_weight_g,uav_2/output_weight_norm,uav_2/output_weight_v_norm,uav_2/policy_loss,uav_2/pre_tanh_max,uav_2/pre_tanh_mean,uav_2/pre_tanh_std,uav_2/reward_mean,uav_2/reward_std,uav_2/value_loss
1,0.048837520048670105,0.6712499999999999,0.48417658669685937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.18450074971929722,0.9137500000000001,1.0885008952610171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.1937553898543798,1.0,0.14778106380668593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.06887344846672032,0.8087499999999999,0.46256536676840715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.04687878065390417,0.9075,0.6543639404899878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.1099797084989844,0.9162500000000001,-0.1300404311031121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.13326075549973346,0.53,0.05202006860393369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.33920061900981885,1.0,0.3723472868496668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.9209615774001514,0.9525,0.4041801044285852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.15651912706041493,0.9812500000000002,0.3687086520069597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,40.605427037871564,0.8675,-0.8206906956485206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.20651868058598577,0.8612499999999998,0.8856867366426243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.04986562306650964,0.84375,0.7641091992079485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.06971568632237027,0.7124999999999999,0.49822753105628703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.060269816799012596,0.85875,0.4859670714398483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.49202556038455664,0.9962500000000001,0.25015721210412034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.04074943814545394,0.97625,0.7244659062409881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.6226617327404989,0.8925000000000001,0.3416939521071224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.048920966359610615,0.9199999999999999,0.7410045464810362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.2133541762706561,0.7462500000000001,-0.30572284041357317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.08449809974059563,0.8,0.5640290909847223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.05575930899706868,0.82125,0.7364479891382252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.3482387932294887,0.9175000000000001,0.4213753951273703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.04145286451316086,0.5025,0.4530626687083739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.09204155597530156,0.81875,0.5274736667497228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.01957117527748901,0.9487499999999999,1.2671905525457883,2.5892317295074463,-2.0489096641540527e-08,2.372985363006592,0.0,2.837874245643616,11.648862552642822,0.0,0.009999999776482582,0.01414213515818119,0.01414213515818119,2.263113856315613e-08,3.029442071914673,0.7998884803949086,0.9868105849257879,0.444812148809433,0.5597531795501709,14.692305278778075,2.992213487625122,4.6566128730773926e-08,2.0120725631713867,0.0,2.8351634979248046,9.806369972229003,0.0,0.009999999776482582,0.01414213515818119,0.01414213515818119,-4.936009645462036e-08,3.4855358600616455,0.7935027012800744,1.0022068166595037,0.4460487365722656,0.5525240898132324,10.236744785308838
27,0.2132751908165939,0.95875,0.8518119813657126,2.0466368198394775,-2.8870999813079834e-08,2.502883195877075,0.0,2.836832618713379,10.633848285675048,0.004256564658135176,0.012873398140072823,0.018205733969807625,0.0226579662412405,3.213062882423401e-08,1.9760581254959106,0.7588827833533287,0.9163496432242205,0.45269548892974854,0.5648577213287354,14.042407035827637,2.8840904235839844,4.0978193283081055e-08,2.8334176540374756,0.0,2.82908034324646,12.29401273727417,0.004261369816958904,0.012434526346623898,0.017592286691069603,0.023076407611370087,-3.717141225934029e-08,1.4350318908691406,0.7677495464682579,0.8674762086001465,0.44826698303222656,0.5609918832778931,17.71755485534668
28,0.01018250626433599,0.99875,1.015161704075467,2.568403959274292,5.8673322200775146e-08,1.918026089668274,0.0,2.834108829498291,6.885867166519165,0.008314015343785286,0.015451379120349884,0.02187230996787548,0.032373733818531036,-5.615875124931335e-08,1.6708624362945557,0.9008949518203735,0.9866568912576288,0.46637552976608276,0.5553756952285767,6.55827374458313,2.1146390438079834,6.332993507385254e-08,2.646815061569214,0.0,2.8229966878890993,10.846930599212646,0.006921397987753153,0.014904049225151539,0.02109680138528347,0.0319439135491848,-5.690380930900574e-08,2.1308646202087402,0.749726845137775,0.8082441795268945,0.4934636950492859,0.5652800798416138,14.89826192855835
29,0.017842155409594627,0.78875,0.7036379768743477,2.763183832168579,-9.313225746154785e-09,1.9421566724777222,0.0,2.8336743831634523,6.0017353057861325,0.010706553235650063,0.016669392585754395,0.02358434721827507,0.041611265391111374,8.661299943923951e-09,1.695328712463379,0.7659464556723833,0.8840472166832232,0.4721735715866089,0.5554100275039673,5.92192964553833,2.660221815109253,1.3597309589385986e-07,1.9127283096313477,0.0,2.816843867301941,5.838573980331421,0.007085617631673813,0.016065828502178192,0.02281680330634117,0.039700090885162354,-1.3392418622970582e-07,2.1827001571655273,0.7500342253595591,0.8946406864403492,0.4537277817726135,0.5556609034538269,5.9395781517028805
