episode,agent,policy_loss,value_loss,entropy,approx_kl,grad_norm,reward_mean,reward_std
6,bs_beamformer,2.976972609758377e-07,12722.24345703125,56.75746879577637,0.0,2828.064453125,7.172850131988525,0.06300095468759537
6,uav_trajectory,-3.2782554626464846e-08,12556.79462890625,21.28249626159668,0.0,2691.331787109375,7.172769069671631,0.06436491757631302
6,jammer_beamformer,3.205146640539169e-07,12704.8626953125,56.74864654541015,0.0,2659.2832763671877,7.171320915222168,0.06536491960287094
7,bs_beamformer,-5.709007382392883e-08,11185.512890625,56.75046730041504,0.0,2309.6719970703125,7.128933906555176,0.13970208168029785
7,uav_trajectory,1.7080456018447877e-07,11128.7548828125,21.278018951416016,0.0,1926.901953125,7.133523464202881,0.13412190973758698
7,jammer_beamformer,-5.324836820363998e-08,11113.5052734375,56.730913925170896,0.0,2367.3314697265623,7.130610466003418,0.13565829396247864
8,bs_beamformer,4.155095666646957e-07,10061.9478515625,56.74031524658203,0.0,1850.4924682617188,7.096979141235352,0.18227025866508484
8,uav_trajectory,-2.723187208175659e-07,10093.298046875,21.280250358581544,0.0,1658.5765747070313,7.100482940673828,0.19151441752910614
8,jammer_beamformer,-2.0051375031471254e-07,9952.28759765625,56.73925704956055,0.0,1810.3152954101563,7.108293533325195,0.1638024002313614
9,bs_beamformer,-1.6205012798309326e-07,9354.91298828125,56.76714973449707,0.0,1552.653271484375,7.080048084259033,0.1866682469844818
9,uav_trajectory,2.1187588572502136e-07,9401.89384765625,21.285695457458495,0.0,1557.1135864257812,7.07320499420166,0.2043418139219284
9,jammer_beamformer,-1.1920928955078125e-07,9215.810546875,56.763614654541016,0.0,1522.1837036132813,7.0856733322143555,0.1885860413312912
10,bs_beamformer,4.507601261138916e-08,8881.79150390625,56.82189788818359,0.0,1463.592431640625,7.0628509521484375,0.21011602878570557
10,uav_trajectory,-3.3141113817691805e-07,8942.33369140625,21.288757514953613,0.0,1537.2928588867187,7.073483467102051,0.1997203528881073
10,jammer_beamformer,-3.358349204063416e-07,8770.03271484375,56.78196754455566,0.0,1443.60390625,7.068890571594238,0.20905427634716034
11,bs_beamformer,3.5529956221580505e-07,8639.4322265625,56.84734916687012,0.0,1443.727734375,7.069583415985107,0.18545404076576233
11,uav_trajectory,2.837274223566055e-07,8588.6923828125,21.292781639099122,0.0,1447.203955078125,7.0690765380859375,0.20168814063072205
11,jammer_beamformer,8.102506399154662e-09,8475.74619140625,56.78370704650879,0.0,1424.7300048828124,7.049460411071777,0.24217484891414642
12,bs_beamformer,-5.961395800113678e-07,8382.16328125,56.84672927856445,0.0,1424.5998657226562,7.05703592300415,0.23309150338172913
12,uav_trajectory,-2.4230685085058213e-07,8302.87626953125,21.305748176574706,0.0,1411.39443359375,7.056441307067871,0.20525974035263062
12,jammer_beamformer,-2.912711352109909e-07,8293.3001953125,56.79413032531738,0.0,1414.3605590820312,7.05502986907959,0.20804834365844727
13,bs_beamformer,4.386529326438904e-08,8058.146728515625,56.848786163330075,0.0,1397.771728515625,7.002861499786377,0.3120476007461548
13,uav_trajectory,-7.578637450933456e-08,7901.130859375,21.320515441894532,0.0,1379.4003784179688,6.9750213623046875,0.33281832933425903
13,jammer_beamformer,3.059394657611847e-08,7926.020166015625,56.80850486755371,0.0,1383.3774047851562,6.98220682144165,0.32537761330604553
14,bs_beamformer,2.6635825634002687e-08,7950.93271484375,56.83058242797851,0.0,1388.5245483398437,7.0177764892578125,0.2729058861732483
14,uav_trajectory,1.4100223779678345e-07,7734.14990234375,21.33840274810791,0.0,1366.8562866210937,6.976099967956543,0.35396087169647217
14,jammer_beamformer,1.2833625078201295e-07,7754.034375,56.850460815429685,0.0,1370.7892822265626,6.977466106414795,0.3252989947795868
15,bs_beamformer,9.49949026107788e-09,7676.844189453125,56.82317428588867,0.0,1365.2484252929687,6.985377788543701,0.3442085087299347
15,uav_trajectory,4.899688065052033e-07,7608.539453125,21.351817321777343,0.0,1358.3498413085938,6.996911525726318,0.3260497748851776
15,jammer_beamformer,-5.168840289115906e-08,7721.230859375,56.88830757141113,0.0,1366.9852783203125,7.0266947746276855,0.2989944815635681
16,bs_beamformer,2.853572368621826e-07,7578.729833984375,56.817086410522464,0.0,1355.8016357421875,6.991552829742432,0.30991604924201965
16,uav_trajectory,-4.194909706711769e-07,7534.365869140625,21.355712509155275,0.0,1352.11201171875,7.015261650085449,0.30707332491874695
16,jammer_beamformer,3.1082890927791595e-07,7481.345947265625,56.89339752197266,0.0,1347.7422729492187,7.000224590301514,0.3307260274887085
17,bs_beamformer,2.030748873949051e-07,7434.105908203125,56.784916687011716,0.0,1343.5860961914063,6.998401165008545,0.2919261157512665
