episode,bs_beamformer,uav_trajectory,jammer_beamformer
1,7.165404300430176,7.165404300430176,7.165404300430176
2,7.174912009608464,7.174912009608464,7.174912009608464
3,7.19954466535252,7.19954466535252,7.19954466535252
4,7.144994094138019,7.144994094138019,7.144994094138019
5,7.193611986627789,7.193611986627789,7.193611986627789
6,7.155903285352581,7.155903285352581,7.155903285352581
7,6.890806487100049,6.890806487100049,6.890806487100049
8,6.886967846762037,6.886967846762037,6.886967846762037
9,6.892862092692832,6.892862092692832,6.892862092692832
10,6.910922699830921,6.910922699830921,6.910922699830921
11,6.891531627749483,6.891531627749483,6.891531627749483
12,6.88989870845542,6.88989870845542,6.88989870845542
13,6.312288817047097,6.312288817047097,6.312288817047097
14,7.122646088526835,7.122646088526835,7.122646088526835
15,7.165781592217156,7.165781592217156,7.165781592217156
16,7.092382597726637,7.092382597726637,7.092382597726637
17,6.840242840472829,6.840242840472829,6.840242840472829
18,6.806614428023903,6.806614428023903,6.806614428023903
19,6.4452710698897135,6.4452710698897135,6.4452710698897135
20,6.534067441299973,6.534067441299973,6.534067441299973
21,6.589539186671334,6.589539186671334,6.589539186671334
22,6.566767541081838,6.566767541081838,6.566767541081838
23,6.503440143191491,6.503440143191491,6.503440143191491
24,6.440776571302763,6.440776571302763,6.440776571302763
25,6.553680179971128,6.553680179971128,6.553680179971128
26,6.553219115534497,6.553219115534497,6.553219115534497
27,6.533536447723627,6.533536447723627,6.533536447723627
28,6.5608720760664845,6.5608720760664845,6.5608720760664845
29,6.591888783747638,6.591888783747638,6.591888783747638
30,6.614927073597766,6.614927073597766,6.614927073597766
31,6.602681613906809,6.602681613906809,6.602681613906809
32,6.58818388811615,6.58818388811615,6.58818388811615
33,6.52499079966775,6.52499079966775,6.52499079966775
34,6.616779176940131,6.616779176940131,6.616779176940131
35,6.67981461333358,6.67981461333358,6.67981461333358
36,6.723686314334243,6.723686314334243,6.723686314334243
37,6.643766586393667,6.643766586393667,6.643766586393667
38,6.558837123064907,6.558837123064907,6.558837123064907
39,6.57100560237996,6.57100560237996,6.57100560237996
40,6.583526657443178,6.583526657443178,6.583526657443178
41,6.522646843787028,6.522646843787028,6.522646843787028
42,6.849723564341739,6.849723564341739,6.849723564341739
43,7.076550531482618,7.076550531482618,7.076550531482618
44,7.0902338991634615,7.0902338991634615,7.0902338991634615
45,7.06884207866379,7.06884207866379,7.06884207866379
46,6.9068764740203585,6.9068764740203585,6.9068764740203585
47,7.100830898639954,7.100830898639954,7.100830898639954
48,7.0846506337502975,7.0846506337502975,7.0846506337502975
49,7.082709484189809,7.082709484189809,7.082709484189809
50,7.057902125577682,7.057902125577682,7.057902125577682
