episode,global_step,fading_model,control_mode,epsilon,episode_reward_bps_step,avg_reward_mbps,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rician,waypoint,0.99527375,1117186065.5104203,5.585930327552101,10.247415007925095,7.533786581994933,5.6271628282302775,112.54325656460554,4.12325006781789,0.2625,200,218.38871584788677,237.20711102969398,213.21787398187263,233.9756920001098,207.54158707768147,61.30974017036371,235.35173450521737,433.1420603370482,5.6271628282302775,5.6271628282302775,0.0
2,400,rician,waypoint,0.99052375,962121313.1958847,4.810606565979424,8.341291572519383,6.162307594675224,4.866639412726999,97.33278825453998,5.603284674757466,0.2325,200,326.49696121193716,310.65126780663445,323.02764065384446,305.91595025150997,504.23450245753895,224.72150951316485,739.8375384229203,565.8955953289495,5.246901120478638,5.246901120478638,0.0
3,600,rician,waypoint,0.98577375,953779793.5352188,4.768898967676094,8.026451888510133,6.252863663748946,4.8163429376308695,96.32685875261738,4.7443969954773255,0.25625,200,291.1519036243111,246.37204280802075,286.3430306159599,243.5933345643852,696.7342320000305,151.0347717631218,587.8378424257713,353.9368288025153,5.103381726196049,5.103381726196049,0.0
4,800,rician,waypoint,0.98102375,488854051.27055687,2.4442702563527843,7.960094282680536,9.827992145123368,2.4922714677953786,49.84542935590758,4.800121144259359,0.245,200,223.01594955605148,311.7606437549745,212.82833026889216,306.87920938013497,749.7130138594215,133.1587216198458,140.36356628025038,630.425241471423,4.450604161595881,4.450604161595881,0.0
5,1000,rician,waypoint,0.97627375,894965161.4904917,4.474825807452459,9.069360253738365,8.264886155072267,4.506406605427739,90.1281321085548,3.1580797975280053,0.235,200,139.6797159529364,148.96557661037124,110.38023890005142,140.46243365043594,419.17192136856687,52.76919351984078,257.3069598889387,491.99252535647094,4.461764650362253,4.461764650362253,0.0
