episode,avg_crb,avg_pd,avg_reward,eval_avg_crb,eval_avg_pd,eval_avg_reward,eval_std_crb,eval_std_pd,eval_std_reward
1,0.05742957367514622,0.945,0.5806298667701345,725.0070354799328,0.64866,0.1411913397376885,1422.2615145221787,0.1249983775894711,0.22653742915046987
2,1.1922355476148276,0.6822499999999999,-0.28318118861199837,,,,,,
3,88.18688192378205,0.71625,-0.04127383338470359,,,,,,
4,3.7495191490274777,0.8067499999999999,0.5910073142646803,,,,,,
5,3.3972442009428634,0.60125,0.054418948961355726,,,,,,
6,0.1174283178724458,0.73525,0.6627836163390398,,,,,,
7,0.3836222978113058,0.86275,0.45212809161550216,,,,,,
8,12648.768684635115,0.6095,0.4126371873984279,,,,,,
9,7.222874921162575,0.74,0.18719047640056055,,,,,,
10,9.345094996701185,0.84125,0.44788106238559244,725.0070354799328,0.64866,0.1411913397376885,1422.2615145221787,0.1249983775894711,0.22653742915046987
11,0.1254843152511678,0.6445000000000001,0.5394022422400455,,,,,,
12,2.132468035247208,0.57925,0.5415177278003659,,,,,,
13,0.07747466747725566,0.77975,0.8576897809879764,,,,,,
14,0.04622343059675749,0.83,0.7509308616140055,,,,,,
15,9.727652290251584,0.8482499999999998,0.5947952270272596,,,,,,
16,1.5270591923300034,0.7025,0.3441163946758528,,,,,,
17,0.0334493314646438,0.9362499999999998,0.8002311515437742,,,,,,
18,0.5124703796132724,0.8405,0.4490448190518753,,,,,,
19,18.429426614121436,0.711,0.5656824691737109,,,,,,
20,0.06925460894017965,0.3822499999999999,0.2712729645184163,725.0070354799328,0.64866,0.1411913397376885,1422.2615145221787,0.1249983775894711,0.22653742915046987
21,1.284707691662144,0.78275,0.32779191456710544,,,,,,
22,5.6891803989442735,0.8859999999999999,0.22080963835297474,,,,,,
23,2886.7036909729613,0.9275,-0.29217932970553706,,,,,,
24,0.46067525821797345,0.6934999999999999,0.3874250200089739,,,,,,
25,0.13157948667507383,0.8695,0.6021296966726905,,,,,,
26,0.1848835046592264,0.83625,0.5576864326377495,,,,,,
27,11.486420846213418,0.9215000000000001,0.7020507901037257,,,,,,
28,0.22069912950893844,0.887,0.797140920880896,,,,,,
29,1.236623280642963,0.8919999999999999,0.6171251494252765,,,,,,
30,4.1926636675841795,0.67825,0.5034205005727032,725.0070354799328,0.64866,0.1411913397376885,1422.2615145221787,0.1249983775894711,0.22653742915046987
31,0.051076376510594976,0.79425,0.7205426986095812,,,,,,
32,150.28762922716135,0.9755000000000001,0.08463824328185998,,,,,,
33,0.07808675676597493,0.8325,0.44417020110108807,,,,,,
34,0.16920727281148928,0.6555,0.18239389670556075,,,,,,
35,0.537499203730944,0.4815,0.2586281544983639,,,,,,
36,4.747887997143082,0.687,0.2074121877749534,,,,,,
37,0.23662071024643333,0.86875,0.19106884121920523,,,,,,
38,0.30654650619864865,0.57175,-0.0020896608299609785,,,,,,
