episode,secrecy
1,1.029331847739458
2,0.9578021809206788
3,0.740653179572441
4,1.1738712418794732
5,0.7896160400993505
6,1.10241165793933
7,0.4014952111795654
8,0.4629791676165895
9,0.7844342429012469
10,0.5933639762134536
11,0.6785719926191212
12,3.029061298141201
13,1.794179261617245
14,1.291423189503734
15,1.0694914880589983
16,1.3260665672286946
17,1.6917691519673022
18,2.626817066857683
19,4.428317556029367
20,4.377551149145841
21,4.881041512154807
22,4.883234367058183
23,4.502914662152905
24,4.636270440868278
25,4.512430854375429
26,4.7482204858573915
27,4.722125094353404
28,4.7521299488897935
29,4.699090526987694
30,4.876043520989107
31,4.9620219166586335
32,5.008803707976525
33,4.725951654843883
34,4.174448357783345
35,3.8692239925541316
36,3.953412151515197
37,4.118489409558102
38,3.157763009424741
39,2.83228580287
40,2.5677837881684935
41,2.565465951951291
42,2.3762281029725654
43,2.526757780657159
44,2.4381724891561913
45,2.040812551354953
46,2.1051109957247034
47,2.2901689616523786
48,2.159089665696817
49,2.074475936142394
50,2.1143529371357856
