seed,objective,secrecy,sensing,runtime
0,0.9635814749565497,9.117370049074466,4.999999988390058,4.183109599998716
1,0.901555275709127,4.775536133557463,4.999999985664123,3.6876675999992585
2,0.8828562568374878,3.466604839527169,4.999999983351169,3.572173999998995
3,0.9059302607611733,5.0817851353451315,4.999999981537457,3.9846140000008745
4,0.9063766279370477,5.113030742101536,4.999999989727868,3.682555199999115
5,0.8867286092548672,3.7376695878744104,4.99999997656854,3.6627148000006855
6,0.9241718644824327,6.35869735407725,4.999999985116546,3.7396846000010555
7,0.886396783720918,3.7144419834398144,4.999999960887809,3.6452675000000454
8,0.8979753910589223,4.524944267069977,4.999999980604679,3.9973982000010437
9,0.8839745699819865,3.544886838662756,4.999999976577969,3.7562292000002344
10,0.9534811469501978,8.41034708118907,4.999999989027838,3.7022018999996362
11,0.9515291433068842,8.273706905501928,4.999999982226854,3.5932795999997325
12,0.8709251189778645,2.6314250891360382,4.999999991941241,3.5878717999985383
13,0.8839923153969348,3.546128824720253,4.999999993119873,3.5873606000004656
14,0.8842704169648304,3.56559598883297,4.999999988460442,3.5875513999999384
15,0.9321671531260722,6.918367592276979,4.99999998227555,3.4756656999998086
16,0.944318302943171,7.768947984978474,4.999999990375157,4.050151699999333
17,0.897957954957068,4.523724285075534,4.99999993387879,3.5932768000002397
18,0.9420540820702205,7.610453049230593,4.999999945344415,3.8374094999999215
19,0.8986250911927964,4.570423776787426,4.999999937717856,3.85569889999897
