episode,global_step,fading_model,noise_std,noise_type,control_mode,role_switching,episode_reward_bps_step,avg_reward_mbps,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,role_switch_count,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps
1,200,rician,0.249204,ou,waypoint,True,813625391.9178115,4.0681269595890575,8.670045217588282,6.851088334707642,4.13076443538881,82.6152887077762,6.263747579975058,0.23761965788900852,200,364.094809591784,332.2522076818459,360.66190366003735,329.1021264490061,172,224.43195626029546,373.4167180640811,197.14421016002302,961.5269654168169,4.13076443538881,4.13076443538881,0.0
2,400,rician,0.248404,ou,waypoint,True,1610755311.7976134,8.053776558988067,8.988736733737088,0.8746525513835725,8.114084182353514,162.28168364707028,6.030762336544338,0.4678405873477459,200,376.7025052012898,292.6507536300917,374.70112456815804,243.9504470160526,150,496.2283988241795,90.95877218637378,495.82120426601506,605.8374537357179,6.122424308871162,6.122424308871162,0.0
3,600,rician,0.247604,ou,waypoint,True,1649912300.7987442,8.249561503993721,8.883767745328786,0.5833207756449302,8.300446969683865,166.00893939367728,5.088546569013676,0.4287143947184086,200,365.3016959573643,180.58260984090165,356.72602197669653,153.75975191304713,181,160.4479733539718,432.5768105866091,482.31025280703363,583.8173185421655,6.848431862475397,6.848431862475397,0.0
4,800,rician,0.246804,ou,waypoint,True,1681573694.8948953,8.407868474474476,8.790962469571337,0.31682385873831387,8.474138610833021,169.4827722166604,6.627013635854761,0.439103169888258,200,379.3745536865455,354.35919495602457,376.8843207723236,341.2041180237396,173,352.1696478933667,437.1942287334883,656.1466171715783,69.27068659681815,7.254858549564803,7.254858549564803,0.0
5,1000,rician,0.246004,ou,waypoint,True,995662210.7982593,4.9783110539912965,8.389462819517423,3.3569581384330416,5.039657138265073,100.79314276530147,6.13460842737794,0.46188619077205656,200,372.01691096084613,301.71661824840425,363.05371041124687,297.17581878535816,171,417.1090590392007,374.47965497818893,157.8589620552741,746.9210871082453,6.811818267304856,6.811818267304856,0.0
