Channel,Final_Objective,Final_Secrecy,Convergence_Iteration,Final_Mean_Alpha,Final_Relay_Update_Norm,Final_Jammer_Update_Norm,Final_Power_Update_Norm,Final_Alpha_Update_Norm
Rayleigh,15.856420328773112,15.856420328773112,20,0.9499998275211997,0.008456179054810787,0.0,0.0,2.99287021630744e-07
Rician,19.52023780304229,19.52023780304229,20,0.9499998689302936,0.010865850081124867,0.0,0.0,2.646566536999413e-07
