episode,avg_crb,avg_pd,avg_reward,eval_avg_crb,eval_avg_pd,eval_avg_reward,eval_std_crb,eval_std_pd,eval_std_reward,uav_1/adv_max,uav_1/adv_mean,uav_1/adv_std,uav_1/approx_kl,uav_1/entropy,uav_1/grad_norm,uav_1/output_bias_norm,uav_1/output_weight_g,uav_1/output_weight_norm,uav_1/output_weight_v_norm,uav_1/policy_loss,uav_1/pre_tanh_max,uav_1/pre_tanh_mean,uav_1/pre_tanh_std,uav_1/reward_mean,uav_1/reward_std,uav_1/value_loss,uav_2/adv_max,uav_2/adv_mean,uav_2/adv_std,uav_2/approx_kl,uav_2/entropy,uav_2/grad_norm,uav_2/output_bias_norm,uav_2/output_weight_g,uav_2/output_weight_norm,uav_2/output_weight_v_norm,uav_2/policy_loss,uav_2/pre_tanh_max,uav_2/pre_tanh_mean,uav_2/pre_tanh_std,uav_2/reward_mean,uav_2/reward_std,uav_2/value_loss
1,0.05685531625735618,0.9130000000000001,0.7153032854413505,0.19953283591672116,0.7867999999999999,0.18816897170762592,0.23725936233710776,0.1186503813731755,0.471469260593915,1.2517564296722412,3.933906711495183e-08,3.3400981426239014,0.0,2.8405776977539063,48.54320869445801,0.0,0.009999999776482582,0.01414213515818119,0.01414213515818119,-0.008488484323956413,2.617542028427124,0.7909950711205602,0.9697616267651599,0.7153032422065735,0.4654760956764221,96.02656326293945,1.257419228553772,7.629394360719743e-08,3.3577377796173096,0.0,2.8405784368515015,44.787724304199216,0.0,0.009999999776482582,0.014142136089503765,0.014142136089503765,-0.005824774488806384,3.195908308029175,0.8444487469084561,1.0387592219666288,0.7153032422065735,0.4654760956764221,95.18908157348633
2,0.08103962386749958,0.88,0.16185043631528703,,,,,,,2.0723659992218018,-1.668930060816365e-08,1.5715335607528687,0.00442130584269762,2.844426703453064,5.573525047302246,0.004255982581526041,0.011844731867313385,0.016751078888773918,0.02365078590810299,-0.0019882142518181213,2.7699811458587646,0.8647754810005427,1.056159606950091,0.1618504375219345,0.5086237788200378,3.6134379863739015,2.033097743988037,1.7881394143159923e-08,1.584183692932129,0.004086942877620459,2.844379019737244,4.8106659889221195,0.004258505534380674,0.012037966400384903,0.01702440157532692,0.024278344586491585,-0.004094997165258985,2.8433728218078613,0.8469868060387671,1.0351381856894473,0.1618504375219345,0.5086237788200378,3.356229829788208
3,0.21360347233282495,0.71625,0.1976195239854632,,,,,,,1.8649698495864868,-2.980232238769531e-07,1.64948570728302,0.002912278287112713,2.8436947107315063,17.96332664489746,0.008730552159249783,0.014959432184696198,0.021156279370188713,0.03273411840200424,-0.001430964876112739,2.6486976146698,0.8574737708456814,1.0359516106392554,0.1976195126771927,0.5282536745071411,13.480883502960205,1.8110530376434326,-1.3113022134803032e-07,1.6777570247650146,0.0027757263742387295,2.844527769088745,15.703122234344482,0.0030801710672676563,0.011992699466645718,0.017148032784461975,0.03336434066295624,-0.0008416965077632455,2.4973325729370117,0.7871394749078899,0.9588979607192541,0.1976195126771927,0.5282536745071411,11.664584636688232
4,0.05180644530313217,0.80625,0.7733220474843996,,,,,,,1.7210794687271118,-2.670288097306184e-07,3.4173099994659424,0.002240006811916828,2.840167832374573,44.90261955261231,0.010764011181890965,0.016784120351076126,0.023738110437989235,0.04208382964134216,-0.0012804167220593853,3.0713577270507812,0.8086304727941751,1.0001116776656773,0.7733220458030701,0.40088486671447754,78.08829193115234,1.69149911403656,1.0013580009626821e-07,3.526031017303467,0.0,2.843588876724243,42.70438117980957,0.0016553322784602642,0.013195390813052654,0.01938440091907978,0.04509042575955391,-0.0029426112349611342,2.7953457832336426,0.8269870259612798,1.0401439122934442,0.7733220458030701,0.40088486671447754,75.2117530822754
5,615.1094598022919,0.7284999999999999,-0.315033057085879,,,,,,,1.5957412719726562,9.53674295089968e-09,2.0653865337371826,0.0,2.83801155090332,13.405426502227783,0.010191317647695541,0.017157454043626785,0.024266397580504417,0.05017703026533127,-0.002457793248933804,2.4913170337677,0.7938080193102359,0.9933834656329043,-0.31503304839134216,0.6162641644477844,12.41142520904541,1.6478679180145264,-4.5299529460862686e-08,2.059568405151367,0.0044061304070055485,2.842637634277344,18.440070724487306,0.0031474330462515354,0.014985132962465286,0.022672191262245178,0.052286650985479355,-0.0029664341457930734,3.8097984790802,0.8745939099229872,1.0872718906385475,-0.31503304839134216,0.6162641644477844,15.55234432220459
6,0.023378502651232886,0.8617500000000001,0.7125058618192522,,,,,,,1.262900710105896,-1.8119811784345075e-07,3.775207757949829,0.0,2.836149525642395,38.68527603149414,0.007776888087391853,0.01706528104841709,0.02413395792245865,0.05678549408912659,-0.0023572600201006823,2.4431846141815186,0.8227810375764966,0.9999613326661145,0.7125058770179749,0.3063553273677826,67.74529266357422,1.2190994024276733,-1.0728836485895954e-08,3.635894298553467,0.003488316433504224,2.8424336671829225,42.7514144897461,0.0031295677181333303,0.014716193079948425,0.02196868322789669,0.056367333978414536,-0.0015676760649078858,2.8040311336517334,0.8700895732827485,1.0726952976458972,0.7125058770179749,0.3063553273677826,68.58308715820313
7,0.038620142876007145,0.7994999999999999,0.427239639761451,,,,,,,1.20862877368927,5.4836274188119205e-08,2.254563570022583,3.6213397834217176e-05,2.835697603225708,24.318840408325194,0.006366665009409189,0.01694280095398426,0.023967688903212547,0.06403924524784088,-0.0002562220087099831,3.7657766342163086,0.8477997893840075,1.0695894646398478,0.4272395968437195,0.24712400138378143,27.528776741027833,1.2201985120773315,-2.7656554379973386e-07,2.1133790016174316,6.914138594993346e-08,2.84225480556488,26.524496459960936,0.004538878798484802,0.013800861313939095,0.020204629749059677,0.0629185289144516,-4.5204180310065567e-07,3.222111225128174,0.7916450394643471,1.0396905839602435,0.4272395968437195,0.24712400138378143,27.329748725891115
8,0.013563368650371992,0.7130000000000001,0.7779888398373952,,,,,,,1.1299177408218384,1.0728835775353218e-07,4.143698215484619,0.00030430793412961066,2.837838554382324,47.0862060546875,0.006975379306823015,0.01709938421845436,0.02422417514026165,0.06916855275630951,-0.0007333878249568216,2.9277987480163574,0.8746954794973135,1.0914321852849345,0.7779889106750488,0.2771245539188385,86.70543975830078,1.1492658853530884,3.695488004495928e-08,4.330074787139893,0.00019663333659991622,2.841392087936401,46.93810958862305,0.005480705760419369,0.013182297348976135,0.019129864871501923,0.06762437522411346,0.00015404402943417495,2.7537801265716553,0.7848393822647631,0.9524974466593313,0.7779889106750488,0.2771245539188385,84.4841323852539
9,2.6943552064175935,0.8515,0.2862885751826415,,,,,,,1.7113417387008667,4.76837147544984e-09,2.218909502029419,0.00212315795943141,2.8404175996780396,12.784461975097656,0.007102298550307751,0.0170169398188591,0.024109821766614914,0.07181286066770554,-0.0018597405696638702,3.035125255584717,0.8506347712874412,1.0446031152468742,0.2862885892391205,0.4987935423851013,10.362582111358643,1.700581431388855,-4.5299529460862686e-08,2.484079599380493,0.00042393445619381964,2.840756630897522,11.797231006622315,0.005497661419212818,0.013008963316679,0.018865304067730904,0.06996898353099823,-0.00036881553699643634,2.5913097858428955,0.8221365719847381,1.016904046206282,0.2862885892391205,0.4987935423851013,12.018245887756347
10,0.32726904931585893,0.73225,0.2329667653747743,,,,,,,2.3759639263153076,-1.3113021779531664e-08,2.3832361698150635,1.62649157573469e-05,2.8407405853271483,4.669417786598205,0.0041871401481330395,0.015820741653442383,0.02237487956881523,0.07417342066764832,-0.0024939257794759583,2.5651309490203857,0.8970306854508817,1.090168226515249,0.23296676576137543,0.5811994075775146,6.522919082641602,2.488677740097046,-7.1525572131747595e-09,2.3767917156219482,0.006326749455183744,2.840254712104797,4.590173077583313,0.005329392850399017,0.013191680423915386,0.01896658167243004,0.07091567665338516,-0.0038259482025169156,2.3555548191070557,0.7555339853558689,0.9166857599245757,0.23296676576137543,0.5811994075775146,6.152761030197143
