episode,avg_crb,avg_pd,avg_reward
1,0.03664599937950228,0.9175000000000001,0.3213458799660719
2,0.033622598377654356,0.72,0.7519755658415906
3,0.017218991691370644,1.0,0.8833028550838501
4,0.10527545832063796,0.8400000000000001,0.021940514158234486
5,0.022160157893236415,0.9650000000000001,0.4345539305089017
6,0.9504875835265978,0.8049999999999999,-0.31769277519830647
7,0.0753625362289713,0.6225,0.1617443337408921
8,0.22928083419784842,0.97625,0.029921571737565433
9,0.12120383378240537,1.0,0.07602943793805661
10,0.0071868515022945655,0.99875,1.3685145794410647
11,29.68479713615356,0.9,-0.2443139584948745
12,0.010832681489153577,0.95375,1.0607401243033412
13,0.04961382033882817,0.70625,0.406207387013538
14,5.165108885417157,0.6225,-0.2359239144054921
15,0.2977663118932593,0.8962500000000002,0.020461205147389
16,10.634993992271093,0.93875,0.19741978481635097
17,0.0573889667256921,0.9949999999999999,0.7306834027186833
18,0.5573661499996551,0.8612500000000001,0.18035462305940692
19,0.09378038200893947,0.9349999999999999,0.5785342002932928
20,8.744223250580335,0.72125,-0.7202103448664164
21,0.09646748070732869,0.6987500000000001,0.3483472573216492
22,0.040740632405404306,0.8275,0.6343106309153427
23,0.6117043251784502,0.85625,0.42814411984611384
24,0.02289226330258007,0.5037499999999999,0.4929825127315267
25,0.031855950936214475,0.8725000000000002,0.5678204694520694
26,4.348574451567205,0.7849999999999999,-0.11068008206189614
27,3.748917623777436,0.93125,0.14875735018548966
28,0.03687173023264529,0.9637499999999999,0.8304963691696432
29,0.2605323060242208,0.9475,0.4299667340370599
30,0.0836968705684495,0.7050000000000001,0.34206273857824926
