episode,secrecy
1,1.6713477960285872
2,1.837348591176132
3,1.4539896476514573
4,1.517301482899574
5,1.5175353183430769
6,1.4735804473653118
7,2.192954128755294
8,1.5796564790771017
9,2.003575426336929
10,1.8006693828907763
11,2.6805080138707034
12,2.4764839987600022
13,2.1702858883371117
14,3.2995728686893493
15,2.3436006020688778
16,2.340455543149482
17,2.5309927930258467
18,2.7611929735462657
19,2.039790845738314
20,2.118017479370118
21,1.8732498187487634
22,2.390288488537316
23,2.160594013717022
24,2.2435086026150843
25,2.110372635961271
26,2.2711510015178673
27,3.102639165297572
28,2.877034903726971
29,4.5928700505134845
30,6.5142456235257775
31,6.70963688063669
32,6.240028822593163
33,6.822767885935328
34,6.4002529392227645
35,6.57600887636879
36,6.004392294691351
37,6.152428495875268
38,5.890532307935346
39,6.487542145455449
40,4.57876607970944
41,4.76496959045166
42,5.1227886814774966
43,4.3919436190566765
44,5.868957856914069
45,4.833957162127209
46,5.2861178573483025
47,6.613831206142051
48,5.444436259573116
49,5.442573493960879
50,6.381737498585755
51,5.760100479949609
52,5.358076244902505
53,5.777392947912517
54,5.988006780529169
55,6.071690980320064
56,5.605276885362641
57,5.33877145666377
58,5.676594420194242
59,5.376307795804999
60,5.078306862419406
61,4.834091251618587
62,4.70138381204891
63,4.880546694200586
64,5.485457218072795
65,5.4272740582069385
66,5.130671038525508
67,3.805552815888806
68,3.253981388290392
69,3.5396380285431572
70,3.1953443870096034
71,2.19103035862003
72,1.5461986034606467
73,1.3379467491408799
74,1.4863838305667931
75,3.144822453583022
76,3.7225541702582543
77,3.874626597331556
78,3.6139533800426222
79,3.1308711850944166
80,2.0462229517227146
81,1.5508018363278546
82,1.4495460222247205
83,1.362127913309414
84,1.2506952632764616
85,1.1904147296690932
86,1.247602539313281
87,1.2193100359260205
88,1.1844061757894333
89,1.1974179976128156
90,1.29424229061641
91,1.1960705240599618
92,1.1872307926640797
93,1.2270771892740706
94,1.2570558375787064
95,1.2509774572650765
96,1.207233538914669
97,1.2090382306860625
98,1.2310016601455622
99,1.324384930043637
100,1.3470291589285837
