ablation,avg_secrecy,avg_sensing,avg_reward,n_episodes,secrecy_degradation
full_obs,1.6549801851313968,43.37961147786856,7.250815214557742,50,0.0
no_secrecy,2.5506514623712313,43.735754420731226,7.322890281489078,50,-54.11975836851018
no_sensing,2.841650994571241,43.51154168575187,7.290038628500138,50,-71.70302219332183
no_channels,2.2519188884291204,40.31556772347114,6.749071557079892,50,-36.069235671865755
