episode,step,reward_total,reward_secrecy,reward_sensing,reward_constraint_penalty,secrecy_raw,sensing_raw,violation,f
0,0,6.645390826444957,0.03173540305239991,6.616655423392557,-6.938893903907229e-19,2.221478213667994,39.69993254035534,6.938893903907228e-18,6.648390826444957
0,1,7.130596475535536,0.04339948263034174,7.0895195842906675,-2.1337098754514727e-15,3.0379637841239218,42.53711750574401,2.1337098754514727e-14,7.132919066921009
0,2,7.106397091182234,0.036418507872710185,7.072978583309524,-7.105427357601002e-16,2.549295551089713,42.437871499857145,7.105427357601002e-15,7.109397091182235
0,3,7.025330860811658,0.029380877242719563,6.998949983568939,-7.105427357601002e-16,2.0566614069903695,41.993699901413635,7.105427357601002e-15,7.028330860811659
0,4,6.960790294801089,0.026950882885541032,6.93683941191555,-1.4210854715202005e-15,1.8865618019878723,41.6210364714933,1.4210854715202004e-14,6.963790294801091
1,0,6.810647267137712,0.049145316520220764,6.763501950617491,-6.938893903907229e-19,3.4401721564154535,40.581011703704945,6.938893903907228e-18,6.812647267137712
1,1,7.3402983738691425,0.0411895867772993,7.301108787091845,-2.1323220966706914e-15,2.883271074410951,43.80665272255107,2.1323220966706913e-14,7.342298373869144
1,2,7.343603901298034,0.034309139360695455,7.311294761937339,-7.112366251504909e-16,2.4016397552486817,43.86776857162403,7.112366251504909e-15,7.345603901298035
1,3,7.274661856792856,0.026550969660895745,7.250110887131961,-7.105427357601002e-16,1.8585678762627023,43.50066532279177,7.105427357601002e-15,7.276661856792857
1,4,7.217517660171757,0.02096297184197386,7.198554688329783,-0.0,1.4674080289381701,43.1913281299787,0.0,7.219517660171757
2,0,6.784378762290187,0.0,6.789378762290187,-0.0,0.0,40.73627257374112,0.0,6.789378762290187
2,1,7.284227631720892,0.0,7.289227631720894,-2.131628207280301e-15,0.0,43.73536579032536,2.1316282072803006e-14,7.289227631720894
2,2,7.285629882835468,0.0,7.290629882835469,-7.105427357601002e-16,0.0,43.743779297012814,7.105427357601002e-15,7.290629882835469
2,3,7.2458411385847965,0.0,7.250841138584797,-7.105427357601002e-16,0.0,43.505046831508785,7.105427357601002e-15,7.250841138584797
2,4,7.194729726764307,0.0,7.199729726764308,-7.112366251504909e-16,0.0,43.19837836058585,7.112366251504909e-15,7.199729726764308
