episode,step,reward_total,reward_secrecy,reward_sensing,reward_constraint_penalty,secrecy_raw,sensing_raw,violation,f
0,0,6.789941205706267,0.02181596210778522,6.771125243598483,-1.4217793609105911e-15,1.5271173475449653,40.6267514615909,1.421779360910591e-14,6.792941205706269
0,1,7.104198948923537,0.013632741871061348,7.0935662070524765,-7.112366251504909e-16,0.9542919309742944,42.56139724231486,7.112366251504909e-15,7.107198948923538
0,2,7.15549296202815,0.01114138394321675,7.147351578084934,-7.105427357601002e-16,0.7798968760251725,42.88410946850961,7.105427357601002e-15,7.158492962028151
0,3,7.14662323481119,0.010480753976762212,7.139181593006017,-1.4217793609105911e-15,0.7336527783733549,42.8350895580361,1.421779360910591e-14,7.14966234698278
0,4,7.116965902924948,0.010381840513723671,7.110584062411224,-0.0,0.726728835960657,42.663504374467344,0.0,7.120965902924947
1,0,7.0496006451534,0.019390113658402916,7.033210531494997,-6.938893903907229e-19,1.3573079560882042,42.19926318896998,6.938893903907228e-18,7.0526006451534
1,1,7.405002554464476,0.014753298870660876,7.394249255593816,-7.105427357601002e-16,1.0327309209462614,44.36549553356289,7.105427357601002e-15,7.409002554464476
1,2,7.4127188399247705,0.01512465896000991,7.40159418096476,-0.0,1.0587261272006936,44.40956508578856,0.0,7.41671883992477
1,3,7.400109006258884,0.01676343756166378,7.387345568697221,-7.112366251504909e-16,1.1734406293164645,44.324073412183324,7.112366251504909e-15,7.404109006258884
1,4,7.384715027923344,0.016083467974796786,7.372631559948548,-7.112366251504909e-16,1.125842758235775,44.23578935969129,7.112366251504909e-15,7.388715027923345
2,0,7.123613519149029,0.009182229766206376,7.117431289382824,-7.105427357601002e-16,0.6427560836344464,42.70458773629694,7.105427357601002e-15,7.12661351914903
2,1,7.456957444272618,0.006421220898667197,7.453536223373952,-7.105427357601002e-16,0.44948546290670377,44.72121734024371,7.105427357601002e-15,7.459957444272619
2,2,7.485803060857098,0.005782012783027162,7.483021048074072,-7.105427357601002e-16,0.40474089481190134,44.89812628844443,7.105427357601002e-15,7.488803060857099
2,3,7.488420317923518,0.0065743826755028005,7.485845935248016,-7.105427357601002e-16,0.46020678728519604,44.9150756114881,7.105427357601002e-15,7.492420317923519
2,4,7.479927731937965,0.007633558349266575,7.476294173588698,-0.0,0.5343490844486602,44.85776504153219,0.0,7.483927731937965
3,0,7.0989909856482845,0.059471713713383015,7.041519271934902,-7.126244039312724e-16,4.163019959936811,42.24911563160941,7.126244039312724e-15,7.100990985648285
3,1,7.443315094054059,0.0539500870943438,7.392365006959717,-1.4210854715202005e-15,3.776506096604066,44.3541900417583,1.4210854715202004e-14,7.446315094054061
3,2,7.442729709185123,0.05240004641999781,7.393329662765126,-7.105427357601002e-16,3.668003249399847,44.359977976590756,7.105427357601002e-15,7.445729709185124
3,3,7.433164610156594,0.05045169112765849,7.385712919028936,-7.105427357601002e-16,3.531618378936094,44.31427751417362,7.105427357601002e-15,7.436164610156595
3,4,7.41710656843304,0.047968740481495964,7.372137827951545,-7.105427357601002e-16,3.3578118337047176,44.23282696770927,7.105427357601002e-15,7.420106568433041
4,0,7.199676350854162,0.0034914529069055185,7.199184897947258,-7.126244039312724e-16,0.2444017034833863,43.195109387683544,7.126244039312724e-15,7.202676350854163
4,1,7.529753846811847,0.0,7.5347538468118485,-1.4217793609105911e-15,0.0,45.20852308087109,1.421779360910591e-14,7.5347538468118485
4,2,7.558803401946377,0.0,7.563803401946377,-2.081668171172169e-18,0.0,45.38282041167826,2.0816681711721685e-17,7.563803401946377
4,3,7.535493998561,0.0,7.540493998561,-2.081668171172169e-18,0.0,45.242963991366,2.0816681711721685e-17,7.540493998561
4,4,7.513210455939755,0.0,7.518210455939756,-7.105427357601002e-16,0.0,45.10926273563854,7.105427357601002e-15,7.518210455939756
5,0,6.9509380871882795,0.003339709525192517,6.951598377663086,-2.081668171172169e-18,0.23377966676347617,41.70959026597852,2.0816681711721685e-17,6.954938087188279
5,1,7.318595612704894,0.0,7.323595612704895,-7.105427357601002e-16,0.0,43.94157367622937,7.105427357601002e-15,7.323595612704895
5,2,7.377457821080866,0.0,7.382457821080866,-6.938893903907229e-19,0.0,44.294746926485196,6.938893903907228e-18,7.382457821080866
5,3,7.345319509992247,0.0,7.350319509992247,-7.105427357601002e-16,0.0,44.101917059953486,7.105427357601002e-15,7.350319509992247
5,4,7.318286223007368,0.0,7.3232862230073685,-7.105427357601002e-16,0.0,43.93971733804421,7.105427357601002e-15,7.3232862230073685
6,0,6.742639494185706,0.0005283508968178736,6.746111143288888,-0.0,0.03698456277725115,40.47666685973333,0.0,6.746639494185706
