label,episode,step,mean_bs_power,mean_jammer_power,mean_uav_speed,secrecy,sensing,reward,violation
random_feasible,0,0,3.120785804071717,0.049999999999999996,38.649258861121226,3.010225643821925,41.50487435726485,6.957482283027312,6.938893903907228e-18
random_feasible,0,1,2.616783507195482,0.04999999999999999,32.20017229294838,1.0045905010584484,41.40078266289849,6.911481736688678,7.105427357601002e-15
random_feasible,0,2,2.7937380402707874,0.04999999999999999,33.045025982449104,2.3498984877762785,41.92369467054105,7.01885242348698,7.112366251504909e-15
random_feasible,0,3,2.8899417998184336,0.05,34.159739545855246,2.765691224364791,42.144478431500474,7.062589613217195,2.0816681711721685e-17
random_feasible,0,4,1.943491747972726,0.049019845930490163,31.92852060620934,3.1887519508147073,41.9738107960709,7.040188731975836,0.0
random_feasible,1,0,2.1692598972604626,0.04999999999999999,34.86202007584406,2.781846858508114,42.09456679809467,7.051501802423036,1.4210854715202004e-14
random_feasible,1,1,2.61911057762748,0.04999999999999999,32.653234829518,3.6593002669697334,43.39956137488284,7.283535947246707,7.105427357601002e-15
random_feasible,1,2,2.896953250248452,0.04999999999999999,30.93242114533394,2.8818193467243263,44.70661954591968,7.489272105463627,0.0
random_feasible,1,3,2.1171592251138924,0.04999999999999999,31.87119660104335,1.4967557153143993,44.43736057759234,7.424608987436547,7.105427357601002e-15
random_feasible,1,4,2.094409361547117,0.049999999999999996,27.65150022518576,1.121444325667329,44.760085044025324,7.472034807228041,6.938893903907228e-18
random_feasible,2,0,3.011239182908141,0.049999999999999996,31.22584812074995,0.539184046370417,40.306969117032295,6.722530815405912,7.105427357601002e-15
random_feasible,2,1,2.4946860749391044,0.05,29.609802077460337,1.9926415866211837,43.980461774993486,7.355543270879216,7.126244039312724e-15
random_feasible,2,2,2.893312799166715,0.05,28.03413505829034,1.6767485475828185,44.57333805558406,7.449843226610431,2.0816681711721685e-17
random_feasible,2,3,2.451596000302546,0.049999999999999996,35.080197107530076,1.2958057242992096,44.849222830054856,7.491381982022942,6.938893903907228e-18
random_feasible,2,4,3.121297786652601,0.049999999999999996,34.8183712106894,0.14251481287451384,44.89712812516021,7.480890613424908,7.105427357601002e-15
random_feasible,3,0,2.8503744834102127,0.049999999999999996,39.52943546203475,3.3394902312556547,42.0471988201227,7.053573473324102,7.112366251504909e-15
random_feasible,3,1,2.4267753861610233,0.049999999999999996,38.39570652858134,3.0201795381054435,39.84339923957921,6.680711961902802,7.126244039312724e-15
random_feasible,3,2,2.2693907335428856,0.049999999999999996,37.85033967744613,2.2556571332194935,43.32767460034208,7.25150277338872,7.112366251504909e-15
random_feasible,3,3,3.192097817896749,0.047219559609847486,39.21196153146037,0.7904260542557775,43.73944721031998,7.298199669161746,2.0816681711721685e-17
random_feasible,3,4,2.6893241563255397,0.04485563011142114,40.0,1.6094778494492084,43.9343585094376,7.343385625612683,7.105427357601002e-15
random_feasible,4,0,2.702178447225758,0.049999999999999996,38.900393908357586,2.0565110620556606,42.95905457992005,7.187221159444612,7.112366251504909e-15
random_feasible,4,1,2.808426524283908,0.049999999999999996,36.0462612037865,0.9992730858282098,44.60819180144381,7.446973963371515,6.938893903907228e-18
random_feasible,4,2,3.143350387869573,0.05,35.539169050019545,1.2556467052112872,42.6233647429906,7.117831933906214,7.126244039312724e-15
random_feasible,4,3,2.4514914910562693,0.049999999999999996,28.65492673914133,0.6058058001876395,43.1413004198378,7.195535797812016,6.938893903907228e-18
random_feasible,4,4,2.1470595021409142,0.04667300376454929,34.150992540588845,3.6754012825385036,44.24630672834084,7.423890187331166,0.0
random_feasible,5,0,2.9503004540519067,0.04999999999999999,33.14142522255969,4.9096474226908455,40.303862603210284,6.7864482541925355,0.0
random_feasible,5,1,2.5676256201119587,0.04999999999999999,29.946735394019413,2.0031508406143503,43.42709169753661,7.265465056836305,7.112366251504909e-15
random_feasible,5,2,2.926567237241026,0.049999999999999996,32.193146207290084,1.7599605927378104,43.87721066396154,7.336010738175558,7.126244039312724e-15
random_feasible,5,3,2.737756004471021,0.04999999999999999,33.342453126984864,1.2420360501874006,44.382180931627346,7.410773527416758,7.105427357601002e-15
random_feasible,5,4,2.816885198836019,0.04999999999999999,36.846144845469794,0.0,44.295714566501374,7.377619094416895,7.105427357601002e-15
random_feasible,6,0,2.8454115785311256,0.04999999999999999,39.99999999999999,2.6472702002412936,41.60366716155019,6.967762672642764,7.105427357601002e-15
random_feasible,6,1,2.3452290240860982,0.04979380848093119,39.32685491261592,2.379008568433198,40.81081441789126,6.8327882396737785,7.105427357601002e-15
random_feasible,6,2,2.6699918401760216,0.049999999999999996,35.918982975379826,1.8066650133252182,40.9024332843079,6.840881714241675,7.105427357601002e-15
random_feasible,6,3,2.877718241210814,0.049999999999999996,36.16175428712639,2.8823513646064876,41.96897611578772,7.033005800697093,2.0816681711721685e-17
random_feasible,6,4,2.523825442449012,0.04999999999999999,37.425586312208125,1.4578983408048944,42.71570970477494,7.136112069950179,6.938893903907228e-18
random_feasible,7,0,2.5754810262228416,0.05,33.619378743206525,4.436220775912355,39.96204964650192,6.722716190263353,2.0816681711721685e-17
