episode,avg_crb,avg_pd,avg_reward
1,0.04977244345058056,0.93625,0.6078117228945157
2,15.050715857278178,0.8024999999999999,0.04521671112810214
3,0.35444799395390236,0.5503125000000001,-0.04173100578855984
4,1.2906584092432898,0.9171875,0.23963711469552362
5,1606.2000119713402,0.7890625,0.14688397071033948
6,0.8373347764427741,0.7306250000000001,0.08669644504332406
7,19.717669582759566,0.6590625,0.19158821057360426
8,0.2963723159643172,0.9650000000000001,0.9727864988019146
9,0.2975590397262794,0.8096875000000001,0.4577098112872
10,1.0292947470619698,0.9400000000000001,0.4195607709003781
11,121.9090229172162,0.7665624999999999,-0.24145811794237085
12,2914.0858960459723,0.8315625000000001,-0.6755921127313801
13,15.187044169929413,0.8709374999999999,0.3927735854763229
14,3.0326996995240947,0.9440625,0.33225094979812164
15,0.24500780004743863,0.6721874999999999,0.5463510006078923
16,0.23448124987103838,0.7996874999999999,0.6589683022021273
17,0.7128173511797159,0.7240624999999999,0.2877526929029852
18,4.028394481249245,0.5771875,0.36047256987640514
19,39.62898013477249,0.9018750000000001,0.5027076849520246
20,0.45314391333964893,0.9581250000000001,0.6490169275469441
21,1.3196760473729174,0.74125,0.3840763695106578
22,18.40001985181988,0.6840624999999999,0.23915397600674884
23,151.8075684293365,0.7993750000000001,0.362728938332073
24,0.05091036374643674,0.8949999999999999,1.0752598242611942
25,4.669107338016,0.8578125,0.817138808575989
26,151.1851098596274,0.8371875,0.3602521541591602
27,0.2894091692286055,0.891875,0.5977825185403505
28,0.4266137803979134,0.9625,0.5868281360119656
29,17.525572663733396,0.929375,0.3872606966152454
30,0.3398317567693344,0.665,0.4624582332423405
31,0.3752253090154486,0.7481249999999999,0.4802006239934805
32,0.7197465567849813,0.6234375,0.2640864519576284
33,0.1510779969521845,0.7009375,0.6649142406491737
34,0.8154534577435187,0.7115625,0.6665978419054065
35,0.26915084021333213,0.9475,0.7832878385236653
36,0.611228312849879,0.6890625,-0.026615286079723022
37,0.05517286004762358,0.7775000000000001,0.7506493106478608
38,44.518274036870366,0.5271874999999999,-0.0768139898748493
39,0.1941158525129907,0.5756249999999999,0.43420586426241703
