episode,global_step,algorithm,fading_model,hidden_dim,actor_lr,critic_lr,batch_size,exploration_noise,target_policy_noise,target_noise_clip,policy_delay,control_mode,role_switching,user_mobile,observation_mode,normalize_observations,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20_avg_R_sec_mbps,rolling100_avg_R_sec_mbps,convergence_gap20_100_mbps,critic_loss,actor_loss,replay_size
12,2400,TD3PG,rician,64,0.001,0.001,64,0.2992503125,0.2,0.5,2,velocity,False,True,full,True,1549.8394212352396,7.749197106176198,9.653575570722593,1.078454403888475,8.575121166834114,15.0,671.6617306993579,1132.9914960584115,1.078454403888475,,,171.5024233366823,6.909553676688119,0.4667156002289397,200,379.53557496766297,379.7971048420376,379.0452955272516,379.4138442175811,287.2748309545778,476.8620564633908,669.8806614900542,141.69237625071753,6.142602898389069,6.142602898389069,0.0,12.240781784057617,-23.89529800415039,2400
13,2600,TD3PG,rician,64,0.001,0.001,64,0.2991878125,0.2,0.5,2,velocity,False,True,full,True,1093.120416869279,5.465602084346395,7.855894463922823,0.8551051698861896,7.000789294036634,24.0,641.6110008436756,1210.668443032208,0.8551051698861896,,,140.0157858807327,6.8999114690101315,0.4655843190927299,200,319.9987833727159,375.7964001564832,296.52258929745176,373.0838345603678,789.8936523771215,512.2131198203341,645.8349082291908,347.64665803481876,6.208617236515805,6.208617236515805,0.0,10.3384370803833,-25.223751068115234,2600
14,2800,TD3PG,rician,64,0.001,0.001,64,0.29912531249999996,0.2,0.5,2,velocity,False,True,full,True,991.9475278319732,4.959737639159866,7.760152927291654,1.8815073749056452,5.878645552386006,23.0,404.6514119047742,914.1493721890085,1.8815073749056452,,,117.57291104772014,6.8965238221028615,0.470134986419376,200,378.9697321823458,379.0347980098356,378.4104740761529,378.6133626471898,749.3232517822341,269.8316595980484,405.121991418477,458.98744234666907,6.185047830506534,6.185047830506534,0.0,45.89788055419922,-28.421037673950195,2800
15,3000,TD3PG,rician,64,0.001,0.001,64,0.2990628125,0.2,0.5,2,velocity,False,True,full,True,467.1309705436001,2.3356548527180006,8.681498485955398,5.624841260356218,3.124068852207875,22.0,19.9865970834,376.95029337039267,5.624841260356218,,,62.4813770441575,6.841869055096031,0.4703765635281696,200,379.3125683905582,373.81500219802814,378.7922588846436,291.9338236763662,501.772214595531,132.32713206077807,19.414961769171978,247.81528504902596,5.980982565286623,5.980982565286623,0.0,3.637861967086792,-32.10007858276367,3000
16,3200,TD3PG,rician,64,0.001,0.001,64,0.2990003125,0.2,0.5,2,velocity,False,True,full,True,452.14104627930953,2.260705231396548,8.515407255320321,4.6375622873062605,3.878793907352308,27.0,137.0461952765257,534.2967172473228,4.6375622873062605,,,77.57587814704617,6.832847736699972,0.46934177108436825,200,373.0033228355988,296.22342144921356,301.97089105952034,277.06716388312253,584.4526881569606,304.1414103467842,137.13717254131316,658.6352040586078,5.849595774165728,5.849595774165728,0.0,22.271282196044922,-32.4788703918457,3200
17,3400,TD3PG,rician,64,0.001,0.001,64,0.2989378125,0.2,0.5,2,velocity,False,True,full,True,1142.1046084554678,5.710523042277339,8.124240830769212,1.493679861702331,6.630560969066876,21.0,580.5534592495637,1134.0339556548652,1.493679861702331,,,132.61121938133752,6.90334256609879,0.4717376051483476,200,378.8523880575913,379.78910736729296,378.37176087080894,379.37337189475517,558.5921407590356,240.03361576361584,586.6702840645008,286.4700701716423,5.89553490327756,5.89553490327756,0.0,5.293868064880371,-33.61579132080078,3400
18,3600,TD3PG,rician,64,0.001,0.001,64,0.2988753125,0.2,0.5,2,velocity,False,True,full,True,-347.80632862795727,-1.7390316431397863,8.051739490589748,7.61370216556204,0.8458337091258064,28.0,46.88068575412168,425.94814415546256,7.61370216556204,,,16.91667418251613,6.9155726546758896,0.4726759032965696,200,279.8653572576654,294.560282514077,268.43101294557795,279.52827075089357,772.8969418823294,538.9732904352295,48.43449088605514,897.613800550416,5.614995948046907,5.614995948046907,0.0,5.999805450439453,-36.06370544433594,3600
19,3800,TD3PG,rician,64,0.001,0.001,64,0.29881281249999997,0.2,0.5,2,velocity,False,True,full,True,295.2434601561042,1.476217300780521,8.128113744865315,5.301979331462144,2.8684956804623964,13.0,137.730966760895,386.6543074670089,5.301979331462144,,,57.369913609247924,6.6743425410844495,0.47703699722173,200,359.6119407035923,312.92681019885936,302.5495676349561,115.21911970969366,907.5787681970671,708.8723439378913,137.67881672302968,823.8639213772251,5.470443302384565,5.470443302384565,0.0,4.193592071533203,-37.219581604003906,3800
20,4000,TD3PG,rician,64,0.001,0.001,64,0.2987503125,0.2,0.5,2,velocity,False,True,full,True,792.7063064684878,3.963531532342439,8.871588883338797,2.69227003576879,6.179318847570001,33.0,314.81616698821244,956.7690347110221,2.69227003576879,,,123.58637695140003,6.913557509698262,0.47006028937639804,200,310.3024196115548,255.4581088723956,286.0652590405293,234.9316574735864,378.94366537917534,524.904251695245,310.39359649567706,755.3411959433874,5.505887079643837,5.505887079643837,0.0,23.97850799560547,-39.80491638183594,4000
21,4200,TD3PG,rician,64,0.001,0.001,64,0.2986878125,0.2,0.5,2,velocity,False,True,full,True,958.9387321416449,4.794693660708225,9.319976622046765,3.7114743369705097,5.608502285076253,23.0,87.07922752507854,459.99290149690387,3.7114743369705097,,,112.17004570152508,6.891470728951747,0.4401851107559099,200,378.84100309580054,379.06336892963435,378.14673118652263,378.6701865752679,172.26151454705501,333.86305925980906,82.53147152738912,346.97310195229215,5.5376440798369835,5.5107735179977615,0.026870561839221985,72.17289733886719,-40.48947525024414,4200
