method,avg_secrecy,std_secrecy,avg_sensing,std_sensing,avg_reward,std_reward,bs_saturation,max_saturation,corr_reward_secrecy
random_feasible,3.0977062355295244,1.7251329016241,42.61361217393333,0.6403935791366523,,,,,
sca_bcd,7.0312921004488915,2.195129823375257,44.161730519891094,0.5999990738637841,,,,,
mappo,1.865907697545038,0.839413645408912,43.42393925304428,0.8280097500053953,0.10998561393928127,0.595504030666932,0.8605,0.8605,0.3358021128900243
matd3,1.9026256991527863,0.8082376386307462,43.054549911811115,0.7702330104283851,2.6687784048521648,1.4099266525753489,0.9315,1.0,0.21017410142487877
