variant,label,avg_secrecy,avg_sensing,avg_reward,corr_reward_secrecy,secrecy_improvement,first_10_avg_reward,last_10_avg_reward,reward_improvement,max_saturation,random_secrecy
original,Original Reward,2.0923894020709213,43.10093000287961,7.2101032354590355,-0.47701198001599127,-0.6379526893244871,6.923140605093328,6.806334646267122,-0.11680595882620626,0.8666666666666667,2.7303420913954084
normalized,Normalized Reward,4.3595301993501465,40.5094417317622,0.3209548333951158,0.8435988243550817,1.6291881079547381,0.08788272300515401,-0.2608903503245224,-0.34877307332967644,0.9075,2.7303420913954084
normalized_penalty,Norm + Secrecy Penalty,3.4030977782949843,41.09587178430016,0.36097166446172985,0.8947296457470544,0.6727556868995759,-1.052110991973989,-1.5646302493740352,-0.5125192574000461,0.96,2.7303420913954084
full,Full (Norm + Penalty + Action Reg),3.7947809817534828,37.88124406866371,0.1642432975537221,0.9228487056112052,1.0644388903580744,-1.7854975696014688,-1.8187092377648255,-0.033211668163356745,1.0,2.7303420913954084
