episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rician,64,3.536688716017212,7.905011880073032,3.510232030153078,4.43350291393915,22.0,597.9504107245127,1142.0013367759523,3.510232030153078,,,200,4.43350291393915,4.43350291393915,4.43350291393915,4.43350291393915,0.0,0.0
2,400,rician,64,4.667896957226878,9.237294725592134,4.2965816451756345,4.960793411291677,20.0,214.20376953286504,610.52482233682,4.2965816451756345,,,200,4.697148162615413,4.697148162615413,4.697148162615413,4.697148162615413,0.0,0.0
3,600,rician,64,5.365371637852837,8.248694964141544,2.4775404994474917,5.776970011230532,17.0,295.7032957684753,701.9323480650908,2.4775404994474917,,,200,5.057088778820453,5.057088778820453,5.057088778820453,5.057088778820453,0.0,0.0
4,800,rician,64,5.389977285091416,8.084469726523043,2.0179041481189643,6.084483263080866,21.0,727.5591401076634,1307.91139476622,2.0179041481189643,,,200,5.313937399885556,5.313937399885556,5.313937399885556,5.313937399885556,0.0,0.0
5,1000,rician,64,2.1716227592624686,8.025422881744051,3.9681351343384255,4.117522539618788,33.0,153.603418780682,474.6737762211542,3.9681351343384255,,,200,5.074654427832202,5.074654427832202,5.074654427832202,5.074654427832202,0.0,0.0
6,1200,rician,64,5.669865534707984,9.225136607937596,3.1519815146903003,6.079721793450609,23.0,427.10284348181506,946.6410245966151,3.1519815146903003,,,200,5.24216565543527,5.24216565543527,5.24216565543527,5.24216565543527,0.0,0.0
7,1400,rician,64,5.836405307606205,10.118094891233085,3.9975262991396545,6.140637067239162,17.0,267.53960543813696,713.2872498579013,3.9975262991396545,,,200,5.3705187142643975,5.3705187142643975,5.3705187142643975,5.3705187142643975,0.0,0.0
8,1600,rician,64,4.420445262622099,8.666125714288022,3.006424822200235,5.659700892087788,18.0,288.66735972214724,902.3155579984212,3.006424822200235,,,200,5.4066664864923215,5.4066664864923215,5.4066664864923215,5.4066664864923215,0.0,0.0
9,1800,rician,64,4.200742618061501,8.632199060296502,3.1282349457530954,5.503964114543405,18.0,326.2579102101239,964.1602389279228,3.1282349457530954,,,200,5.417477334053554,5.417477334053554,5.417477334053554,5.417477334053554,0.0,0.0
10,2000,rician,64,5.3340922030454285,7.842066361744841,2.2103011214817436,5.6321451323881755,19.0,394.3065506993855,794.6404194332076,2.2103011214817436,,,200,5.438944113887016,5.438944113887016,5.438944113887016,5.438944113887016,0.0,0.0
