slot,power,gain_mrt,gain_zf,gain_random,w_mrt_norm,w_zf_norm,w_rnd_norm
0,7.5,2.035750044710838e-05,1.1524488385305032e-05,6.025058649062376e-06,7.5,7.500000000000003,7.5
1,7.5,9.915510894211091e-06,3.928961189672324e-06,2.6165799946019837e-07,7.500000000000003,7.499999999999997,7.499999999999997
2,7.5,1.2036545775891032e-05,1.0905990456138238e-05,5.074716448800234e-06,7.5,7.500000000000003,7.5
3,7.5,2.1001817045322064e-06,1.5158619578482196e-06,5.512858820152052e-08,7.5,7.500000000000003,7.5
4,7.5,5.898982392034682e-07,5.170031709394266e-07,8.172099465693913e-08,7.5,7.499999999999997,7.5
