episode,bs_beamformer,uav_trajectory,jammer_beamformer
1,6.934841778178091,6.934841778178091,6.934841778178091
2,6.926496474678177,6.926496474678177,6.926496474678177
3,6.854228550713787,6.854228550713787,6.854228550713787
4,7.029570974464092,7.029570974464092,7.029570974464092
5,7.057593162717679,7.057593162717679,7.057593162717679
6,7.073218709610257,7.073218709610257,7.073218709610257
7,7.065146570794223,7.065146570794223,7.065146570794223
8,7.100446847363475,7.100446847363475,7.100446847363475
9,6.93298807976666,6.93298807976666,6.93298807976666
10,7.033689851497944,7.033689851497944,7.033689851497944
11,7.096160218853599,7.096160218853599,7.096160218853599
12,7.044225622935967,7.044225622935967,7.044225622935967
13,6.894673727868844,6.894673727868844,6.894673727868844
14,6.620278109082975,6.620278109082975,6.620278109082975
15,6.267033164846478,6.267033164846478,6.267033164846478
16,6.725443339424292,6.725443339424292,6.725443339424292
17,6.738468350544172,6.738468350544172,6.738468350544172
18,6.7321016178749264,6.7321016178749264,6.7321016178749264
19,6.73427239218944,6.73427239218944,6.73427239218944
20,6.772968876333831,6.772968876333831,6.772968876333831
21,6.733481930925138,6.733481930925138,6.733481930925138
22,6.862622147082444,6.862622147082444,6.862622147082444
23,7.080762703713333,7.080762703713333,7.080762703713333
24,7.080410507933026,7.080410507933026,7.080410507933026
25,7.0624508555652765,7.0624508555652765,7.0624508555652765
26,6.970184849303197,6.970184849303197,6.970184849303197
27,7.04606252724197,7.04606252724197,7.04606252724197
28,7.022715127158539,7.022715127158539,7.022715127158539
29,7.035453955578222,7.035453955578222,7.035453955578222
30,7.037666846203873,7.037666846203873,7.037666846203873
31,7.038576588783976,7.038576588783976,7.038576588783976
32,7.037912194474569,7.037912194474569,7.037912194474569
33,7.022218966740912,7.022218966740912,7.022218966740912
34,7.024689522764679,7.024689522764679,7.024689522764679
35,7.019799757696784,7.019799757696784,7.019799757696784
36,7.021358832367854,7.021358832367854,7.021358832367854
37,7.0167588888285595,7.0167588888285595,7.0167588888285595
38,7.014965310432797,7.014965310432797,7.014965310432797
39,7.010231099014028,7.010231099014028,7.010231099014028
40,7.009699269465482,7.009699269465482,7.009699269465482
41,7.034771744515144,7.034771744515144,7.034771744515144
42,7.061664833183358,7.061664833183358,7.061664833183358
43,7.055684142547161,7.055684142547161,7.055684142547161
44,6.797540159367477,6.797540159367477,6.797540159367477
45,6.841562380781934,6.841562380781934,6.841562380781934
46,6.571310713763259,6.571310713763259,6.571310713763259
47,7.032692771651184,7.032692771651184,7.032692771651184
48,6.7529296634626315,6.7529296634626315,6.7529296634626315
49,7.004540954592099,7.004540954592099,7.004540954592099
50,7.02795866066949,7.02795866066949,7.02795866066949
51,7.040747212208666,7.040747212208666,7.040747212208666
52,7.035821958517696,7.035821958517696,7.035821958517696
53,7.043518634969525,7.043518634969525,7.043518634969525
54,7.051273948706271,7.051273948706271,7.051273948706271
55,7.038293437499773,7.038293437499773,7.038293437499773
56,7.030218046094915,7.030218046094915,7.030218046094915
57,7.021812750508769,7.021812750508769,7.021812750508769
58,7.024885328299357,7.024885328299357,7.024885328299357
59,7.0313139388057095,7.0313139388057095,7.0313139388057095
60,7.041684919783409,7.041684919783409,7.041684919783409
61,7.043551535811214,7.043551535811214,7.043551535811214
62,7.04721514982028,7.04721514982028,7.04721514982028
63,7.048516312414172,7.048516312414172,7.048516312414172
64,7.045442711998246,7.045442711998246,7.045442711998246
65,7.019458002046264,7.019458002046264,7.019458002046264
66,6.992853470338173,6.992853470338173,6.992853470338173
67,6.992786079298141,6.992786079298141,6.992786079298141
68,7.009007970120499,7.009007970120499,7.009007970120499
69,6.983604069974968,6.983604069974968,6.983604069974968
70,6.986909450494478,6.986909450494478,6.986909450494478
71,6.9931009773961925,6.9931009773961925,6.9931009773961925
72,6.992497761545135,6.992497761545135,6.992497761545135
73,6.996412825792671,6.996412825792671,6.996412825792671
74,6.999305070133623,6.999305070133623,6.999305070133623
75,7.016939826031087,7.016939826031087,7.016939826031087
76,6.995604944394907,6.995604944394907,6.995604944394907
77,7.001654735957287,7.001654735957287,7.001654735957287
78,7.0116760114445675,7.0116760114445675,7.0116760114445675
79,7.011807279993929,7.011807279993929,7.011807279993929
80,7.017278072857194,7.017278072857194,7.017278072857194
81,7.013561160405378,7.013561160405378,7.013561160405378
82,7.019016720032741,7.019016720032741,7.019016720032741
83,7.039907939167473,7.039907939167473,7.039907939167473
84,7.048903802391481,7.048903802391481,7.048903802391481
85,7.052712403804665,7.052712403804665,7.052712403804665
86,7.036135354409194,7.036135354409194,7.036135354409194
87,7.035630635701102,7.035630635701102,7.035630635701102
88,7.030343084149644,7.030343084149644,7.030343084149644
89,7.021298874826273,7.021298874826273,7.021298874826273
90,7.000927637315725,7.000927637315725,7.000927637315725
91,6.985991650711436,6.985991650711436,6.985991650711436
92,6.978467118919153,6.978467118919153,6.978467118919153
93,6.985105544619943,6.985105544619943,6.985105544619943
94,6.993457726219275,6.993457726219275,6.993457726219275
95,7.003497312015165,7.003497312015165,7.003497312015165
96,7.006262574589015,7.006262574589015,7.006262574589015
97,7.005797701714536,7.005797701714536,7.005797701714536
98,6.95882111984342,6.95882111984342,6.95882111984342
99,6.831656134325623,6.831656134325623,6.831656134325623
100,6.84444426516598,6.84444426516598,6.84444426516598
