part,label,param,param_value,U_sense_total,CRB_trace_total,U_sense_per_slot,CRB_trace_per_slot
part2,veh_distance,veh_distance,300,5.000000,4.0710e-08,"1.000000,1.000000,1.000000,1.000000,1.000000","1.76e-08,1.70e-09,2.67e-10,1.53e-08,5.92e-09"
part2,veh_distance,veh_distance,500,5.000000,8.5626e-08,"1.000000,1.000000,1.000000,1.000000,1.000000","6.93e-08,5.07e-09,6.41e-10,6.14e-09,4.47e-09"
part2,N_veh,N_veh,1,4.000000,6.0429e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","7.79e-10,2.65e-10,6.04e+21,2.98e-09,1.27e-10"
part2,N_veh,N_veh,2,4.000000,6.1468e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","7.67e-10,2.69e-10,6.15e+21,3.00e-09,1.26e-10"
part2,N_veh,N_veh,3,4.000000,6.5039e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","9.45e-09,1.33e-09,6.50e+21,3.05e-09,7.28e-09"
part2,N_veh,N_veh,3,4.000000,6.5039e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","9.45e-09,1.33e-09,6.50e+21,3.05e-09,7.28e-09"
part2,N_veh,N_veh,3,4.000000,6.5039e+21,"1.000000,1.000000,0.000000,1.000000,1.000000","9.45e-09,1.33e-09,6.50e+21,3.05e-09,7.28e-09"
part3,slot_0,,,1.000000,9.4456e-09,,
part3,slot_1,,,1.000000,1.3349e-09,,
part3,slot_2,,,0.000000,6.5039e+21,,
part3,slot_3,,,1.000000,3.0510e-09,,
part3,slot_4,,,1.000000,7.2849e-09,,
part3,total,,,4.000000,,,
part3,theoretical_max,,,5.0,,,
part3,saturation_ratio,,,0.800000,,,
part4,U_orig 1/(1+tr),,,4.000000e+00,,,
part4,U_eps_inv 1/(eps+tr),,,1.254442e+09,,,
part4,U_log10 -log10(tr),,,1.173928e+01,,,
part4,U_inv 1/tr,,,1.320018e+09,,,
part4,U_norm normalized,,,1.333333e+00,,,
part4_alpha,alpha=0.00,,0.0,4.000000,,,
part4_alpha,alpha=0.25,,0.25,4.000000,,,
part4_alpha,alpha=0.50,,0.5,4.000000,,,
part4_alpha,alpha=0.75,,0.75,4.000000,,,
part4_alpha,alpha=1.00,,1.0,4.000000,,,
