episode,secrecy
1,1.929465518206748
2,1.7326200728555452
3,1.7639575520200241
4,1.6380709789351513
5,2.0338473713046046
6,1.6891717571771523
7,1.3000496010363671
8,2.34415886068935
9,3.5974729283380147
10,4.815558460130353
11,4.969187893808209
12,5.327079355124738
13,6.192776253227264
14,5.684825554477751
15,5.211874478057634
16,5.13054273293075
17,5.120647337755763
18,4.860604484937472
19,4.932600672671657
20,4.534365029221688
21,4.397260028912302
22,4.343657331153836
23,4.229687097301966
24,4.349187168451769
25,4.401523460046199
26,4.326905673424291
27,4.422163484568022
28,5.099699134125417
29,4.453227674653019
30,4.652573636026201
31,4.491178946807727
32,4.54243599460344
33,4.4336069763171055
34,4.318368783147121
35,4.290664488835846
36,4.245614547233425
37,4.179496495860303
38,4.207866983943645
39,4.237873142389011
40,4.314323105266993
41,4.306695817477615
42,4.298457864397758
43,4.447477443195824
44,4.44489946370379
45,4.649445381720541
46,4.660593207912371
47,4.542585585769082
48,4.4324426292589765
49,4.416051161549876
50,4.352215786187315
51,4.310322017767912
52,4.297848760799955
53,4.351295378109804
54,4.353316086613906
55,4.3399209614019325
56,4.400364483663179
57,4.407427072974912
58,4.473777551327629
59,4.362970006066051
60,4.369807358711537
61,4.50394380302271
62,4.4260980657618685
63,4.447782666351585
64,4.511570153717881
65,4.45739355111773
66,4.480542714615166
67,4.441747493530361
68,4.460346128090132
69,4.549584229607494
70,4.803096131782043
71,4.820819618569872
72,4.957826564065616
73,5.017953003327536
74,5.123019304088644
75,5.05470428297574
76,5.0698513074454805
77,4.978566991943821
78,5.093261656175408
79,5.103954712688202
80,5.114648505358727
81,5.0901567624043444
82,5.124223247413324
83,4.706721697488954
84,3.6458798961217953
85,3.3731529161665477
86,3.146896050307825
87,3.502601546261609
88,3.663728272287787
89,3.1154173763333612
90,5.098079359572901
91,5.140247765712745
92,5.267406799214659
93,5.006295637570137
94,5.170515905025169
95,4.891878026862256
96,4.57811360807451
97,4.426952020577874
98,4.502808203147243
99,4.401240315736494
100,4.355971182381147
