config,lr,weight_decay,avg_secrecy,std_secrecy,avg_sensing,avg_reward,bs_saturation,max_saturation,corr_reward_secrecy,last_pre_tanh_mean,final_weight_norm
random_feasible,,,3.2381576213029555,1.5078562636636699,42.45613422117627,,,,,,
Baseline,0.0003,0.0,1.4492727645700678,1.2997110650061983,43.47229791747902,-0.17333372708832656,0.67425,0.67425,0.6160306133002397,129.73847452835838,52.422960917154946
A,0.0001,0.0,0.5854548986584244,0.4730815843664828,43.30199333387466,0.6114433064299247,0.78,0.8533333333333334,0.6382730377685321,51.546233189214135,20.751286188761394
B,0.0003,0.0001,3.2535645760373795,1.7084274242386128,44.074123887792254,1.163961137005529,0.9795,0.9795,0.8487822066608993,47.45219139698074,48.95578130086263
C,0.0001,0.0001,4.682749153406055,2.3081136678158836,44.474834352801906,0.567256146336379,0.97925,1.0,0.8426520444697696,37.790102080222965,19.305919011433918
D,5e-05,0.0005,2.000612931683958,1.1954163498283126,39.71076911537362,-0.5005648056037769,0.761,0.761,0.5597113694031892,34.13621877151032,12.013964653015137
