episode,global_step,fading_model,hidden_dim,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,avg_num_eves,avg_nearest_eve_distance,avg_mean_eve_distance,avg_max_eve_capacity,eval_R_sec_mbps,last_eval_R_sec_mbps,steps,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1,200,rayleigh,64,1.1703178115965402,7.569700118341795,5.715010368147565,2.209565318578295,22.0,597.0220681428797,1135.4959638336402,5.715010368147565,,,200,2.209565318578295,2.209565318578295,2.209565318578295,2.209565318578295,0.0,0.0
2,400,rayleigh,64,2.2826794274584756,8.85768349132035,6.108882333562764,3.067851888325761,20.0,83.14079982188167,508.7155655621997,6.108882333562764,,,200,2.638708603452028,2.638708603452028,2.638708603452028,2.638708603452028,0.0,0.0
3,600,rayleigh,64,4.583216130957604,8.79571928175444,3.992539454727562,4.875945350754449,21.0,430.7693421975299,971.1945851201989,3.992539454727562,,,200,3.3844541858861685,3.3844541858861685,3.3844541858861685,3.3844541858861685,0.0,0.0
4,800,rayleigh,64,-0.2805940384804782,8.744164486372874,8.96663483177681,0.9705974912173212,24.0,39.38267384898548,470.74499288037083,8.96663483177681,,,200,2.7809900122189566,2.7809900122189566,2.7809900122189566,2.7809900122189566,0.0,0.0
5,1000,rayleigh,64,2.2394879473886915,7.505634987040728,4.940977185418393,2.8303784512526753,26.0,504.26717708808013,917.2429251884953,4.940977185418393,,,200,2.7908677000257005,2.7908677000257005,2.7908677000257005,2.7908677000257005,0.0,0.0
6,1200,rayleigh,64,1.519691938245364,7.516444447998996,5.4451316580153595,2.538620595432781,17.0,226.28610230890757,827.4569779194356,5.4451316580153595,,,200,2.7488265159268805,2.7488265159268805,2.7488265159268805,2.7488265159268805,0.0,0.0
7,1400,rayleigh,64,2.3386770173886515,7.968678820793723,4.546047077317502,3.519327436197526,18.0,302.53357121838593,719.9991872086072,4.546047077317502,,,200,2.858898075965544,2.858898075965544,2.858898075965544,2.858898075965544,0.0,0.0
8,1600,rayleigh,64,4.223583638940103,8.509188321216977,3.9610770515624174,4.625707807012908,25.0,435.8635381037605,933.6202291413823,3.9610770515624174,,,200,3.079749292346465,3.079749292346465,3.079749292346465,3.079749292346465,0.0,0.0
9,1800,rayleigh,64,4.893696074786167,8.543019219369482,3.3287223769031464,5.238849313420507,24.0,564.0624348110541,1013.5866659433315,3.3287223769031464,,,200,3.319649294688025,3.319649294688025,3.319649294688025,3.319649294688025,0.0,0.0
10,2000,rayleigh,64,4.722298456173903,9.092882220048894,4.017946146625812,5.1420566565420405,12.0,158.69655608785203,514.7785635632508,4.017946146625812,,,200,3.501890030873427,3.501890030873427,3.501890030873427,3.501890030873427,0.0,0.0
11,2200,rayleigh,64,2.176738860966916,8.748402605855532,5.959601347947024,3.0914028869954455,25.0,200.97448008807012,791.6496583739539,5.959601347947024,,,200,3.4645730177936103,3.4645730177936103,3.4645730177936103,3.4645730177936103,0.0,0.0
