episode,agent,policy_loss,value_loss,entropy,approx_kl,grad_norm,reward_mean,reward_std,pre_tanh_mean,pre_tanh_std,pre_tanh_max,adv_mean,adv_std,adv_max,output_weight_norm,output_bias_norm,output_weight_g,output_weight_v_norm
3,bs_beamformer,-2.5890767574310303e-07,12200.08095703125,56.758781051635744,0.0,2042.0583129882812,6.92977237701416,0.35463541746139526,0.7916025586480198,0.9969062555865954,4.051364898681641,2.644956111907959e-07,18.514223098754883,0.43947485089302063,0.06324554979801178,0.0,0.009999999776482582,0.06324554979801178
3,uav_trajectory,2.3604370653629302e-07,11750.133984375,21.280384635925294,0.0,1945.42431640625,6.9322123527526855,0.3424430191516876,0.8061096250335686,1.009670526120097,3.88496732711792,-2.3562461137771606e-07,18.83269691467285,0.4531284272670746,0.03872983530163765,0.0,0.010000000707805157,0.03872983530163765
3,jammer_beamformer,6.485730409622192e-07,12054.44208984375,56.759179306030276,0.0,2002.476708984375,6.9175615310668945,0.3812386691570282,0.7898414725815819,0.9929237889702287,4.319624423980713,-6.50063157081604e-07,18.752235412597656,0.4873763918876648,0.06324554979801178,0.0,0.009999999776482582,0.06324554979801178
4,bs_beamformer,-4.577916115522385e-07,11044.0845703125,56.7607063293457,0.0,1919.8117797851562,6.904557704925537,0.339079886674881,0.810878652604064,1.0168096496941368,3.9888696670532227,4.544854164123535e-07,18.720836639404297,0.5191240906715393,0.07928019016981125,0.01877843588590622,0.012529900297522545,0.17677539587020874
4,uav_trajectory,-1.9837170839309692e-07,10788.5853515625,21.269470405578613,0.0,1502.9206787109374,6.914973258972168,0.34304437041282654,0.8120141347050667,1.004856414076865,2.996755838394165,1.9650906324386597e-07,18.88465690612793,0.5014217495918274,0.04829347878694534,0.011482106521725655,0.012463526800274849,0.10681752860546112
4,jammer_beamformer,-1.8263235688209533e-07,11000.95986328125,56.75793724060058,0.0,1880.2428344726563,6.903450965881348,0.36120104789733887,0.7949814434985164,1.0058440875003647,3.8286895751953125,1.825392246246338e-07,18.769968032836914,0.47491455078125,0.07882348448038101,0.018968746066093445,0.012457389384508133,0.17808713018894196
5,bs_beamformer,-2.4796463549137115e-07,10396.02685546875,56.78127250671387,0.0,1697.8814086914062,6.959685325622559,0.3313252925872803,0.8012362052502576,1.0103822442303267,3.7013213634490967,2.468004822731018e-07,18.817562103271484,0.4748474061489105,0.08852878212928772,0.028062954545021057,0.0139091107994318,0.2558542490005493
5,uav_trajectory,-5.494803190231323e-07,10242.82470703125,21.258543014526367,0.0,1437.2282836914062,6.963869571685791,0.344539076089859,0.8123274326014022,1.0091720006179525,3.6433939933776855,5.597248673439026e-07,19.12620735168457,0.46533894538879395,0.05582452192902565,0.017879575490951538,0.01430469285696745,0.16205686330795288
5,jammer_beamformer,-4.656612873077393e-10,10351.1041015625,56.752831268310544,0.0,1740.3593872070312,6.950353145599365,0.3275671601295471,0.8118315540623152,1.0136653089640544,3.8634417057037354,4.6566128730773926e-09,19.17594337463379,0.4697040915489197,0.08887305110692978,0.029933853074908257,0.013945621438324451,0.2579619288444519
6,bs_beamformer,-5.960464477539063e-09,9947.09921875,56.80183219909668,0.0,1542.0709838867188,6.996734619140625,0.330606073141098,0.8010112661280145,1.0025062665059776,3.616027355194092,7.450580596923828e-09,18.85148048400879,0.4540926218032837,0.09272385388612747,0.03343409299850464,0.014413602650165558,0.3245317339897156
6,uav_trajectory,2.6319175958633425e-07,9807.87666015625,21.25037212371826,0.0,1447.1862915039062,6.967886924743652,0.36055049300193787,0.7825511879324913,0.9896306375588092,3.9461371898651123,-2.654269337654114e-07,18.852394104003906,0.4502037763595581,0.06133586913347244,0.023800842463970184,0.015523997135460377,0.2148158848285675
6,jammer_beamformer,1.7881393432617188e-07,9945.81787109375,56.74661636352539,0.0,1585.2293334960937,7.008023262023926,0.30770063400268555,0.7973076977585443,0.9943488297406088,3.7680633068084717,-1.778826117515564e-07,19.1849308013916,0.44911307096481323,0.09382979571819305,0.037166424095630646,0.014534237794578075,0.32206863164901733
7,bs_beamformer,6.610527634620666e-07,9555.84345703125,56.82610816955567,0.0,1493.8288940429688,6.974253177642822,0.32038649916648865,0.7937911477056332,1.0002871731394671,4.043063163757324,-6.649643182754517e-07,19.067726135253906,0.47790631651878357,0.09714683145284653,0.03870217129588127,0.014963245019316673,0.38772866129875183
7,uav_trajectory,3.9441511034965516e-08,9571.1169921875,21.25463447570801,0.0,1476.2349975585937,6.996060371398926,0.3379945456981659,0.8016998343753318,0.9981627581631696,3.683708906173706,-4.0978193283081055e-08,18.769603729248047,0.46918758749961853,0.06511704623699188,0.02806168422102928,0.016339775174856186,0.25683555006980896
7,jammer_beamformer,-7.3947012424469e-08,9580.6244140625,56.746212005615234,0.0,1502.2110229492187,7.008184432983398,0.29504767060279846,0.81195255771745,1.0153234139599785,3.770606279373169,7.078051567077637e-08,18.991506576538086,0.4733545184135437,0.10034481436014175,0.04628608375787735,0.015305389650166035,0.382945716381073
8,bs_beamformer,-1.9189901649951936e-07,9315.98662109375,56.86097526550293,0.0,1492.4410888671875,6.969463348388672,0.3094720244407654,0.8251671009536367,1.0255499753415165,3.5949959754943848,1.9185245037078857e-07,18.84912109375,0.4424174427986145,0.10353922843933105,0.04540010169148445,0.015751918777823448,0.4492660164833069
8,uav_trajectory,-1.9387807697057725e-07,9229.9982421875,21.263022232055665,0.0,1473.5866088867188,6.9659318923950195,0.3457930386066437,0.7982832467580835,1.0039399591857192,3.637054920196533,1.9650906324386597e-07,19.003742218017578,0.4740413725376129,0.06777902692556381,0.03181201219558716,0.016887657344341278,0.285577654838562
8,jammer_beamformer,1.4244578778743743e-07,9347.1130859375,56.75613784790039,0.0,1490.3328369140625,7.000906467437744,0.26758259534835815,0.8236463503690902,1.0248160793461816,4.21666955947876,-1.434236764907837e-07,19.12441062927246,0.45843201875686646,0.10334409028291702,0.05125613138079643,0.015667885541915894,0.43714219331741333
