episode,avg_crb,avg_pd,avg_reward,eval_avg_crb,eval_avg_pd,eval_avg_reward,eval_std_crb,eval_std_pd,eval_std_reward,uav_1/actor_grad_norm,uav_1/actor_loss,uav_1/critic_grad_norm,uav_1/critic_loss,uav_1/reward_mean,uav_1/reward_std,uav_2/actor_grad_norm,uav_2/actor_loss,uav_2/critic_grad_norm,uav_2/critic_loss,uav_2/reward_mean,uav_2/reward_std
1,0.1569876429656771,0.6815000000000001,0.3308352099073483,0.20221474963740005,0.85069,0.5489295994671404,0.11723139215044147,0.10014358391829199,0.1532265861465821,,,,,,,,,,,,
2,0.04539842542712436,0.7054999999999998,0.30261716777628533,,,,,,,0.0,0.0,2.6538186073303223,0.737739086151123,0.36958810687065125,0.5293171405792236,0.0,0.0,3.1406710147857666,0.5928481817245483,0.3501870036125183,0.48641902208328247
3,2423.7547289629897,0.5267499999999999,-0.05302553370227834,,,,,,,0.6483379602432251,-0.0818234458565712,2.836231231689453,0.6593352556228638,0.2995070517063141,0.49455899000167847,0.8534246683120728,0.21663925051689148,2.2361929416656494,0.8120323419570923,0.17417308688163757,0.602096676826477
4,0.02033609278066741,0.825,0.8030056921535906,,,,,,,0.0,0.0,2.797645330429077,0.8415116667747498,0.3517422080039978,0.5468987822532654,0.0,0.0,3.039060354232788,0.7284099459648132,0.4151068329811096,0.5368942022323608
5,25.360456909799492,0.51125,-0.003495070716424083,,,,,,,0.3943139910697937,0.05776529014110565,2.43914794921875,0.59416264295578,0.37106484174728394,0.4832783639431,0.7134317755699158,0.1670985072851181,2.2705047130584717,1.1967010498046875,0.2406235784292221,0.7397381067276001
6,0.4649823832152314,0.968,0.45585528331474007,,,,,,,0.0,0.0,2.119990348815918,1.0962550640106201,0.18189653754234314,0.7457639575004578,0.0,0.0,2.4006316661834717,0.5594874620437622,0.35510021448135376,0.49987849593162537
7,1.2672942496665929,0.73875,0.19494879314298433,,,,,,,0.48471003770828247,-0.05484377592802048,1.8329074382781982,0.727814257144928,0.32673150300979614,0.5317981243133545,0.5955892205238342,0.0634896457195282,2.1354639530181885,0.9617139101028442,0.3120906949043274,0.6783492565155029
8,0.027847250262391876,0.55275,0.5838547169220777,,,,,,,0.0,0.0,1.787093162536621,0.7654361724853516,0.3294007480144501,0.5889822840690613,0.0,0.0,1.7472474575042725,0.8479013442993164,0.29911819100379944,0.6078578233718872
9,0.9801727529070294,0.786,0.3064525638263782,,,,,,,0.48154887557029724,-0.01882927492260933,1.5287072658538818,0.58663010597229,0.31276416778564453,0.49087926745414734,0.48834994435310364,0.06967045366764069,1.5970314741134644,0.6727027893066406,0.26607969403266907,0.557946503162384
10,0.35138665123088636,0.7437500000000001,0.3191225043602904,,,,,,,0.0,0.0,2.125379800796509,0.7155561447143555,0.38520321249961853,0.5613657236099243,0.0,0.0,1.2771975994110107,0.6168441772460938,0.27950361371040344,0.5349794030189514
