episode,secrecy
1,2.704066314701039
2,3.029445291460728
3,2.658130687401467
4,3.0123205963659996
5,2.8233218150176502
6,2.954921456657981
7,2.893645854562221
8,1.5089548148708891
9,0.7150099787827429
10,0.9307707157037626
11,1.0905348284309486
12,1.5754340374956208
13,1.1552663469090765
14,1.1741254529201348
15,1.269540483865572
16,1.708946352369542
17,2.46418739465608
18,1.635394211907161
19,1.1329006760062585
20,0.8790062443489769
21,0.8393155762048471
22,1.6245502799252711
23,2.767098715115724
24,3.7893718991281333
25,3.300397888928361
26,3.1835008428592904
27,2.90510242080903
28,3.0541293459030396
29,2.774931714847837
30,2.6475940489120418
31,2.4496413145667804
32,2.670759299725452
33,2.7023724123160493
34,1.8009767315715515
35,1.9111660461607825
36,1.9177774183336072
37,2.0298959279506494
38,3.3529090593214157
39,0.7953703216120787
40,0.8994809837783231
41,1.645061557083602
42,1.7365652890979277
43,1.8284579936496543
44,1.6920860143793142
45,1.7283007130280397
46,2.112920876533682
47,1.9808495325788908
48,1.8697988279897677
49,1.7932008157783172
50,1.479641746788552
51,1.465706712733271
52,1.7909290816073027
53,1.8139084717904514
54,1.8563686177642256
55,1.8812262311745034
56,2.0167871696352284
57,1.9109870831399294
58,1.7900472878887905
59,1.8182884935500465
60,1.636082450745788
61,1.4437430916726957
62,1.7159210723753362
63,1.677684156889215
64,1.6838131989599463
65,1.784411640351415
66,1.7443101187132557
67,1.836180415846212
68,1.8267845996567589
69,2.0057407172900157
70,2.0420310136298596
71,2.0134506190607904
72,1.997678375449097
73,1.8760159513711026
74,1.726997218742505
75,1.7880683344204717
76,1.876425138605117
77,2.0162946995495923
78,1.7817124662479658
79,1.270263541286714
80,1.1126295340367112
81,0.8150853432632112
82,1.0440489236042618
83,1.5480985602153552
84,1.3199211863997675
85,1.6028488414990785
86,1.561535715998134
87,1.4177547257113017
88,1.2648711137748045
89,1.2454880858045163
90,1.2993097022886337
91,1.21167864545595
92,0.9805462694167333
93,0.9278390798343825
94,0.8549803204605625
95,0.8512378038145789
96,0.682212238139295
97,0.5578809430431583
98,0.4760322796727696
99,0.49462423013922824
100,0.3744869460203133
