slot,pre_projection_power,post_projection_power,projection_distance
0,4.675188427908773,4.675188427908773,0.0
1,5.1917269486265605,5.1917269486265605,0.0
2,3.9536077993794447,3.9536077993794447,0.0
3,4.486730363713419,4.486730363713419,0.0
4,5.51973500563126,5.51973500563126,0.0
0,7.744042246056261,7.744042246056261,0.0
1,7.027558855982146,7.027558855982146,0.0
2,6.689656198422,6.689656198422,0.0
3,7.476221468215865,7.476221468215865,0.0
4,6.822453988844973,6.822453988844973,0.0
0,7.862195053215661,7.862195053215661,0.0
1,7.277421795397411,7.277421795397411,0.0
2,7.2520990904635125,7.2520990904635125,0.0
3,7.662627815343711,7.662627815343711,0.0
4,6.786719301045594,6.786719301045594,0.0
0,7.9503194647730595,7.9503194647730595,0.0
1,7.563150735888037,7.563150735888037,0.0
2,7.732791103594334,7.732791103594334,0.0
3,7.848410524325889,7.848410524325889,0.0
4,7.021229473322253,7.021229473322253,0.0
0,7.999712234464134,7.999712234464134,0.0
1,7.992961671317303,7.992961671317303,0.0
2,7.99928847650875,7.99928847650875,0.0
3,7.99906037923797,7.99906037923797,0.0
4,7.5003189154375365,7.5003189154375365,0.0
0,6.458564229635576,6.458564229635576,0.0
1,5.7343570326611,5.7343570326611,0.0
2,3.8474033511864105,3.8474033511864105,0.0
3,5.885151623157621,5.885151623157621,0.0
4,6.767392777943173,6.767392777943173,0.0
0,7.803816389884488,7.803816389884488,0.0
1,7.151481463544062,7.151481463544062,0.0
2,6.965569117782732,6.965569117782732,0.0
3,7.567433180569997,7.567433180569997,0.0
4,6.791129913554685,6.791129913554685,0.0
0,7.999605547211669,7.999605547211669,0.0
1,7.990749257079262,7.990749257079262,0.0
2,7.998996567112542,7.998996567112542,0.0
3,7.998679012624482,7.998679012624482,0.0
4,7.390013199282419,7.390013199282419,0.0
0,8.000000000000002,8.000000000000002,0.0
1,8.000000000000002,8.000000000000002,0.0
2,8.000000000000002,8.000000000000002,0.0
3,8.000000000000002,8.000000000000002,0.0
4,8.000000000000002,8.000000000000002,0.0
0,8.000000000000002,8.000000000000002,0.0
1,8.000000000000002,8.000000000000002,0.0
2,8.000000000000002,8.000000000000002,0.0
3,8.000000000000002,8.000000000000002,0.0
4,8.000000000000002,8.000000000000002,0.0
0,7.362942352683493,7.362942352683493,0.0
1,6.359463655960027,6.359463655960027,0.0
2,5.300518836270719,5.300518836270719,0.0
3,6.824568913165565,6.824568913165565,0.0
4,7.0151491338559575,7.0151491338559575,0.0
0,8.000000000000002,8.000000000000002,0.0
1,7.999999403953613,7.999999403953613,0.0
2,8.000000000000002,8.000000000000002,0.0
3,8.000000000000002,8.000000000000002,0.0
4,7.999907376526894,7.999907376526894,0.0
0,8.000000000000002,8.000000000000002,0.0
1,8.000000000000002,8.000000000000002,0.0
2,8.000000000000002,8.000000000000002,0.0
3,8.000000000000002,8.000000000000002,0.0
4,8.000000000000002,8.000000000000002,0.0
0,8.000000000000002,8.000000000000002,0.0
1,8.000000000000002,8.000000000000002,0.0
2,8.000000000000002,8.000000000000002,0.0
3,8.000000000000002,8.000000000000002,0.0
4,8.000000000000002,8.000000000000002,0.0
0,8.000000000000002,8.000000000000002,0.0
1,8.000000000000002,8.000000000000002,0.0
