slot,pre_projection_power,post_projection_power,projection_distance
0,3.6327196027028226,9.66404050588608,1.2027345260458562
1,3.437823781610295,9.946657717227934,1.2996952900598266
2,5.706506796790173,9.802409112453464,0.7420503390047478
3,3.262209428979034,5.057357866317036,0.4426982636492028
4,4.988986449647199,7.383613288402558,0.483676579858952
0,7.152913611823139,1.2551841139793394,1.5541431542562623
1,7.677733707881386,9.999967217445374,0.3914001037101205
2,6.78910903133978,9.999566674232483,0.556617267251149
3,5.815566825711817,0.04794538021087646,2.1925843009207613
4,7.498078570044999,0.0314939022064209,2.560796747470879
0,7.999856834767686,0.0,2.8284018163563123
1,7.9999254955818095,10.000000000000002,0.3338637060976868
2,7.842419395352356,10.000000000000002,0.3618456586099849
3,6.9547155149662885,0.0,2.6371794620325497
4,7.230310242950947,0.0,2.6889236216283545
0,7.999946594951325,0.0,2.8284176839624173
1,7.999956250669246,10.000000000000002,0.33385826929487494
2,7.889918673356977,10.000000000000002,0.35337775569385743
3,7.015323738484013,0.0,2.648645642301743
4,7.37131719876884,0.0,2.7150169794623458
0,7.999824293226097,0.0,2.8283960637128063
1,7.999854808347216,10.000000000000002,0.3338762020392095
2,7.817309841358326,10.000000000000002,0.36633241010386397
3,6.859252013910385,0.0,2.6190173756411745
4,7.19342667642123,0.0,2.6820564267780105
0,6.586527148901758,5.855108574032783,0.14668986435930534
1,7.080633097705442,9.999261200428005,0.5012149407271136
2,6.164865124297713,9.994854032993313,0.6785492636663218
3,4.45703894828072,0.37719696760177607,1.4970064098891374
4,6.296816049740517,0.5978739261627196,1.7361226647872976
0,7.996768465746398,2.2053718566894528e-05,2.8231596684125746
1,7.998439795600039,10.000000000000002,0.3341263566487043
2,7.493004294183648,10.000000000000002,0.424942405914044
3,6.520467222620983,2.980232238769533e-07,2.5529746395382915
4,7.001955861783916,0.0,2.646120908383424
0,7.999974608582509,0.0,2.8284226361317555
1,7.999981761061865,9.999999999999996,0.3338537596432357
2,7.919706898253366,10.000000000000002,0.34808027934141156
3,7.13747490270731,0.0,2.6716053044391326
4,7.496637510229948,0.0,2.7379988148700773
0,7.998758939607405,3.5762786865234388e-06,2.8263166205324946
1,7.999036423978911,10.000000000000002,0.33402087833634253
2,7.611430648167293,10.000000000000002,0.40339552274980306
3,6.59757233896504,0.0,2.568573989388867
4,7.009759822107885,0.0,2.647595101617293
0,7.999363047016231,8.940696716308597e-07,2.827368971486566
1,7.999499145086226,10.000000000000002,0.33393907628450764
2,7.700945645146834,10.000000000000004,0.3872198868694464
3,6.674331213057754,0.0,2.5834727041441243
4,7.045015612931624,0.0,2.654244829124025
0,7.259090138600062,1.091420352458954,1.6495592162537513
1,7.690039639272205,9.999968409538265,0.3891805933670899
2,6.9226858883631675,9.999701678752896,0.5311307422425455
3,5.644337033608687,0.02969413995742798,2.2034614753815234
4,7.404693056392794,0.0331723690032959,2.539023732543624
0,8.000000000000002,0.0,2.8284271247461903
1,8.000000000000002,10.000000000000002,0.3338505354221894
2,7.998787882402357,10.000000000000004,0.3340648176824473
3,7.509364392031681,0.0,2.7403219504342333
4,7.98504691731756,0.0,2.825782531851586
0,7.999999523162899,0.0,2.828427040452502
1,7.999999642372162,10.000000000000002,0.33385059864245714
2,7.9872903018582795,10.000000000000004,0.3360982069385818
3,7.422399798881647,0.0,2.724408155706785
4,7.876356538784084,0.0,2.806484729832693
0,8.000000000000002,0.0,2.8284271247461903
1,8.000000000000002,10.000000000000002,0.3338505354221894
2,7.997053483019573,10.000000000000002,0.3343714589269781
3,7.498919762537887,0.0,2.738415556948559
4,7.962326163072196,0.0,2.8217594091403675
0,7.999999880790714,0.0,2.8284271036727664
1,7.999999880790714,9.999999999999998,0.3338505564956126
2,7.994411867512812,10.000000000000002,0.3348385595841048
3,7.449905781131895,0.0,2.7294515531754535
4,7.929996989790371,0.0,2.816025033587303
0,4.141586933998031,9.467017650604248,1.0417629805322979
1,4.249559018495934,9.974479079246521,1.096794014131949
2,5.749979598363122,9.891797304153442,0.7472112728403884
3,3.4906459144280277,3.7251944839954385,0.06174925342059777
4,5.280298220546657,5.984705463051797,0.14847581679165955
0,7.808246411075412,0.05186975002288818,2.5665746491674124
