iteration,objective,average_secrecy_rate,average_num_eves,average_nearest_eve_distance,average_max_eve_capacity,mean_alpha,min_alpha,max_alpha
0,8.279955550814512,8.279955550814512,21.0,404.11275414246325,8.073140932484188,0.5,0.5,0.5
1,14.737351641121215,14.737351641121215,21.0,404.11275414246325,11.001934067119814,0.7872801665022607,0.7433609941887942,0.845702993666954
2,19.177136872768177,19.177136872768177,21.0,404.11275414246325,11.29669797873621,0.9330689070107283,0.926890270819561,0.939559923359981
3,19.484995855972855,19.484995855972855,21.0,404.11275414246325,11.486872917106425,0.9483049786140217,0.9476864104443158,0.9489548215775879
4,19.515869768168777,19.515869768168777,21.0,404.11275414246325,11.505890419840851,0.9498305639633081,0.9497732351990623,0.9498894905013241
5,19.519013750662456,19.519013750662456,21.0,404.11275414246325,11.507758959541036,0.9499831413996475,0.9499790369740457,0.9499864937513616
6,19.51915857615372,19.51915857615372,21.0,404.11275414246325,11.507778244501354,0.9499873815075315,0.9499846905343906,0.9499892695271781
7,19.519281952466205,19.519281952466205,21.0,404.11275414246325,11.50778431918306,0.949990561157283,0.9499889219769228,0.949992071507763
8,19.519389242029444,19.519389242029444,21.0,404.11275414246325,11.507780490071319,0.9499929455731708,0.9499920890538593,0.9499942065663098
9,19.519484466173733,19.519484466173733,21.0,404.11275414246325,11.507769236075339,0.9499947336454518,0.949994124094891,0.9499958081585567
10,19.51957064172623,19.51957064172623,21.0,404.11275414246325,11.507752415481354,0.9499960745210102,0.9499950185293226,0.9499970095759738
11,19.519650030817015,19.519650030817015,21.0,404.11275414246325,11.507731421586746,0.9499970800444871,0.9499956923385331,0.9499979108062635
12,19.519724330151906,19.519724330151906,21.0,404.11275414246325,11.507707298936857,0.9499978340878088,0.9499961999184822,0.9499985868544547
13,19.519794812318498,19.519794812318498,21.0,404.11275414246325,11.507680830609814,0.9499983995462874,0.9499965822594645,0.9499992997026753
14,19.51986243174028,19.51986243174028,21.0,404.11275414246325,11.507652603707418,0.9499988235849935,0.9499968702483761,0.9499998565868872
15,19.51992790399979,19.51992790399979,21.0,404.11275414246325,11.507623058864015,0.9499991415729268,0.9499970871578731,0.9500002734240374
16,19.519991765945417,19.519991765945417,21.0,404.11275414246325,11.507592525596062,0.9499993800332653,0.9499972505226146,0.9500005854383348
17,19.520054421139374,19.520054421139374,21.0,404.11275414246325,11.507561250729639,0.9499995588557287,0.9499973735533764,0.9500008189939385
18,19.52011617048361,19.52011617048361,21.0,404.11275414246325,11.507529421052716,0.949999692955619,0.9499974662028279,0.9500009938236986
19,19.520177241285467,19.520177241285467,21.0,404.11275414246325,11.507497174368263,0.9499997935179271,0.9499975359687177,0.9500011246972119
20,19.52023780304229,19.52023780304229,21.0,404.11275414246325,11.507464615510573,0.9499998689302936,0.9499975884991618,0.9500012226692787
