episode,avg_crb,avg_pd,avg_reward,uav_1/actor_grad_norm,uav_1/actor_loss,uav_1/critic_grad_norm,uav_1/critic_loss,uav_1/reward_mean,uav_1/reward_std,uav_2/actor_grad_norm,uav_2/actor_loss,uav_2/critic_grad_norm,uav_2/critic_loss,uav_2/reward_mean,uav_2/reward_std
1,3.50780696850883,0.576875,0.45725853003122435,,,,,,,,,,,,
2,0.1516271435132221,0.9690625,0.539887611338524,0.0,0.0,4.816656589508057,0.7840089201927185,0.5030816793441772,0.48757994174957275,0.0,0.0,6.277010917663574,1.0792187452316284,0.5047335624694824,0.4478296637535095
3,22.059785894770123,0.6228125,0.00639736277176539,0.5930043458938599,0.15786664187908173,3.021601915359497,0.7662709951400757,0.3300269842147827,0.5696349740028381,0.48271480202674866,0.5862374901771545,4.341023921966553,0.8478133678436279,0.3639518618583679,0.4829269051551819
4,0.05247038059130166,0.6609375,0.7360111157022737,0.0,0.0,3.8393924236297607,0.8530575633049011,0.49281084537506104,0.5383714437484741,0.0,0.0,4.071700096130371,0.9525265693664551,0.3429308235645294,0.5665976405143738
5,15.756904769089598,0.9662499999999999,-0.2762997511176492,0.7299830913543701,0.21162298321723938,2.6932787895202637,0.8754287362098694,0.2755650281906128,0.6481896638870239,0.2550441026687622,0.46859320998191833,3.2835397720336914,0.8795512914657593,0.23298272490501404,0.6469557881355286
6,0.06834765506157506,0.9096875000000001,0.8707669231366101,0.0,0.0,3.331117868423462,0.8569173216819763,0.41086050868034363,0.5943100452423096,0.0,0.0,3.599363327026367,0.8881732821464539,0.47861814498901367,0.5645197629928589
7,0.9057378076233611,0.891875,0.24288914262760608,0.4569357633590698,0.18328778445720673,2.287821054458618,0.7681217193603516,0.30621784925460815,0.6098322868347168,0.24633532762527466,0.44890838861465454,2.918119192123413,0.9741170406341553,0.4252992272377014,0.6457089781761169
8,0.3362351705716971,0.8365625,0.5818691602802964,0.0,0.0,2.320213556289673,0.6958950161933899,0.3961375653743744,0.5603302717208862,0.0,0.0,2.7455103397369385,0.6404207944869995,0.4506400227546692,0.5156775116920471
9,0.041678103743122155,0.8143750000000001,0.8198027488431574,0.5680725574493408,0.09461873024702072,2.837573289871216,0.6282718181610107,0.5277974605560303,0.47981759905815125,0.2153565138578415,0.2973622977733612,2.372292995452881,0.7385525107383728,0.443862646818161,0.5251851081848145
10,0.19709271175822424,0.5512499999999999,0.08351170022850204,0.0,0.0,2.349217653274536,0.5807218551635742,0.507550835609436,0.5116417407989502,0.0,0.0,3.088841438293457,0.5556226968765259,0.5586395263671875,0.40925759077072144
