episode,avg_crb,avg_pd,avg_reward,eval_avg_crb,eval_avg_pd,eval_avg_reward,eval_std_crb,eval_std_pd,eval_std_reward,uav_1/adv_max,uav_1/adv_mean,uav_1/adv_std,uav_1/approx_kl,uav_1/entropy,uav_1/grad_norm,uav_1/output_bias_norm,uav_1/output_weight_g,uav_1/output_weight_norm,uav_1/output_weight_v_norm,uav_1/policy_loss,uav_1/pre_tanh_max,uav_1/pre_tanh_mean,uav_1/pre_tanh_std,uav_1/reward_mean,uav_1/reward_std,uav_1/value_loss,uav_2/adv_max,uav_2/adv_mean,uav_2/adv_std,uav_2/approx_kl,uav_2/entropy,uav_2/grad_norm,uav_2/output_bias_norm,uav_2/output_weight_g,uav_2/output_weight_norm,uav_2/output_weight_v_norm,uav_2/policy_loss,uav_2/pre_tanh_max,uav_2/pre_tanh_mean,uav_2/pre_tanh_std,uav_2/reward_mean,uav_2/reward_std,uav_2/value_loss
1,0.10218473189046273,0.7649999999999999,0.7124199794798927,0.047162946211466175,0.8032999999999999,0.5446455145321171,0.039981537036455204,0.11293520266064075,0.6439952670207398,1.0020898580551147,-8.34465012644614e-08,0.9749995470046997,0.00010039806511485949,2.837874507904053,9.116194248199463,0.0,0.009999999776482582,0.01414213515818119,0.01414213515818119,-0.020655302684754063,1.641611933708191,0.6665622532367707,0.8125101863187746,0.7124199867248535,0.27341604232788086,3.5730520486831665,0.9649441838264465,-9.536743306171047e-08,0.9595020413398743,0.01972680166363716,2.8378746509552,11.157620239257813,0.0,0.009999999776482582,0.014142134226858616,0.014142134226858616,-0.011930943406186856,1.707924723625183,0.46337060295045374,0.5841645262634374,0.7124199867248535,0.27341604232788086,5.891263484954834
2,1.221244550974776,1.0,0.010706806065814345,,,,,,,1.753869891166687,0.0,0.6101751327514648,0.009737849235534668,2.839970278739929,2.655192017555237,0.004280758555978537,0.012021031230688095,0.017054591327905655,0.02478308416903019,-0.019446431053802372,1.5025006532669067,0.7361052498221398,0.8610179740508375,0.010706794448196888,0.4513072669506073,0.3240002870559692,1.6889982223510742,4.7683716530855236e-08,0.22572685778141022,0.020494867116212845,2.836514043807983,2.2751959443092344,0.004268669988960028,0.01219918206334114,0.017281072214245796,0.023161515593528748,-0.011579409707337618,1.7080014944076538,0.8377214591950178,0.9767960232658425,0.010706794448196888,0.4513072669506073,0.10425077416002751
3,12.447292613516186,0.7474999999999999,-0.13990217369973462,,,,,,,0.9312310218811035,-1.1920929132713809e-08,1.0106592178344727,1.4305115314527939e-07,2.844281530380249,3.951433229446411,0.006106527056545019,0.014833359979093075,0.020997274667024612,0.033918704837560654,-0.012781818108633125,1.9062879085540771,1.045590579509735,1.241933346958501,-0.13990218937397003,0.4951086640357971,1.1438664078712464,1.1610960960388184,0.0,0.5872717499732971,0.003000879194587469,2.8330366611480713,1.2869857668876648,0.0029465188272297382,0.013187587261199951,0.018770357593894005,0.031981442123651505,-0.0024605626007542015,1.486693024635315,0.6443806014955044,0.7461748766951994,-0.13990218937397003,0.4951086640357971,0.28126617670059206
4,0.03255066973291728,0.8925000000000001,0.6405501011373239,,,,,,,0.8298550248146057,2.3841858265427618e-08,1.0150140523910522,0.003692626953125,2.8448290109634398,4.664409017562866,0.009260212071239948,0.016977202147245407,0.02410818636417389,0.04479317367076874,-0.005071660273242884,1.9033335447311401,0.9346466153860092,1.0263016059208059,0.6405501365661621,0.30843082070350647,1.5469571948051453,1.0211734771728516,-2.086162567138672e-07,0.8007402420043945,0.0,2.8286888122558596,13.582384395599366,0.005568203516304493,0.012540249153971672,0.017766200006008148,0.042296480387449265,-0.0004161697566544831,1.790723443031311,0.5146434213966131,0.7256979335124092,0.6405501365661621,0.30843082070350647,6.774685525894165
5,0.16833204031615,0.6649999999999999,-0.023544465210015686,0.05226861240000611,0.8346,0.6200585657007982,0.050532216533155545,0.10843587967089123,0.4636437702249522,0.8764333128929138,1.9669532491661812e-07,0.16214987635612488,0.0,2.845861077308655,3.9710169553756716,0.01059742458164692,0.01806695945560932,0.025776613503694534,0.05411730334162712,-0.0027241319697353106,1.3045334815979004,0.6451539477100596,0.6168213035157025,-0.023544467985630035,0.2197357416152954,0.5687259495258331,0.7483983635902405,1.7881394143159923e-08,0.2914673984050751,0.0042175292037427425,2.827560806274414,0.6712152123451233,0.008177307434380054,0.012029923498630524,0.01701795868575573,0.05275470018386841,-0.00025650799012510994,1.3710049390792847,0.6073179058730602,0.663185742691927,-0.023544467985630035,0.2197357416152954,0.08555145859718323
