episode,avg_crb,avg_pd,avg_reward,eval_avg_crb,eval_avg_pd,eval_avg_reward,eval_std_crb,eval_std_pd,eval_std_reward,uav_1/actor_grad_norm,uav_1/actor_loss,uav_1/critic_grad_norm,uav_1/critic_loss,uav_1/reward_mean,uav_1/reward_std,uav_2/actor_grad_norm,uav_2/actor_loss,uav_2/critic_grad_norm,uav_2/critic_loss,uav_2/reward_mean,uav_2/reward_std
1,0.3167189703445763,0.53825,0.16126490024733922,38478.92161802667,0.7657,0.14003432817895203,76957.42236686214,0.17942801063379152,0.6210756319077514,,,,,,,,,,,,
2,0.3517405125632149,0.8662500000000002,0.5857697200539509,,,,,,,0.07901407778263092,-0.021921692416071892,1.3016912937164307,0.4686373472213745,0.41184404492378235,0.5495873689651489,0.07194609194993973,-0.05659104511141777,1.1771517992019653,0.5100592374801636,0.38413581252098083,0.6132754683494568
3,0.2722655055030579,0.6674999999999999,0.5335140075040209,,,,,,,0.06712644547224045,-0.05412597209215164,1.1663531064987183,0.4335661828517914,0.4061140716075897,0.537545919418335,0.07266777008771896,-0.08483456075191498,1.2531981468200684,0.5844855308532715,0.4425913691520691,0.6569383144378662
4,0.4564638149414172,0.7602500000000001,0.36632707739368797,,,,,,,0.05049039050936699,-0.09420131146907806,1.4977365732192993,0.5579530000686646,0.5099470019340515,0.5989407896995544,0.08089406043291092,-0.12907817959785461,1.1700735092163086,0.4868718385696411,0.45273348689079285,0.5909111499786377
5,12.175914861948954,0.6107499999999999,-0.28794262938708837,,,,,,,0.046896759420633316,-0.11413831263780594,0.5123082995414734,0.4257832169532776,0.18791276216506958,0.6555463671684265,0.06523475795984268,-0.1593523770570755,0.7139431834220886,0.4065006673336029,0.3194954991340637,0.6066103577613831
6,0.09821306214062314,0.8462499999999998,0.8110330640669019,,,,,,,0.050998177379369736,-0.14142455160617828,0.7042660713195801,0.42792215943336487,0.25382503867149353,0.6512763500213623,0.06373175978660583,-0.18802565336227417,0.8986856341362,0.4245092272758484,0.393327534198761,0.6073706746101379
7,3.262980644065961,0.8284999999999999,0.6058054906271672,,,,,,,0.05501513555645943,-0.17221683263778687,1.3295855522155762,0.37229031324386597,0.5173255801200867,0.48723089694976807,0.06800992041826248,-0.21260151267051697,0.7491655349731445,0.40941303968429565,0.3487488329410553,0.629179835319519
8,3.1758401404969017,0.7802500000000001,0.5863452566065974,,,,,,,0.05828079581260681,-0.20129024982452393,0.9346261024475098,0.4402100145816803,0.41345900297164917,0.630095362663269,0.08490362018346786,-0.2603054642677307,0.5381035804748535,0.3213539123535156,0.34704867005348206,0.558738648891449
9,4.09319158569668,0.9089999999999999,0.37847077391171907,,,,,,,0.0631851926445961,-0.22133757174015045,1.0894606113433838,0.4070715010166168,0.5125503540039062,0.553472638130188,0.08375757187604904,-0.2813473641872406,0.7919252514839172,0.34676215052604675,0.43052738904953003,0.5671476721763611
10,5.5444529971838055,0.8284999999999999,-0.08094445447334354,,,,,,,0.06380172073841095,-0.24664869904518127,0.8416429162025452,0.41479653120040894,0.38948583602905273,0.658123791217804,0.07762660086154938,-0.30197760462760925,0.5548961162567139,0.3445819616317749,0.3942611813545227,0.5803159475326538
