episode,agent,critic_loss,actor_loss,critic_grad_norm,actor_grad_norm,reward_mean,reward_std
3,bs_beamformer,75.20950317382812,0.0,1235.6649169921875,0.0,6.851856708526611,0.09377805143594742
3,uav_trajectory,7806.43505859375,0.0,168142.1875,0.0,6.84433126449585,0.07847665250301361
3,jammer_beamformer,89.5916976928711,0.0,1411.5723876953125,0.0,6.847665786743164,0.0860009491443634
4,bs_beamformer,44.96298599243164,-1.1446402072906494,948.6408081054688,15.00525951385498,6.853996276855469,0.09807475656270981
4,uav_trajectory,4875.0751953125,61.24247741699219,133923.140625,101.4367446899414,6.843572616577148,0.07659865915775299
4,jammer_beamformer,55.39425277709961,-4.783350467681885,1104.5616455078125,16.197528839111328,6.839986324310303,0.06864022463560104
5,bs_beamformer,22.907581329345703,0.0,680.3685302734375,0.0,6.8591718673706055,0.08805043995380402
5,uav_trajectory,2193.017333984375,0.0,86980.3203125,0.0,6.858754634857178,0.09060542285442352
5,jammer_beamformer,29.971187591552734,0.0,813.1420288085938,0.0,6.860287189483643,0.09454544633626938
6,bs_beamformer,7.991237640380859,-3.9272987842559814,408.9422607421875,11.31984806060791,6.858199596405029,0.0779060497879982
6,uav_trajectory,746.33642578125,97.79768371582031,50753.59765625,17.740493774414062,6.860342979431152,0.08356445282697678
6,jammer_beamformer,12.193753242492676,-7.9477858543396,511.5258483886719,9.559297561645508,6.864415168762207,0.0878027155995369
7,bs_beamformer,1.2030047178268433,0.0,152.44915771484375,0.0,6.853237628936768,0.06734433770179749
7,uav_trajectory,114.4024429321289,0.0,17527.037109375,0.0,6.854712009429932,0.06599055975675583
7,jammer_beamformer,3.285460948944092,0.0,229.27919006347656,0.0,6.871026992797852,0.1007496640086174
8,bs_beamformer,1.365693211555481,-5.449361801147461,147.98883056640625,7.911937236785889,6.8500285148620605,0.053891174495220184
8,uav_trajectory,193.3173370361328,124.0789794921875,24203.056640625,9.673943519592285,6.863439559936523,0.08529172837734222
8,jammer_beamformer,1.579237699508667,-9.954695701599121,127.40333557128906,5.589447975158691,6.865516662597656,0.08426891267299652
9,bs_beamformer,3.8901710510253906,0.0,273.33685302734375,0.0,6.859272480010986,0.07342436164617538
9,uav_trajectory,538.0402221679688,0.0,41427.67578125,0.0,6.863000869750977,0.08898943662643433
9,jammer_beamformer,3.547180652618408,0.0,263.0586242675781,0.0,6.872272968292236,0.09993886947631836
10,bs_beamformer,5.794210433959961,-5.287578582763672,336.5992126464844,6.020194053649902,6.860378265380859,0.07895860075950623
10,uav_trajectory,711.9413452148438,127.20733642578125,47010.4765625,2.1720123291015625,6.864653587341309,0.08831427246332169
10,jammer_beamformer,5.92419958114624,-10.016949653625488,347.7191162109375,4.421853065490723,6.877727508544922,0.11211387813091278
11,bs_beamformer,5.501633167266846,0.0,332.2185974121094,0.0,6.86293363571167,0.08967878669500351
11,uav_trajectory,623.269287109375,0.0,43304.18359375,0.0,6.861084938049316,0.08150237798690796
11,jammer_beamformer,6.790152549743652,0.0,360.8779602050781,0.0,6.866192817687988,0.09018953889608383
12,bs_beamformer,4.526974678039551,-4.624655723571777,303.71405029296875,3.6084611415863037,6.855429172515869,0.07238606363534927
12,uav_trajectory,472.0461730957031,116.27397155761719,37400.0390625,2.038966417312622,6.858554840087891,0.07897576689720154
12,jammer_beamformer,5.666372299194336,-9.348773002624512,343.08709716796875,5.421099662780762,6.85701322555542,0.06998065114021301
13,bs_beamformer,2.5940186977386475,0.0,229.69046020507812,0.0,6.866039276123047,0.0861080065369606
13,uav_trajectory,295.8030090332031,0.0,28599.763671875,0.0,6.866735458374023,0.09066407382488251
13,jammer_beamformer,4.019309043884277,0.0,272.1836853027344,0.0,6.858304500579834,0.07510857284069061
14,bs_beamformer,1.1523116827011108,-3.931795358657837,148.77178955078125,4.580946445465088,6.855018138885498,0.07180915772914886
14,uav_trajectory,97.54199981689453,99.39570617675781,14272.298828125,8.656719207763672,6.863401412963867,0.09127402305603027
14,jammer_beamformer,2.4788856506347656,-8.443098068237305,192.8128662109375,7.129133701324463,6.870147228240967,0.09691058099269867
15,bs_beamformer,0.4404924511909485,0.0,71.23644256591797,0.0,6.853504180908203,0.07065768539905548
