episode,secrecy
1,0.6767372455153803
2,1.4102316760814944
3,0.9113657117744711
4,1.4155800337261761
5,1.2554069303781736
6,1.6821817550480662
7,1.6509156811707455
8,1.573710177891562
9,1.6176981013073644
10,0.7368479061848092
11,0.8085194019517195
12,1.1617535805053743
13,1.5256799693535683
14,1.6040138721214072
15,1.1364164518825524
16,0.866342135159471
17,1.648009568659893
18,1.2476409954190566
19,1.6853015490593648
20,1.5343206279947534
21,1.4999659820019786
22,1.5399427861039905
23,3.164490061472755
24,3.0190789873335517
25,3.183608621308538
26,3.3156292595624404
27,2.3759438423458024
28,2.1769505661603317
29,2.8909981194605106
30,1.9702518315306627
31,1.3840243285661742
32,1.4962070065661899
33,3.270734673853021
34,3.2218766832954144
35,1.4507710152690074
36,2.2179009773417993
37,1.7826355788901298
38,1.3568519251123667
39,1.5683967463467006
40,3.3567637115273605
41,2.4421962482810433
42,0.9299844882379987
43,0.7102772981141423
44,1.062777209223204
45,2.180747331069855
46,1.5371949716256166
47,1.3734855320607304
48,1.94457230691994
49,1.7485668459125447
50,2.128953406747886
51,1.521546888867575
52,1.4558581113395082
53,1.415885294124147
54,1.6681070567825813
55,2.8023614066274725
56,2.655691668727928
57,2.3710428731817355
58,3.869537599531488
59,2.0182398065674265
60,1.6621709320714015
61,2.075025205205307
62,2.309652439387958
63,1.4505328739627197
64,1.442070679905336
65,2.0166336907426174
66,2.114809439089314
67,1.534882339996242
68,2.978762006961126
69,1.53236037918934
70,2.967646910510786
71,1.3101221306272746
72,1.292416432993704
73,2.1433673907499506
74,1.8441616931647464
75,1.9982173046710527
76,1.5472636187701507
77,1.8941320069550827
78,1.5340825410102266
79,2.9858265282184377
80,2.683100661760036
81,3.9433280955439045
82,3.560599000326239
83,3.598610336213997
84,1.5006178968413042
85,1.5045887709069166
86,1.7619440022229065
87,1.7273264565982285
88,1.630255698409506
89,1.6101243262836236
90,1.6326919912020241
91,2.8233213619145197
92,3.5159904850936448
93,1.573745446498173
94,2.138377202810444
95,2.216921301056779
96,2.384132759378455
97,1.8289536722306894
98,3.3955666196382395
99,1.9003070441167882
100,1.4143697145533052
